,reviews
656,American Airlines have finally lost me as a customer after years of being one. Check in took over an hour. Nobody and I mean nobody was friendly. No greeting getting on the plane or off. So sad to see this airline go down hill like the way it has. Four hour flight just to receive a small bottle of water and some cookies. I was in shock to see the difference from when I flew United in February.
657,Last time flying with AA. Horrible service. May as well not even have flight attendants. Ever since covid they have gotten so lazy.
658,"Trash. They do not care about passengers. Even if you're on time, waiting at the gate, with a ticket."
659,"Just okay, not bad but not extraordinary either. If you fly in a Boeing it's a pretty comfortable ride, otherwise anything else is just really cramped and the cabin pressure really hurts my ears on decent/take-off."
660,I flew on American Airlines from the United States to Jamaica in December 2016. American Airlines lost my luggage. They promised me that they would compensate me but they never did. I recently complained about them still not having compensated me even though it has been more  than four years. A representative from American Airlines telephoned me today to discuss my complaint. This person told several lies about the history of this issue. It is bad enough that I have had to wait so long in order to be paid such a small amount of money;  but on top of all that the unprofessional behaviour and the brazen evasion of responsibility are just unacceptable.
661,I will never fly this airline again. Mask Nazi’s!! I have a perfectly good mask(gator) that I just used in a AA flight from Orlando to NC and now these people  make me use a pos surgical blue white mask and my gator. Covid is NOT as deadly of a disease. It has been proven! Get your hubs on the same page. Then you cram us in a over crowded airline. If your so worried about covid then maybe you should space the passengers out and get some friendly people because this crew is rude!!!
662,"AA had a delayed flight for 5 hours from Orlando.I had to arrive before 2pm in Phoenix to perform.The AA counter staff was terrible, saying that they can not do anything for me. Neither book me on another flight that would arrive on time, neither refund or credit my AA account.I had to book another flight on another Airlines companies without knowing if AA will refund or credit my accountVERY POOR CUSTOMER SERVICE AND POLICY!!"
663,Employee johnathon Clark at security gate was very rude and disrespectful towards me I will not be traveling with american again made my whole trip bad experience. I think he very racist and shouldn't be working at airport.
664,"The worse Airline in the world. I’ve had 6 trips cancellations and they don’t care. They only care about them, to get more money. American Airlines’ policy is unfair and insane! If you think to book a trip with AA, you rather shop around and find another Airline, you are going to waste your time and your money. They don’t care about passengers, they lie. If you are thinking to travel to Cuba with AA now, you better wait and go with JetBlue. I lost my job because of AA. I’ve claimed to change my trip for a closer date and they keep changing it for a farther date. I won’t never travel with this airline again."
665,"Complain, complain , Your lies, bad , bad customer services inhumanity, insensible, I never recommend American airline for travel"
666,Bought my tickets through Travelocity in July 2020 for a great price. AA changed the return flight times from 1:10 to 3:28 back in Oct 2020. I never received any notification. That change left me with 1 hour and 14 minutes to go through customs and meet my connecting flight in Miami. I contacted AA and they put the blame on Travelocity. I understand Travelocity should have notified me but AA made the changes that are impossible to keep. AA customer service wouldn't even talk to me.When we arrived at the FPO airport to come home the AA ticket person looked at this ridiculous schedule and changed us to a flight where we were now leaving Miami the next day. Keep in mind I am 59 and my husband is 63. I asked her if we are supposed to sleep on the airport floor. She told me to talk to the people at Miami.Because my tickets are now not connected I had to pick up my carry on in Miami and have it rechecked. AA wanted to charge me a second time for my checked baggage. I had to talk to those folks about the horrible mix-up that is all AAs fault before my baggage was accepted.Then they made me leave through a locking door into the terminal. I am no longer in the secure area. So now I not only have to sleep on the floor but I am now unable to access food. I tried to reenter but TA would not let me pass because our tickets were for tomorrow.The only saving grace for your horrible airlines was the manager in Miami. She was the first one in all of this nightmare that even bothered to listen to us. What should have been an easy flight home from a great vacation turned into hell! You really need to have customer service that listens to your customers instead of blowing us off to the next stop. This could have all been avoided if you didn't allow changes that were impossible to keep. That is all on you!
667,I opened a citibank card from the american airlines website to get the 250.00 credit towards my flight. I got approved and the approval rules were sent to my email but not the credit card info. I was not able to book the flight on the card to get the credit because I didn't have the info of the card. I called american airlines and the wait was an hour so I called citibank to get my card info and they would not give it to me. I booked a flight on frontier instead of waiting 10 days to get my credit card and having the flight price go up. I will not use the credit card when it comes and american airlines and citibank will get no business from me. Im not sure how this benefits either company. Bad experience using American Airlines.
668,"Feb 13 /2021 at New York/ LGA Airport To Aruba.We are family of 4 me my wife and 2 kids were on the line to check in. After 30 min we got the 1st place  to check in one of AA employee approached us and told us to follow her. Her name is Joni (Lead agent) I asked her to where ? While she is walking front of us, she didn’t respond not even looked at her back. She took us to other side of counter that people do check in. I thought that they are splitting people to make check in faster because she put us front of counter. (There was no one front of the computer but she said that we have to stay there and she left us) Then we start to waiting there, litterly after 2 min another AA employee approached us her name is Rose (she said she is main manager) and she yelled us that we can’t wait there we have to go back to the end of the line. I try to explain her that someone took us there but she didn’t listen and yelled us loudly front of everyone. When i asked her why don’t you just listen first? She ignored us and pointed us with her finger end of the line that we have to go back. Everyone there who came after us got check in before us. After waiting another 30 minutes top of that they charge us luggage fee while me and my wife has AA Airlines Credit card from Citibank. Which thats the only reason we were caring these cards. Disrespectful and poor customer service ."
669,American Airlines rescheduled our flight and then a GAVE AWAY our first class tickets to someone else the night before our flight. They said the computer did it but they could rebook us in economy. They gave our tickets away and wanted us to forgive them for putting us in economy.... and then we have to file a complaint to try and get the difference back.....me and my husband both have health problems that is the reason for first class tickets and now they want us to forgive them for making someone else a higher priority than us after we already booked our tickets.....BAD BUSINESS.
670,"I just took a flight from Fenix to Miami with the worst experience possible. Poor onboard service, cold and rude professionals. They really need to improve it."
671,12 hour fog delay...both departure and arrival airports were still operating...or communicating contempt for customers with lies...they announced a delay more than an hour before scheduled departure...
672,"poor service,,,I paid for 1st class,yet when I got on the tiny ass plane. There was no first class, not one peanut, not one drop of water..My connecting flight out of Dallas was over 2hours late.  I will never fly American again."
673,Worst staff. Never AA again
674,I had a ticket and was not able to travel due to COVID. I was moving and ended up driving. I called to refund and was even willing to transfer to someone else since I couldn't use it and I was told I had to travel by 12 2021 or I would lose my money nothing they could or would do. If it were my fault I'd understand but we were all told not to travel by plane it due to covid if possible so I take the advice and. Now I. Out 300. Definitely not caring about customers. I called and emailed over and over now almost a year later still no response until I called again today and they aren't willing to help in any way literally said I have to.make a trip or lose my money.
675,"Awful. My flight was delayed due to weather causing me to arrive at my connecting flight exactly at departure time. I get to the gate, the plan is still there, the Pusey gate agent said we don’t hold the seats for late arrivals so your seat was given away to standby customers.  Can you believe that? She knew we landed, she knew we were on our way as fast as possible, but no curtesy to accommodate customers. Now I’m waiting 8 hours for the next flight. I will no longer accumulate miles with this airline and I will avoid them whenever possible. Boy do I miss the good old days when airlines actor tried to accommodate their customers."
676,"Guess the new communist attitude in America is spreading like wildfire... My boyfriend & I were just kicked off of a flight because the over zealous flight attendant thought we had an attitude with her! No one raised their voice, no one was aggressive or derogatory yet they delayed the flight to have security remove us! Unbelievable, we are sitting in the airport selling off all of our AA stock right now!!!!! DO NOT FLY AMERICAN AIRLINES"
677,"I used American Airlines to buy flights to Guatemala from London. I'd saved up for this trip for 3 years. The journey consisted of a flight from Heathrow to Dallas, and then Dallas to Guatemala. The return trip was from Guatemala to Miami and then Miami to Heathrow. This all came to £645.26. Unfortunately, the outbreak of covid 19 meant that I couldn't go as my flights were cancelled from London. I felt relieved as I received an email from American Airlines that my tickets were ""safe"" and I could buy a new ticket equal to their worth, I was given a year to use them. Obviously I haven't been able to use them, like many others, I'm in desperate need of money as I was made redundant. American Airlines is only refunding me for the flight from Heathrow to Dallas, A FLIGHT THAT THEY CANCELLED WHICH RESULTED IN ME NOT BEING ABLE TO GET ON ANY OTHER FLIGHT. I am only being offered £64!!!! that's less than 10% of what I paid for the ticket(S).I am absolutely appalled, American Airlines has robbed me of my money. Customer care have ignored my questions and simply told me to ""wait for the refund to be processed (for only 1 flight)""!!!!Disgusting behaviour. I will be seeking legal action to retrieve my money."
678,Bad experience I do not recommend this airline to anyone please look for other options but do not fly with these scammers
679,"Just bad. It's been 10 months they are playing hot potato with Vayama, as no one wants to refund me, or even propose another solution for a cancelled flight. They say they issued the refund but here we are, it's been 10 months and nothing..."
680,"If I could select 0 starts I would.  The understaffed airport in Sioux Falls couldn't get myself or the 50 people around me checked in to any of our flights, causing many of us to miss them.  There was only 1 person at the check in desk who himself admitted ""we are very understaffed, next time you will have to come earlier"""
681,"The departing flight changed by 3.5 hours. I called to ask for a refund and was rejected.  A few weeks later the flight home was changed as well, by 2.5 hours....  Neither of these worked for us.  I called to ask for a refund (not credit) and was told ti had to be a 4 hour change.  I explained it was a 6 hour change (if you considered both ways).  The customer service rep then said 'yes, the I DID QUALIFY for a full refund, since it was over 4 hours'.  He said he would cancel my flight but I would need to go online to request the refund.  I asked 'what if my refund is denied' and he said it would not be because he was putting notes in my file saying he approved the refund.  He canceled my flight, I submitted the online request for refund and received an email saying my request was DENIED!!!  I spent hours and hours trying to get ahold of someone. The only forum is the online system that sends them an email. I explained that a customer service rep told me I would get  full refund. They just kept denying my refund. I was finally able to talk to a cust serv rep on the phone to explain situation and she said that there were no notes in my file and I did not qualify for a refund.  I WAS FLAT OUT LIED TO BY A CUSTOMER SERVICE REP AND NO ONE CARES AT ALL!!!!!!  I will not fly American anymore....  They can make all kinds of changes to flight times and you are at their mercy.  And they you cannot trust what you are being told by the customer service reps.  This makes me sick to my stomach knowing there is some AA rep out there laughing at me because he just told me what I wanted to hear and he KNEW he was misinforming me (to get me off his back).  Do not expect any compassion or sympathy from this airline.... I am done with them!!"
682,Flew with AA recently and I must say that I wasn't very impressed with their covid measures. Amicable staff as always.
683,"I just flew on flight AA1532, January 3, 2020.They advertise that all flights are cleaned well before passengers enter.We had connections and videos are shown how they are cleaning the plane.I was the first passengers on the back of the plane, so I decided to use the bathroom to avoid using after so many people special with the COVID situation.When I went inside there was feces all over the toilet seat and toilet in the bathroom.Unacceptable!This means the bathroom was NOT clean before passengers entering like they advertised.During the COVID pandemic the WHOLE plane should be clean and sanitize.We took Clorox wipes and wiped everything.Like we expected they are not cleaning as usual.Be careful and prepared."
684,Love AA. Always helpful staff and support. Quick with refunds!
685,"I have flown with AA several times. I missed my flight, the ticket agents were very helpful in getting me in the next flight. I would give them 5 stars if the plane wasn’t filled to capacity"
686,"I flew recently, December 23rd 2020, from Detroit to Dallas (AA2491) and I have never heard a more dictatorship attitude from a flight attendant during her pre-flight announcement in all my 30+ years of flying.  This woman was just shy of saying those who are unable to wear a mask will get their s**t and get off the plane.  I understand the need to wear a mask in such close quarters but to state it in such a ""I am the boss and you will do what i say"" manner is very very unprofessional.  There are much better and empathetic ways to relay the importance of wearing a mask and the airlines policy if you are unable than to act like a dictator and the passengers are the unworthy of any respect.  So congratulations Miss Stalin on successfully changing my perception of how a professional flight attendant conducts themself no matter the situation."
687,"This is a formal complaint against a ticketing agent name, OKI at the Syracuse NY airport.  Very rude and impolite.  He made fun of my accent as none American and mimicked the way a speak.  I wasn’t even talking to him I was frustrated that they couldn’t let go of a half pound over my luggage. Really it was just half a pound extra. I understand rules are rules but I’ve flown thousands of times and never had someone being so strict.  I was talking to the agent who was helping me and he jumped in the middle of the conversation and sarcastically said, “maybe you need to learn how to pack better next time.” I told him you are so rude I’m not even talking to you. He said everyone follow rules, I told him you are liar because not everyone follow rules then he start mimicking my accent and making fun of it in front of my 6 year old daughter .. I start asking him to stop talking to me and he kept talking back at me even though I kept asking him to stop talking to me. Then I stoped talking and he kept going sarcastically saying things and lowering his voice just enough for me to hear him and I told him NOW YOU NEED TO REALLY SHUT YOUR MOUTH. I stopped talking but he kept being nasty and rude to me.  I’m taking this to every social media I have. I’m planning on going back to the airport later this week and speak to a direct supervisor.  He needs to learn better etiquette how to deal with customers. If American Airline keep such a person like this as their customer service face, then American Airline will lose lots of customers.  I’ve never in all my years traveling with all kind of airlines encountered such a humiliating situation. And his voice was loud where everyone in the airport was looking. Bad image for your counter when people pass and see your agent yelling at customers.  This is not the last you going to hear about this I feel so humiliated and if it wasn’t my daughter with me it would’ve went bad.  I k ow this is my last time flying AA out of Syracuse."
688,"The flight attendant was the most rude most unprofessional, mumbling person I’ve ever encountered while flying. I will never fly American Airlines thanks to her"
689,"I flew from salt lake to Dallas, I saw so many people on the plane with their mask down, their noses not even covered. No flight attendants came around telling people to put their mask up. The planes are packed and no recycled air. When I booked my trip, the price was decent. You get for what you paid for and I should of just booked with delta, they actually care about you and your safety. All they do is just announced to wear your mask but nothing else, no ENFORCING IT!!! I’m appalled at how American Airlines operated on this flight and I’m cancelling my return flight. I WILL NOT GO ON AMERICAN AIRLINES AGAIN and I want my money back.Boarding my second flight to Hawaii and they literally let a person into the plane with their mask halfway down, mouth and nose out! Didn’t stop them or tell them to pull their mask up, just scanned a ticket and let them in. WOW! Do not, I repeat DO NOT fly American Airlines!"
690,"If you like having your flights consistently changed and delayed, you'll love American Airlines. If not, then I would suggest flying with another airline."
691,Every time we fly with them it's a hassel never leave on time never make connected flight hope to never use them again
692,Never had a problem with this airline. Staff is always friendly and helpful. I hope this airline survives the COVID crisis.
693,Yall are just disgusting !!...I watched you kick off a family for their 2 year old not wanting to wear a mask...you peices of shhit!!! ...u should be ashamed of your self!! I hope u all rott with ur karma!!! I hope all the tears and heart ace u caused everyone else catches back up to you ...ill never use this airline!! And trust me ima tell my friends how un-American yall truly are!!!
694,"American Airlines is horrible. I do not recommend this airline to anyone . My flight was cancelled and rescheduled multiple times. The people at the boarding gate were rude and told me my carry on bag was to large . Almost made me miss my flight due to them making me throw clothes away in the airport so so bag would fit . They canceled their bag check at the gate, due to them making a statement that there  was not enough passengers on the plane . It was a nightmare with them. The staff was not helpful nor did they even care . Worst experience ever. Will never fly with American Airlines again. Plus their planes were junk."
695,Just a racism air It must be for the people in the first class Trash
696,"Allow their flight attendants to wear “Black Lives Matter” pins, thus promoting the Marxist hate group, domestic terrorism, racism and anti-police politics. AA is also creating a ""diversity pin"" for all employees to wear on the job. Remember, diversity means discrimination based on race rather than merit. Instead, use Southwest."
697,"By far the most unprofessional company I have ever dealt with. Customer service absolutely non existent. No care in the world and the most disrespectful I have ever encountered. Charlotte Internation airport employees upon scanning to get on plane including their manager David have no respect, no sense of value, very discriminatory and will never fly with this company again. Nor will any of my 200 employees average 1500 round trip flights a year. Thanks for treating me and my family like crap."
698,American Airlines is a horrible airline. I purchased a flight with the wrong return date and then purchased the correct one and they won’t give me the full refund on the flight purchased by mistake despite purchasing another flight due to some arbitrary fee. I will never fly with American ever again as they care more about charging fees than their customers.
699,"Don't fly with this airline!!! The personal have no skills in comunication, not worth the headache!!"
700,Missed second flight because when we landed there was another plane in our terminal. American refused to get us a hotel because they blamed the weather even though it was their fault. Forced my toddler and pregnant wife to spend the night in the airport
701,"The most terrible experience today - they were not able to accommodate us with disability. They put us in the end of the plane to walk on crutches, even though we  were willing to pay for the seats in the front of the plane. The checkin desk person told us no need to buy tickets then, and that people at the gate will be able to accommodate us. No true! Everybody was extremely rude at the gate, don’t even try to assign us seats that are appropriate with injuries, more over they told us to board last, standing (on crutches) and waiting for all people to move thought the plane. On a top of that there was no room for our luggage, because we boarded last. Will never flight American again and don’t recommend anybody with special needs ever fly American!"
702,"The airplanes real garbage WOW the atención fatal , no space in the airplane 4594"
703,"Flying with American Airlines is one of the worst decisionsyou can make in planningyour trip. It's a mistake We do not plan to make again. From the very start the customerservice was practicallynon existent. Our flights were changed multiple times without much time to do anything or get to the new flight. 4 of us paid extra to choose our own seats 4 separate times and didn't keep a single seat because American Airlines would change them last minute. My wife had a seat and an extra seat and at one point she had a seat on one flight with her extra seat on a totally separate flight. They can't seem to figure it out. We want to be refunded for all the seats we paid for and never sat in. Our connecting flights were even changed while we were flying to that airport and we weren't told until we arrived at the airport. Along with that, my wife needed to use the disabled cart services. The guys running the carts were standing around talking to each other instead of getting her to our gate and then they tried to close the doors on us. The lady at the gate told us we should have been faster if we wanted on the flight! My wife has a disabilitythat makes it hard to walk. SHE KEPT TELLING HER TO WALK FASTER TO THE PLANE WHEN SHE PHYSICALLY COULDNT!!! She was so disrespectful and rude. They tried not to honor her extra seat on the last flight out to Sacramento from Dallas Fort Worth. So many of our flights have been cancelled and rescheduled with little to no notice to get us onto the flights in time. The staff has been so rude and unhelpful during this entire time of flying to our destination and flying home. When we arrived to Sacramento, my wife  requested a wheelchair because of her physical disabilities and she was told NO by American Airlines flight attendants because she didn't use one in Dallas. She was on the disability cart in Dallas to get to our terminal faster (which the people in our group who walked beat us there because the guys driving the carts were standing around talking as we waited for them to stop socializing so we could get to our gates). So she was denied her wheelchair use while having a physical disability by American Airlines. American Airlines is a JOKE. Do not waste your money on these people. Fly with Delta, Southwest or United who seem to have better customer service skills and who will actually help you and fix their mistakes rather than blaming the customer for the error because American will not own up to their mistakes that they made! They are TRASH. When we first made our reservations we had to call them out on Twitter to get them to own up to their error because they wouldn't combine the extra seat with my wife's original seat and said they could cancel our flights AS THEY PLEASE AT ANY MOMENT because of duplicate tickets in our name rather than just fixing their error for it to say it was an extra seat. Well guess what, we are calling you out again for being THE WORST AIRLINE COMPANY AROUND!!! YOU SUCK AMERICAN AIRLINES!!!!!!!!!"
704,"Flying with American Airlines has been an absolute nightmare. I will never again in my life fly with American. The customer service is horrid from the start. Our flights were changed multiple times. I have paid multiple times to pick seats and have never sat in the seats I paid for because American Airlines keeps changing my seats. I had a seat and an extra seat and at one point today I had a seat on one flight with my extra seat on a totally separate flight. They can't seem to figure it out. I want refunded for all those seats I paid for and never sat in!!! Our connecting flights were even changed while we were flying to that airport and we weren't told until we arrived at the airport. Along with that, I needed to use the disabled cart services. The guys running the carts were standing around talking to each other instead of getting me to my gate and they tried to close the doors on me. The lady at the gate told me I should have been faster if I wanted on the flight! WHILE HAVING A DISABILITY THAT MAKES IT HARD TO WALK. SHE KEPT TELLING ME TO WALK FASTER TO THE PLANE WHEN I PHYSICALLY COULDNT!!! She was so disrespectful and rude. They tried not to honor my extra seat on the last flight out to Sacramento from Dallas Fort Worth. So many of our flights have been cancelled and rescheduled with little to no notice to get us onto the flights in time. The staff has been so rude and unhelpful during this entire time of flying to my destination and flying home. When I arrived to Sacramento, I requested a wheelchair because of my physical disabilities and I was told NO by American Airlines flight attendants because I didn't use one in Dallas. Uh no, I was on the disability cart in Dallas to get to my terminal faster (which the people in my group who walked beat us there because the guys driving the carts were standing around talking as we waited for them to stop socializing so we could get to our gates). So I was denied wheelchair use while having a physical disability by American Airlines. American Airlines is a JOKE. Do not waste your money on these people. Fly with Delta, Southwest or United who seem to have better customer service skills and who will actually help you and fix their mistakes rather than blaming the customer for the error because American will not own up to their mistakes that they made! They are TRASH. When we first made our reservations I had to call them out on Twitter to get them to own up to their error because they wouldn't combine my extra seat with my original seat and said they could cancel our flights AS THEY PLEASE AT ANY MOMENT because of duplicate tickets in my name rather than just fixing their error for it to say it was an extra seat. Well guess what, I am calling you out again for being THE WORST AIRLINE COMPANY AROUND!!!"
705,"On 24 October 2020 I was a passenger on American Airlines flight 2194, seat #32C from Charlotte North Carolina to Fort Lauderdale, Florida.  I was discriminated and harassed for incorrectly asking the flight attendant for a glass of water.  I asked the flight attendant “can I get a glass of water?” he very condescendingly told me “is may I have a glass of water” he was very arrogant, he lacked social skills and empathy, but evidently that’s acceptable by the leadership of American Airlines, besides having no concern for social distancing and packing the aircraft."
706,Worse airline always late and delaying your fly plus no social distance practice aircraft are full to the capacity
707,"Flight delayed and then cancelled due to a thunderstorm. Unfortunate but certainly not AA's fault. However, where the experience completely fell apart was in the re-booking stage. After queuing for 1 person at a helpdesk for 2 hours, I was told I'd been booked onto a flight the next day at 6pm (currently 3pm so a good 27 hours later) as all the previous flights were full. For context, this is Orlando to Miami, there's at least 5/6/7 flights a day. I was also given a number for a hotel to call. Nothing more - to book, pay and arrange transport to and from was all up to me. Even when explaining that I had a UK phone that would block any calls made and asking if they could call from the desk on my behalf. A firm sorry sir I cant help you. I then went over to the BA helpdesk as a bit of a hail mary (as a fellow OneWorld airline who often partner with AA on these flights and with my lowest level membership). They were able to book me onto the 11am flight the next day (which was still an AA operated flight and really depressingly was no more than half full - I had two rows to myself) and assisted in calling a hotel, arranging free transport to/from and paid 50% of the cost of the hotel. Really put into context just how poor AA was."
708,"Do not Fly with this Airlines. I have certified ESA animals that they wouldn't allow me to board my flight twice to St. Maarten for school from DFW. The agents are incompetent, insensitive, racist and uncaring for those of us who have Documented Disabilities, certificates of approval from The Inspection Department of Agriculture and Ministry of Tourism to bring both of my ESA cats with me plus their veterinarian, USDA certificate, and yet they still denied me transportation not once but twice. I've experienced emotional distress, panic attacks and it has costs me over $2600 to prepare my ESA animals to fly. They lied on me say my Covid test was invalid, it was not , I need a physical exam, oh my debit card doesn't work to oh you were here last week , so he took over an hour to even put my luggage in the system. Never fly with this company, never if you want a piece of mind and treated with dignity and respect. Not lied on and to by the managers at DFW terminal C-21.  Just don't choose another airline."
709,American Airlines has deteriorated drastically especially during Covid.Keeping passengers waiting on a flight after boarding just so you can fill the flight with more passengers. And then luggage doesn’t get there because they have overpacked their flight. Disgusting AA!
710,My daughter and I flew on American appx 1week ago and the plane was packed! Every seat filled. The flight attendants were not very friendly and they barely went up and down the isles. Last month my husband and I flew on another airline to Cancun and they kept seats open in between strangers due to Covid. Also When I got to me seat after boarding there were crumbs in my seat. Obviously not cleaning well.
711,"My flight was scheduled to leave at 6:32am.  I got to the airport and hour before my flight left.  Unfortunately, forgot my phone in the car so had to call the parking shuttle to come back and pick me up to get my phone and bring me back.  They came right away, I zipped through the security line and ran to my gate.  I got to the gate at 6:18am.  The customer service lady had just shut the door after letting the last passenger through as I arrived to the gate.  I thought she would allow me to go through but unfortunately she refused.  She said I needed to be at the gate at least 15 minutes before the flight left.  I was there 14 minutes before the flight left and she just barely closed the door.  I begged for her to let me on the flight and she refused and said I was late and there was nothing she could do other than put me on stand by for the next flight.  She had no empathy for my situation and was cold and callous.  Seemed she was doing it to teach me a lesson...really?!  Ridiculous customer service.  I usually fly southwest but my company purchased this flight for me using their credit card points.  I would never fly American Airlines by choice...pathetic customer service!  Sure it was my fault for forgetting my phone...but I was there 14 minutes before my flight left, not 15 and was not able to get on my flight.   Incredible."
712,"We started out on our departure flight with a 2 hour delay due to a mechanical issue with a fuel pump. We missed our connecting flight but were able to get on another one without too much of a delay. In all we were around 2 hours late arriving at our destination. However they lost one of our 2 checked bags. We also noticed the one checked bag we did receive had black marks all over it and a liquid spilled on it. Turns out it was some form of oil. As I was reported our lost bag to the baggage claims I told the attendant about the oil on our brand new luggage. She promptly replied ""oh you never know what can show up in the baggage bins"" and would not file a damage report on the damage. In all the delays caused us to miss our dinner reservation as our bag did not show up for another few hours. I spoke with 2 different American Airline representatives over the phone 1 and 2 days later respectively and told both about our issues and not one person has said anything about our damaged luggage after both representatives said they were going to do so.  I use the word never cautiously but I'll never purchase a ticket for an American Airline flight again."
713,"I recently booked a flight to Charleston WV on the app. Once I got to Philadelphia and got to my gate I seen it was to Charleston Carolina. I straight away went to the service desk and asked what happened and why am I going to Carolina instead of West Virginia. I know I booked It correctly and they insisted that it was my fault and I had to pay an additional almost 400 to catch the next flight to Charleston WV. I had a deadline and for the app to not book properly and I showed proof of this and having to pay an additional almost 400 dollars and not get any reimbursement from the airline is unprofessional. I literally had no choice but to purchase it. My suggestion is to find the flight, call the airline if you can get through and make sure the call is recorded and they know this, by law you have to let them know. And book it. I lost almost 400 dollars and 3 hours on my job because of this glitch."
714,"I flew from Greenville, South Carolina to Columbus, Ohio. When I arrived at the Greenville airport, I was greater by Beverly. She may have been the most rude airline employee that I’ve even encountered. She was very unfriendly and charged me $200 for a large bag fee. Upon the charge, Amex informed me that it was actually a $230 fee. This was the same bag that I flew to Greenville with and was not charged. Actually it’s the same standard bag that I have used for the past 2 years. I asked for the manager but I didn’t have time to wait for her as my flight was leaving soon. It seemed to me that Beverly was trying to provoke an incident with me or she was hoping that I didn’t have the additional $230. Upon my arrival to Columbus, Ohio I retrieved my bag. I then walked to the ticket counter and spoke with Gary and another female employee. My bag was standard in their eyes. I took photos and filed a complaint with AA. Waiting to hear a response but I don’t think that I’ll be flying with the ever again."
715,"I am DISGUSTED that American Airlines doesn’t care one bit about COVID. They fill their planes to the brim, putting every single persons life at risk. This is now my second time flying with them during COVID where this has happened. All this airline cares about is money and greed more than human safety. Disgusting. I will never fly AA again and I will be sure to tell those I know to take another airline. Shame on you."
716,Will never fly AA worse customer service ever! Manager Nick would not listen to what I had to explain about my gate being changed without notification! Was very rude and unprofessional threatening me that I will never be able to fly American again! Told the counter lady Valerie he lives 2 blocks way from me!!
717,Never ever will travel in America airlines every time I get to travel is alway a delay on maintenance issues.two years ago when I traveled to Puerto Rico waited on the airport for about four hours and to be told that the flight was canceled due to maintenance problems.very disorganized and no social distances even the seating they were all occupied side by side.
718,My flight out of Virginia was scheduled for departure at 7:05 am. It was delayed over an hour causing me to miss my connecting flight to Tampa at .9:00am which would have arrive at 11:20am.AA put me on another flight that arrives in Tampa at 8:50 PM !!!  9 hours later!They even  refused to compensate my meals Now that I’m stuck at the airport. I. Am. NEVER. Flying. AA. Again.EVER !
719,No social distancing what so ever . Over crowded . No concern for pandemic and it’s customers.
720,"One hour time frame between landing and departure of my connecting flight in Charlotte, NC headed for charlottesville, VA.  We have to stall in the air for air traffic control before landing in Charlotte. Pilot gets on intercom and informs customers no need to worry about missing a connection flight we will be holding all departures for people on this flight. We race through the airport to get To an empty terminal. I had to pay $200 for a rental car (I chose Avis knowing that was Americans preferred partner hoping a reimbursement would be an easy breeze) and drive 6 hours home after there were no other flights. But of course nothing can be simple, I get thrown though ringer for three weeks talking to customer service to finally get an answer that there will be no reimbursement for the car and that’s the only answer I’m given. Absolute morons working at the airports letting a flight leave knowingly having customers in the air above them waiting and even worse customer service.. it’s $200 American, you’re a multi billion dollar company that still wants to steal money out of pockets of the nobodies in the world. Typical America."
721,"I have a serious respiratory medical condition. Breathing without anything over my face is difficult. Because of this I have flown without covering my face with a mask or anything else. On this particular flight I was harassed by the gate agent, the flight attendant, another flight attendant. These people stood around speaking rudely to me, ordering me to put on a mask, speaking disrespectfully, bullying me and never listening to a word I was saying . They were completely insensitive to my medical situation. When I called customer service they could not have cared less if they tried. The customer service representative was clearly reading a script. I have flown American for many years and I want to make it very clear that I will not fly them anymore ever. The unfortunate thing is that American Airlines really does not care one single bit that neither I nor any member of my family will ever fly American again. I do not even recognize the world in which we currently live. People are so rude, absolutely mean, unempathetic and have a total disregard for common courtesy, just like employees of American Airlines. God help us all!"
722,"Wow!  Kim recently helped me with a flight change, to the point that I hunted down how to send in a positive review of her service, I truly hope she hears of this message to AA.  We had a flight change that was going to have us in a 5 hour layover and not getting home until 10:30 p.m..  The issue is, we have a 2 year old and a 6 year old, so as you can image, that is not ideal for anyone.  Kim went above and beyond my expectation in getting us moved to another flight, with a very short layover and getting us home around 6 p.m..  I don't know if she'll ever know how much that meant to us.  I called and waited on hold for quite awhile and I'm so glad I did.  She resolved my concern in less than 15 minutes.  God surely put me on the phone with the best person for the job.  AA is blessed to have her on their team.  Thank you so much Kim and AA!"
723,"Not much to say from my part, I've never had a negative experience, and I travel quite often. It is my to-go company when I am trying to book a flight."
724,So disappointed in American Airlines!  Flew from DFW to Jax today and the plane was completely packed!!!even in this time of COVID. So sad! Obviously not concerned with passenger safety. 😪
725,Flew 9/9 on American from San Diego to DFW  flight #AA1611 and I wanted to give a great review of my experience with one particular flight attendant Chance beyond friendly and helpful !! I was traveling with my ESA Scribbles and when we were getting settled in my seat and  my Ear Bud got knocked out and I thought it would be forever lost. He totally helped me find it as it was lodged in the seat hardware. I'm sure its not in his job description  especially now to be so helpful !! So thank you to Chance for going out of your way !!
726,This democratic loving airline is the worst ever allowing blm  crap protest around the country are hurting Americans they are supporting this boycott non American Airlines I did and will never fly again on this sorry excuse of a so called American company you will be bankrupt soon and thank GOD for that you and your management are garbage GOD BLESS AMERICA you pile of garbage
727,"American is the WORST, their Customer services is dismal at best. They awarded me a flight coupon then denied it and never issued a ticket although the reservation remained in tact.  They then charged me an EXTRA $35 dollars to buy my ticket at the counter.  DO NOT FLY THESE THIEVING LEGAL EXTORTIONISTS. Keep my $35.00, its the last of my money you will EVER see !!!"
