num_overall,num_within_season,title,airdate,ingredients,dish,winner,season,guest1,guest2,guest3,contestant1,contestant2,judge1,judge2,judge3
251,1,"""Use Your Noodle""","June 27, 2019",Soba Noodles,Lamb Kofta,Bobby Flay,21,Scott Conant,Geoffrey Zakarian,,Philippe Haddad,Melissa O'Donnell,Jean-Paul Bourgeois,Jumana Bishara,Christian Schienle
252,2,"""A Taste Of Summer""","July 4, 2019",Passion Fruit,Fried Belly Clam Roll,Nick Williams,21,Noah Cappe,Anne Burrell,,Mark Peel,Nick Williams,Ed McFarland,Susan Povich,Kevin Sbraga
253,3,"""Snaked Out""","July 11, 2019",Cashew,Shakshuka,Bobby Flay,21,Marc Murphy,Chris Santos,,Sylva Senat,Derek Simcik,Einat Admony,Corby Kummer,Adrienne Cheatham
254,4,"""Seeing Stars""","July 18, 2019",Breakfast Sausage,Crawfish Boil,Jay Ducote,21,Damaris Philips,Richard Blais,,Alex McCoy,Jay Ducote,Jean-Paul Bourgeois,Hong Thaimee,Floyd Cardoz
255,5,"""It's A Date""","July 25, 2019",Veal Rib Chops,Meatloaf Sandwich,Bobby Flay,21,Alex Guarnaschelli,Alton Brown,,Carrie Summer,Lisa Carlson,Michael Psilakis,Ayala Donchin,Jake Dell
256,6,"""Finding Stars""","August 1, 2019",Arugula,Lamb Pie,Pano Karatassos,21,Giada De Laurentiis,Jess Cagle,,Mimi Weissenborn,Pano Karatassos,Michael Lomonaco,Michele Ragussis,Daniel Breaker
257,7,"""Clear The Deck""","August 8, 2019",Beef Rib Cap,Sole meuniere,Bobby Flay,21,Daphne Oz,Eddie Jackson,,Daniel Gomez Sanchez,Matthew Ridgway,Tricia Williams,Madison Cowan,Keri Glassman
258,8,"""Break A Plate!""","August 15, 2019",Rye Bread,Vegetable Lasagna,Bobby Flay,21,Damaris Phillips,Rachael Ray,,Anthony Scolaro,Adam Leonti,Frank Prisinzano,Georgette Farkas,Adam Greenberg
259,9,"""Funny or Fried""","August 22, 2019",Taleggio Cheese,Cuban Sandwich,Bobby Flay,21,Alton Brown,Amanda Freitag,,Gregory Wiener,Daphne Brogdon,Richie Notar,Sue Torres,Hugh Mangum
260,1,"""A Proper Smackdown""","August 29, 2019",Asian Pears,Fisherman's Pie,Ian Winslade,22,Valerie Bertinelli,Clinton Kelly,,Geoff Rhyne,Ian Winslade,Michael Solomonov,Adrienne Cheatham,Alain Allegretti
261,2,"""A Pioneering Ordeal""","September 5, 2019",Hanger Steak,Shrimp and Grits,Bobby Flay,22,Alex Guarnaschelli,Ree Drummond,,Vince Giancarlo,Jamarius Banks,Jean-Paul Bourgeois,Melba Wilson,Adrienne Cheatham
262,3,"""It's Gonna Be A Late Night""","September 12, 2019",Duck Bacon,Huevos Rancheros,Carrie Baird,22,Michael Symon,Seth Meyers,,Lamar Moore,Carrie Baird,Sara Moulton,Craig Samuel,Ariel Fox
263,4,"""All In The Family""","September 19, 2019",Horseradish,Picadillo,Bobby Flay,22,Carla Hall,Jesse Tyler Ferguson,,Michael Bertozzi,Mika Leon,Louie Estrada,Lourdes Castro,Chris Cheung
264,5,"""It's Gonna Be Jarring""","September 26, 2019",Anchovy,Agnolotti,Bobby Flay,22,Anne Burrell,Carson Kressley,,Kevin Sweeney,Nicco Muratore,Albert Di Meglio,Lauren Scala,Lisle Richards
265,6,"""Bobby vs. Food""","September 26, 2019",Olive,Arròs negre,Bobby Flay,22,Eddie Jackson,Casey Webb,,Sarah Murray,Eric Bolyard,Einat Admony,Lisle Richards,Alison Roman
266,7,"""Fey vs. Flay""","October 3, 2019",Rutabaga,Lamb Shawarma,Bobby Flay,22,Alex Guarnaschelli,Tina Fey,,Asia Mei,Alexcia Smith,Lucinda Scala Quinn,Michael Lomonaco,Esther Choi
267,8,"""They Had Style, They Had Food""","October 10, 2019",Ginger,Olive Oil Cake,Shelby Sieg,22,Scott Conant,Fran Drescher,,Jessica Scott,Shelby Sieg,Amirah Kassem,David Lebovitz,Paulette Goto
268,9,"""Keeping It Real""","October 17, 2019",Rolled Oats,Chicken Cacciatore,Bobby Flay,22,Ted Allen,Jeannie Mai,,Giuseppe Fanelli,Ryan Depersio,Richie Notar,Georgette Farkas,David Massoni
269,10,"""It Must've Been Love""","October 24, 2019",Papaya,Beef Empanada,Rosana Rivera,22,Jet Tila,Ali Tila,,Ricardo Castro,Rosana Rivera,Akhtar Nawab,Ivy Stark,Matt FX
270,11,"""Gobble Till You Wobble""","November 14, 2019",Cornbread,Turkey Meatloaf,Bobby Flay,22,Alex Guarnaschelli,Jay Pharoah,,Jason Bissell,Tirzah Love,Wylie Dufresne,Einat Admony,Adam Sappington
271,12,"""A Good Day for a Win""","December 26, 2019",Kumquat,Egg Rolls,Bobby Flay,22,Katie Lee,Mikey Day,,Adam Hodgson,Minnie Nguyen,Sara Gore,Kardea Brown,Pati Jinich
272,13,"""Winter Win-Derland""","January 2, 2020",Venison Loin,Duck a l'orange,Bobby Flay,22,Michael Symon,Bethenny Frankel,,Andrew Wilson,Kevin Hickey,Daniel Breaker,Lucinda Scala Quinn,Daniel Eddy
273,1,"""You Look Radishing""","January 5, 2020",Radish,Eggs Benedict,Charlie Loomis,23,Giada De Laurentiis,Betsy Brandt,,Israel Rivera,Charlie Loomis,Richie Notar,Sue Torres,James Briscione
274,2,"""Don't Fiddle Around!""","January 9, 2020",Fiddlehead Ferns,Baked Clams,Bobby Flay,23,Josh Capon,Teri Hatcher,,Daniel Wright,Geoff Lazio,Ronnie Woo,Rosanna Scotto,Ed McFarland
275,3,"""That's Amore""","January 12, 2020",Chanterelle Mushrooms,Pizza Bianca,Daniele Uditi,23,Carla Hall,Christian Petroni,,Chris Thompson,Daniele Uditi,JJ Johnson,Lauren Scala,Joe Isidori
276,4,"""America's Funniest Food Show""","January 16, 2020",Fontina,Lobster Risotto,Sam Diminich,23,Anne Burrell,Bob Saget,,Aliza Green,Sam Diminich,Marco Canora,Susan Povich,Michael Psilakis
277,5,"""Pretty Little Fryer""","January 19, 2020",Smelts,Veal Saltimbocca,Bobby Flay,23,Scott Conant,Sasha Pieterse,,Franco Robazetti,Anthony LoPinto,Cliff Crooks,Lourdes Castro,Justin Bazdarich
278,6,"""Perched For Victory""","January 26, 2020",Yellow Perch,Arancini,Elizabeth Binder,23,Anne Burrell,Valerie Bertinelli,,Mike Ellis,Elizabeth Binder,Michel Nischan,Ayesha Nurdjaja,Albert Di Meglio
279,7,"""This'll Stick In Your Craw""","January 26, 2020",Crawfish,Clay Pot Chicken,Bobby Flay,23,Sunny Anderson,Clinton Kelly,,Jojo Vasquez,Brian Riggenbach,Dan Churchill,Leah Cohen,Chris Cheung
280,8,"""The Cheese Stands Alone""","February 2, 2020",Farmer's Cheese,Chicken Tikka Masala,Paddy Rawal,23,Sunny Anderson,Giada De Laurentiis,,Trey Lamont,Paddy Rawal,Floyd Cardoz,Leah Cohen,Nigel Spence
281,9,"""Chocolate Covered Clash""","February 9, 2020",Chocolate Hazelnut Spread,Chocolate Cream Pie,Bobby Flay,23,Michael Voltaggio,Drew Barrymore,,Miriam Taylor,DaVee Harned,Zac Young,Paulette Goto,Scott Levine
282,10,"""We Will, We Will Judge You""","February 9, 2020",Cotija Cheese,Pastitsio,Michele Ragussis,23,Alex Guarnaschelli,Lou Diamond Phillips,,Adrienne Cheatham,Michele Ragussis,Keri Glassman,Craig Samuel,Dana Cowin
283,11,"""The Power of Jane""","February 16, 2020",Tamarind,Chicken Schnitzel,Bobby Flay,23,Michael Symon,Jane Krakowski,,Matt Spinner,Attila Bollok,Drew Nieporent,Dana Cowin,Jeremy Salaman
284,12,"""Guess Who's Back""","February 16, 2020",Cranberry Beans,Pasta Ragù,Bobby Flay,23,Katie Lee,Josh Capon,,Jackie Rothong,Ryan Lory,Frank Prisinzano,Angie Rito,Albert Di Meglio
285,1,"""The Queen Is In""","February 23, 2020",Mandarin Oranges,Fish Croquette,Michael Merida,24,Richard Blais,Martha Stewart,,Katherine Fuchs,Michael Merida,Laurent Tourondel,Ayesha Nurdjaja,Felipe Donnelly
286,2,"""The Lady Butchers""","February 23, 2020",Bison Loin,Pork Sandwich,Penny Barend,24,Michael Symon,Courtney Rada,,Melissa Khoury,Penny Barend,Lourdes Castro,Matt Abdoo,Leah Wolfe
287,3,"""This Just In!""","March 1, 2020",Whole Flounder,Bacon Cheeseburger,Patrick Schaeffer,24,Alex Guarnaschelli,Don Lemon,,Dieter Samijn,Patrick Schaeffer,Adrienne Cheatham,Laurent Tourondel,Abigail Hitchcock
288,4,"""The Queen Returns""","March 1, 2020",Sunflower Seeds,Fried Chicken Sandwich,Bobby Flay,24,Michael Symon,Martha Stewart,,Max Castro,Sarah Wade,Ariel Fox,Joe Isidori,Kardea Brown
289,5,"""We'll Be The Judge""","March 8, 2020",Duck eggs,Wonton Soup,Dale Talde,24,Sunny Anderson,Geoffrey Zakarian,,Ed McFarland,Dale Talde,Michael Anthony,Tricia Williams,Ed Schoenfeld
290,6,"""The View From The Top""","March 15, 2020",Spring Onions,Pork Ramen,Bobby Flay,24,Michael Symon,Sunny Hostin,,Pom Amaritnant,Troy Gagliardo,Dale Talde,Sara Gore,Ed Schoenfeld
291,7,"""All Dried Out Over You""","March 22, 2020",Guajillo Chilies,Surf and Turf,Bobby Flay,24,Anne Burrell,David Burtka,,Ian Redshaw,Rachael Polhill,Abigail Hitchcock,Wylie Dufresne,Ayala Donchin
292,8,"""Don't Sugarcoat It""","March 29, 2020",Kiwi,Baklava,Kathleen McDaniel,24,Marcela Valladolid,Buddy Valastro,,Jocelyn Gragg,Kathleen McDaniel,Claudia Fleming,David Lebovitz,Sarah Sanneh
293,9,"""Blast From The Past""","April 5, 2020",Serrano Ham,Lamb Meatballs,Bobby Flay,24,Ted Allen,Carla Hall,,Justin Hunt,Wesley True,Rosanna Scotto,Dan Kluger,Ayesha Nurdjaja
294,10,"""BBF: Beat My Best Friend""","April 12, 2020",Black-Eyed Peas,venison Wellington,Sylvain Delpique,24,Michael Symon,Clinton Kelly,,Jackie Mazza,Sylvain Delpique,Drew Nieporent,Georgette Farkas,Harold Moore
295,11,"""The Grill Fits The Bill""","April 19, 2020",Goat Rack,Ribs,Bobby Flay,24,Anne Burrell,Marc Murphy,,Susie Bulloch,David Bancroft,Hugh Mangum,Amy Mills,Ed McFarland
296,12,"""Sibling Rivalry""","April 26, 2020",Cherry Peppers,Kreplach,Lisa Storch,24,Alex Guarnaschelli,Damaris Phillips,,Matt Storch,Lisa Storch,Craig Samuel,Dana Cowin,Jake Dell
297,13,"""No Cake Walk""","May 3, 2020",Black and White Sesame Seeds and Tahini,Multi-Layered Cake,Buddy Valastro,24,Sunny Anderson,,,Alex Guarnaschelli,Buddy Valastro,Paulette Goto,Dan Langan,Ashley Gabrielsen
298,1,"""Ready, Set, Grill!""","May 24, 2020",Swordfish,Barbecue Chicken Wings,Bobby Flay,25,Eddie Jackson,Danica Patrick,,Jess DeSham Timmons,Leslie Roark Scott,Ronnie Woo,Tricia Williams,Joe Isidori
299,2,"""Summer Lovin'""","May 31, 2020",Rhubarb,Lobster Rolls,Bobby Flay,25,Carla Hall,Steve Higgins,,Kathy Sidell,Vinson Petrillo,Michele Ragussis,James Briscione,Hannah Wong
300,3,"""Gives You Goosebumps""","June 7, 2020",Goosberries,Pork Chops and Applesauce,Bobby Flay,25,Scott Conant,Cheri Oteri,,Senada Grbic,Nick Walker,Michael Psilakis,Sara Moulton,Jeremy Salamon
301,4,"""Go Nuts!""","June 14, 2020",Walnuts,Steak Sandwich,Anthony Endy,25,Ree Drummond,Eddie Jackson,,Ian Rough,Anthony Endy,Hugh Mangum,Pati Jinich,Cliff Crooks
302,5,"""Superchef, Supermodel""","June 21, 2020",Taro Root,Falafel,Max Robbins,25,Anne Burrell,Gigi Hadid,,Melissa Araujo,Max Robbins,Michael Psilakis,Tricia Williams,Joe Isidori
303,6,"""Beat Bobby Flay: The Musical""","June 28, 2020",Capers,French Onion Soup,Rémi Granger,25,Damaris Phillips,Jaymee Sire,,Elijah Milligan,Rémi Granger,David Massoni,Ariane Daguin,Michael Anthony
304,7,"""So Much Shade""","July 5, 2020",Baby Artichokes,Chicken Cordon Bleu,Bobby Flay,25,Scott Conant,Vivica A. Fox,,Peter Prime,Nico Romo,Melba Wilson,Brian Duffy,Lucinda Scala Quinn
305,8,"""Fresh-Squeezed""","July 12, 2020",Pomelo,Pozole Verde with Seafood,Bobby Flay,25,Amanda Freitag,Michael Symon,,Carrie Eagle,Jose Salazar,Ivy Stark,Michael Psilakis,Pati Jinich
306,9,"""Somewhere Over The Rainbow""","July 19, 2020",Rainbow Carrots,Crab Bisque,Bobby Flay,25,Alex Guarnaschelli,Michael Voltaggio,,Devin Bozkaya,Jennifer Dewasha,Michele Ragussis,Michael Gutowski,Melba Wilson
