country,location_name,condition_text,air_quality_PM2.5,air_quality_PM10
Sweden,Stockholm,Sunny,22.385,24.235
Switzerland,Bern,Partly cloudy,7.585,9.805
Syria,Damascus,Sunny,50.505,67.34
Tajikistan,Dushanbe,Sunny,14.615,29.415
Tanzania,Dodoma,Partly cloudy,8.14,12.395
Thailand,Bangkok,Partly cloudy,32.375,47.545
Timor-Leste,Dili,Clear,10.545,17.205
Vietnam,Ban Lom,Patchy rain nearby,18.293,26.348
Tonga,Nuku`Aloia,Partly cloudy,4.335,8.319
Trinidad and Tobago,Port Of Spain,Partly cloudy,10.915,18.685
Tunisia,Tunis,Partly cloudy,39.22,111.37
Turkey,Ankara,Partly cloudy,39.035,49.95
Turkmenistan,Ashgabat,Partly cloudy,13.875,28.49
Tuvalu,Funafuti,Partly cloudy,9.821,18.857
Uganda,Kampala,Patchy rain nearby,22.94,35.89
Ukraine,Kyiv,Sunny,15.54,17.945
United Arab Emirates,Abu Dhabi,Sunny,115.44,389.425
United Kingdom,London,Mist,14.06,15.17
United States of America,Washington Harbor,Clear,19.795,29.045
Uruguay,Montevideo,Sunny,7.4,10.73
Uzbekistan,Tashkent,Sunny,22.385,37.925
Vanuatu,Port Vila,Partly cloudy,20.765,39.261
Venezuela,Caracas,Sunny,11.655,16.835
Vietnam,Hanoi,Clear,48.285,69.375
Yemen,Sanaa,Patchy rain nearby,42.735,191.29
Zambia,Lusaka,Sunny,7.4,11.84
Zimbabwe,Harare,Sunny,8.51,12.58
Afghanistan,Kabul,Sunny,13.875,31.08
Albania,Tirana,Partly cloudy,13.875,17.39
Algeria,Algiers,Partly cloudy,45.51,133.755
Andorra,Andorra La Vella,Partly Cloudy,5.18,8.14
Angola,Luanda,Partly cloudy,34.41,52.91
Antigua and Barbuda,Saint John's,Patchy light rain with thunder,5.789,11.035
Argentina,Buenos Aires,Mist,13.875,19.795
Armenia,Yerevan,Partly cloudy,35.15,106.56
Australia,Canberra,Clear,10.73,26.085
Austria,Vienna,Sunny,22.755,26.085
Azerbaijan,Baku,Partly cloudy,39.035,155.585
Bahamas,Nassau,Partly cloudy,10.175,18.87
Bahrain,Manama,Sunny,56.425,208.495
Bangladesh,Dhaka,Cloudy,32.56,47.175
Barbados,Bridgetown,Moderate or heavy rain with thunder,10.019,20.395
Belarus,Minsk,Sunny,17.575,19.425
Belgium,Brussels,Clear,31.82,36.63
Belize,Belmopan,Mist,8.51,12.21
Benin,Porto-Novo,Partly cloudy,17.945,28.86
Bhutan,Thimphu,Patchy rain nearby,4.81,7.03
Bolivia,Sucre,Sunny,53.465,76.96
Bosnia and Herzegovina,Sarajevo,Sunny,14.985,18.685
Botswana,Gaborone,Sunny,6.105,8.88
Brazil,Bras,Sunny,16.65,24.605
Brunei Darussalam,Bandar Seri Begawan,Moderate or heavy rain with thunder,41.81,62.16
Bulgaria,Sofia,Sunny,22.57,35.705
Burkina Faso,Ouagadougou,Patchy light rain,15.355,23.31
Burundi,Bujumbura,Sunny,18.5,28.305
Madagascar,Ivory,Sunny,4.07,5.92
Cape Verde,Praia,Partly cloudy,14.8,35.52
Cambodia,Phnom Penh,Partly cloudy,4.44,6.845
Cameroon,Ngaoundere,Partly cloudy,13.135,18.87
Canada,Ottawa,Heavy rain,1.48,2.035
Central African Republic,Bangui,Moderate or heavy rain with thunder,11.1,15.725
Chad,N'djamena,Partly cloudy,12.58,18.315
Chile,Santiago,Fog,85.655,123.21
China,Beijing,Clear,98.05,140.415
Bulgaria,Bogot,Sunny,19.425,22.385
Comoros,Moroni,Patchy rain nearby,9.065,16.835
Congo,Brazzaville,Sunny,28.49,41.625
Costa Rica,San Ignacio,Sunny,15.725,22.57
Croatia,Zagreb,Partly cloudy,12.765,14.985
Cuba,Havana,Partly cloudy,8.695,13.505
Cyprus,Nicosia,Partly cloudy,18.5,27.565
Czech Republic,Prague,Partly cloudy,24.975,31.08
Democratic Republic of Congo,Kinshasa,Sunny,28.49,41.625
Denmark,Copenhagen,Sunny,31.45,56.61
Djibouti,Djibouti,Sunny,39.035,149.85
Dominica,Roseau,Partly cloudy,5.735,10.915
Dominican Republic,Santo Domingo,Partly cloudy,17.945,26.825
Ecuador,Quito,Sunny,34.225,50.135
Egypt,Cairo,Sunny,53.835,75.295
El Salvador,San Salvador,Mist,8.14,11.84
Equatorial Guinea,Malabo,Partly cloudy,6.105,9.25
Eritrea,Asmara,Patchy light rain in area with thunder,16.095,74.0
Estonia,Tallinn,Sunny,16.095,19.425
Swaziland,Mbabane,Sunny,11.655,17.39
Ethiopia,Addis Ababa,Partly cloudy,36.445,85.655
Fiji Islands,Suva,Partly cloudy,19.055,36.26
Finland,Helsinki,Partly cloudy,17.02,20.905
France,Paris,Partly cloudy,8.51,14.245
Gabon,Libreville,Partly cloudy,13.32,19.61
Gambia,Banjul,Partly cloudy,23.495,66.045
Georgia,Tbilisi,Sunny,37.37,142.45
Germany,Berlin,Sunny,36.075,45.14
Ghana,Accra,Partly cloudy,13.135,20.535
Greece,Athens,Partly cloudy,36.63,51.8
Grenada,Saint George's,Partly Cloudy,8.51,17.02
Guatemala,Guatemala City,Mist,16.65,23.865
Guinea,Conakry,Partly cloudy,8.88,16.465
Guinea-Bissau,Bissau,Partly cloudy,14.43,49.58
Guyana,Georgetown,Patchy rain nearby,21.46,34.595
Haiti,Port-Au-Prince,Partly cloudy,46.25,69.745
Vatican City,Vatican City,Sunny,16.465,33.3
Honduras,Tegucigalpa,Partly cloudy,14.06,20.35
Hungary,Budapest,Sunny,30.895,34.41
Iceland,Vestmannaeyjar,Overcast,9.181,43.149
India,New Delhi,Moderate or heavy rain with thunder,29.23,41.81
Indonesia,Jakarta,Partly cloudy,115.44,167.98
Iran,Tehran,Sunny,30.34,72.705
Iraq,Baghdad,Sunny,29.6,46.805
Ireland,Dublin,Partly cloudy,43.29,61.605
Israel,Jerusalem,Sunny,36.815,51.8
Italy,Rome,Sunny,16.465,33.3
Jamaica,Port Royal,Partly cloudy,14.06,24.05
Japan,Tokyo,Partly cloudy,61.235,94.535
Jordan,Amman,Sunny,21.645,32.005
Kazakhstan,Astana,Partly cloudy,17.02,24.975
Kenya,Nairobi,Partly cloudy,13.32,20.72
Kiribati,Tarawa,Clear,19.795,32.375
Kuwait,Kuwait City,Sunny,73.26,389.425
Kyrghyzstan,Bishkek,Sunny,3.515,6.475
Indonesia,Laos,Light rain shower,14.06,22.57
Latvia,Riga,Sunny,17.39,20.535
Lebanon,Beirut,Partly cloudy,33.67,45.14
Lesotho,Maseru,Sunny,8.88,12.95
Liberia,Monrovia,Patchy rain nearby,12.025,21.83
Thailand,Nan,Partly cloudy,16.65,24.05
Liechtenstein,Vaduz,Sunny,4.07,4.81
Lithuania,Vilnius,Sunny,13.505,15.91
Luxembourg,Luxembourg,Sunny,9.25,10.175
Madagascar,Antananarivo,Partly cloudy,3.7,5.735
Malawi,Lilongwe,Partly cloudy,16.835,25.16
Malaysia,Kuala Lumpur,Partly cloudy,50.69,74.37
Maldives,Dhidhdhoo,Cloudy,9.521,29.413
Mali,Bamako,Partly cloudy,2.775,4.07
Malta,Valletta,Partly cloudy,26.825,65.675
Marshall Islands,Majuro,Partly cloudy,9.065,17.205
Mauritania,Nouakchott,Sunny,12.95,63.825
Mauritius,Port Louis,Patchy rain nearby,14.985,27.935
Mexico,Mexico City,Partly cloudy,8.88,12.58
Micronesia,Palikir,Partly cloudy,3.7,6.845
Iran,Chi Chi Khvar,Sunny,26.455,78.81
Monaco,Monaco,Partly cloudy,9.25,20.165
Mongolia,Ulaanbaatar,Clear,10.73,18.5
Montenegro,Podgorica,Partly cloudy,16.095,24.05
Morocco,Rabat,Partly cloudy,12.58,33.3
Mozambique,Maputo,Partly cloudy,17.76,27.935
Myanmar,Yangon,Overcast,9.62,15.91
Namibia,Windhoek,Sunny,3.885,5.92
Turkey,Yaren,Partly cloudy,34.595,51.43
Nepal,Kathmandu,Partly cloudy,25.715,36.63
Netherlands,Amsterdam,Partly cloudy,24.975,28.86
New Zealand,Wellington,Light rain,14.8,23.31
Nicaragua,Managua,Partly cloudy,10.36,15.17
Niger,Niamey,Moderate or heavy rain with thunder,6.66,12.58
Nigeria,Abuja,Partly cloudy,10.915,15.54
North Korea,Pyongyang,Partly Cloudy,20.72,31.82
Macedonia,Skopje,Partly cloudy,30.34,41.995
Norway,Oslo,Sunny,20.535,23.68
Oman,Muscat,Sunny,44.955,96.755
Pakistan,Islamabad,Sunny,56.425,86.21
Palau,Airai,Partly cloudy,5.18,9.065
Bolivia,National,Sunny,176.12,252.34
Panama,Panama City,Partly cloudy,7.4,11.655
Papua New Guinea,Port Moresby,Partly cloudy,22.385,39.59
Paraguay,Aurora,Sunny,201.554,289.157
Peru,Lima,Patchy rain nearby,20.535,35.52
Philippines,Manila,Partly cloudy,45.14,69.005
Poland,Warsaw,Sunny,25.345,38.48
Portugal,Lisbon,Partly cloudy,15.725,33.485
Qatar,Doha,Sunny,89.17,317.83
Romania,Bucharest,Sunny,16.095,25.345
Russia,Moscow,Sunny,95.275,110.26
Rwanda,Kigali,Partly cloudy,17.575,26.64
Saint Kitts and Nevis,Basseterre,Partly cloudy,4.255,7.77
Saint Lucia,Castries,Partly cloudy,8.695,16.65
Saint Vincent and the Grenadines,Kingstown,Patchy rain nearby,9.902,18.723
Samoa,Apia,Moderate rain,13.69,25.715
San Marino,San Marino,Sunny,8.399,14.608
Belgium,'S Gravenjansdijk,Sunny,14.43,19.98
Saudi Arabia,Riyadh,Sunny,48.655,408.295
Senegal,Dakar,Partly cloudy,19.24,49.025
Serbia,Belgrade,Sunny,19.055,25.9
Seychelles Islands,Victoria,Moderate rain,15.54,29.97
Sierra Leone,Freetown,Partly cloudy,13.32,23.125
Singapore,Singapore,Partly cloudy,24.42,40.885
Slovakia,Bratislava,Partly cloudy,31.45,39.59
Slovenia,Ljubljana,Partly cloudy,10.73,11.84
Solomon Islands,Honiara,Partly cloudy,13.69,23.31
Somalia,Mogadishu,Partly cloudy,14.245,24.975
South Africa,Pretoria,Sunny,8.51,12.58
South Korea,Seoul,Clear,43.475,64.01
Sudan,Juba,Sunny,10.36,22.755
Spain,Madrid,Sunny,6.845,11.1
Sri Lanka,Colombo,Partly cloudy,23.68,53.65
Sudan,Khartoum,Sunny,28.305,150.775
Suriname,Paramaribo,Sunny,14.06,22.755
Sweden,Stockholm,Sunny,17.945,20.535
Switzerland,Bern,Sunny,7.585,10.175
Syria,Damascus,Sunny,46.25,62.16
Tajikistan,Dushanbe,Mist,18.315,60.31
Tanzania,Dodoma,Sunny,4.625,7.03
Thailand,Bangkok,Partly cloudy,12.395,18.13
Timor-Leste,Dili,Clear,11.47,18.685
Vietnam,Ban Lom,Moderate rain,8.325,11.84
Tonga,Nuku`Aloia,Overcast,24.42,46.99
Trinidad and Tobago,Port Of Spain,Partly cloudy,14.245,22.755
Tunisia,Tunis,Partly cloudy,38.48,123.025
Turkey,Ankara,Partly cloudy,32.56,48.655
Turkmenistan,Ashgabat,Sunny,4.255,6.66
Tuvalu,Funafuti,Overcast,9.62,17.39
Uganda,Kampala,Sunny,30.71,46.99
Ukraine,Kyiv,Sunny,15.725,17.575
United Arab Emirates,Abu Dhabi,Sunny,110.26,429.94
United Kingdom,London,Partly cloudy,24.975,34.595
United States of America,Washington Harbor,Clear,13.875,20.905
Uruguay,Montevideo,Sunny,43.475,62.9
Uzbekistan,Tashkent,Sunny,10.36,17.575
Vanuatu,Port Vila,Partly cloudy,25.715,49.765
Venezuela,Caracas,Sunny,9.99,14.245
Vietnam,Hanoi,Heavy rain at times,9.435,13.505
Yemen,Sanaa,Patchy rain nearby,36.26,174.825
Zambia,Lusaka,Sunny,16.835,25.9
Zimbabwe,Harare,Sunny,16.095,24.42
Afghanistan,Kabul,Sunny,14.43,38.85
Albania,Tirana,Sunny,20.35,23.31
Algeria,Algiers,Partly cloudy,29.6,41.81
Andorra,Andorra La Vella,Patchy rain nearby,10.175,24.605
Angola,Luanda,Partly cloudy,42.735,66.97
Antigua and Barbuda,Saint John's,Partly cloudy,11.939,22.612
Argentina,Buenos Aires,Sunny,22.755,33.115
Armenia,Yerevan,Partly cloudy,36.815,97.125
Australia,Canberra,Clear,4.255,6.66
Austria,Vienna,Sunny,12.395,20.165
Azerbaijan,Baku,Sunny,16.465,37.185
Bahamas,Nassau,Partly cloudy,5.365,10.175
Bahrain,Manama,Sunny,77.145,298.96
Bangladesh,Dhaka,Partly Cloudy,25.345,37.185
Barbados,Bridgetown,Partly cloudy,8.587,15.565
Belarus,Minsk,Sunny,18.87,20.535
Belgium,Brussels,Partly cloudy,4.81,5.55
Belize,Belmopan,Fog,9.805,14.245
Benin,Porto-Novo,Partly cloudy,19.795,31.635
Bhutan,Thimphu,Patchy rain nearby,3.885,5.365
Bolivia,Sucre,Sunny,110.63,158.915
Bosnia and Herzegovina,Sarajevo,Partly cloudy,18.315,49.21
Botswana,Gaborone,Sunny,8.695,13.135
Brazil,Bras,Sunny,13.32,19.425
Brunei Darussalam,Bandar Seri Begawan,Partly cloudy,22.2,32.375
Bulgaria,Sofia,Sunny,14.985,22.755
Burkina Faso,Ouagadougou,Patchy rain nearby,5.735,8.14
Burundi,Bujumbura,Sunny,22.94,34.965
Madagascar,Ivory,Sunny,2.22,3.515
Cape Verde,Praia,Partly cloudy,18.5,41.81
Cambodia,Phnom Penh,Partly cloudy,5.365,8.325
Cameroon,Ngaoundere,Overcast,9.25,13.32
Canada,Ottawa,Partly cloudy,1.665,2.22
Central African Republic,Bangui,Patchy light rain with thunder,23.68,33.855
Chad,N'djamena,Patchy light rain with thunder,10.36,15.355
Chile,Santiago,Sunny,97.865,140.415
China,Beijing,Clear,161.875,235.135
Bulgaria,Bogot,Sunny,15.91,27.565
Comoros,Moroni,Patchy rain nearby,7.215,12.395
Congo,Brazzaville,Partly cloudy,36.445,53.28
Costa Rica,San Ignacio,Sunny,15.54,22.2
Croatia,Zagreb,Sunny,15.17,26.825
Cuba,Havana,Partly cloudy,9.805,15.91
Cyprus,Nicosia,Partly cloudy,22.015,32.375
Czech Republic,Prague,Sunny,13.135,14.985
Democratic Republic of Congo,Kinshasa,Partly cloudy,36.445,53.28
Denmark,Copenhagen,Sunny,32.745,46.435
Djibouti,Djibouti,Sunny,60.865,267.88
Dominica,Roseau,Partly cloudy,6.66,12.58
Dominican Republic,Santo Domingo,Partly cloudy,18.87,29.415
Ecuador,Quito,Sunny,34.78,50.32
Egypt,Cairo,Partly cloudy,44.03,73.26
El Salvador,San Salvador,Mist,3.145,4.995
Equatorial Guinea,Malabo,Partly cloudy,9.065,13.875
Eritrea,Asmara,Sunny,32.375,146.89
Estonia,Tallinn,Sunny,16.28,18.685
Swaziland,Mbabane,Partly cloudy,9.065,13.32
Ethiopia,Addis Ababa,Partly cloudy,18.87,44.77
Fiji Islands,Suva,Light rain,18.5,34.965
Finland,Helsinki,Sunny,16.65,19.98
France,Paris,Light rain,4.255,6.845
Gabon,Libreville,Partly cloudy,17.205,25.715
Gambia,Banjul,Partly cloudy,12.21,47.73
Georgia,Tbilisi,Sunny,30.155,111.185
Germany,Berlin,Sunny,17.945,22.2
Ghana,Accra,Partly Cloudy,20.535,33.115
Greece,Athens,Partly cloudy,12.58,15.725
Grenada,Saint George's,Partly cloudy,16.28,29.785
Guatemala,Guatemala City,Partly cloudy,15.91,22.94
Guinea,Conakry,Light rain,12.765,22.57
Guinea-Bissau,Bissau,Partly cloudy,14.985,35.89
Guyana,Georgetown,Patchy rain nearby,20.535,34.78
Haiti,Port-Au-Prince,Partly cloudy,35.15,53.835
Vatican City,Vatican City,Partly cloudy,33.115,75.665
Honduras,Tegucigalpa,Partly cloudy,11.285,16.65
Hungary,Budapest,Sunny,19.425,32.375
Iceland,Vestmannaeyjar,Partly cloudy,6.61,25.155
India,New Delhi,Mist,59.385,85.285
Indonesia,Jakarta,Partly cloudy,111.555,164.095
Iran,Tehran,Partly cloudy,29.23,71.225
Iraq,Baghdad,Sunny,37.555,53.465
Ireland,Dublin,Partly cloudy,23.68,37.74
Israel,Jerusalem,Sunny,27.935,46.99
Italy,Rome,Partly cloudy,33.115,75.665
Jamaica,Port Royal,Partly cloudy,7.585,13.69
Japan,Tokyo,Partly cloudy,52.355,80.105
Jordan,Amman,Partly cloudy,20.905,32.005
Kazakhstan,Astana,Partly cloudy,13.32,19.24
Kenya,Nairobi,Partly cloudy,16.835,25.53
Kiribati,Tarawa,Patchy rain nearby,9.62,18.13
Kuwait,Kuwait City,Sunny,88.8,267.88
Kyrghyzstan,Bishkek,Sunny,20.165,33.67
Indonesia,Laos,Mist,16.095,25.53
Latvia,Riga,Sunny,19.61,20.905
Lebanon,Beirut,Partly cloudy,34.41,46.25
Lesotho,Maseru,Sunny,13.875,20.35
Liberia,Monrovia,Light rain shower,13.505,23.31
Thailand,Nan,Partly cloudy,8.325,12.025
Liechtenstein,Vaduz,Light rain shower,11.285,23.495
Lithuania,Vilnius,Sunny,13.135,15.54
Luxembourg,Luxembourg,Partly cloudy,6.105,8.88
Madagascar,Antananarivo,Partly cloudy,3.515,5.18
Malawi,Lilongwe,Partly cloudy,8.695,13.32
Malaysia,Kuala Lumpur,Partly cloudy,50.875,75.295
Maldives,Dhidhdhoo,Partly Cloudy,11.391,27.373
Mali,Bamako,Partly cloudy,9.805,16.095
Malta,Valletta,Sunny,38.665,90.28
Marshall Islands,Majuro,Partly cloudy,6.475,11.47
Mauritania,Nouakchott,Sunny,58.645,363.525
Mauritius,Port Louis,Sunny,17.205,32.005
Mexico,Mexico City,Overcast,12.025,17.575
Micronesia,Palikir,Partly cloudy,10.175,17.205
Iran,Chi Chi Khvar,Sunny,27.38,107.67
Monaco,Monaco,Light rain,10.175,13.32
Mongolia,Ulaanbaatar,Partly cloudy,16.465,25.16
Montenegro,Podgorica,Partly cloudy,16.465,20.905
Morocco,Rabat,Sunny,12.58,49.95
Mozambique,Maputo,Sunny,15.91,23.865
Myanmar,Yangon,Light drizzle,9.62,16.28
Namibia,Windhoek,Sunny,18.13,26.455
Turkey,Yaren,Partly cloudy,15.54,22.755
Nepal,Kathmandu,Partly cloudy,31.265,44.77
Netherlands,Amsterdam,Partly cloudy,5.735,7.955
New Zealand,Wellington,Clear,4.44,7.955
Nicaragua,Managua,Partly cloudy,6.66,10.36
Niger,Niamey,Partly cloudy,6.29,8.88
Nigeria,Abuja,Partly cloudy,16.465,23.68
North Korea,Pyongyang,Clear,23.31,34.04
Macedonia,Skopje,Partly cloudy,26.085,34.04
Norway,Oslo,Partly cloudy,23.68,34.78
Oman,Muscat,Sunny,43.105,99.9
Pakistan,Islamabad,Sunny,45.51,69.56
Palau,Airai,Partly cloudy,3.145,5.18
Bolivia,National,Sunny,226.625,323.935
Panama,Panama City,Overcast,6.475,10.175
Papua New Guinea,Port Moresby,Partly cloudy,17.76,31.45
Paraguay,Aurora,Sunny,118.315,169.165
Peru,Lima,Sunny,20.535,35.15
Philippines,Manila,Partly cloudy,37.185,57.35
Poland,Warsaw,Sunny,20.165,22.94
Portugal,Lisbon,Partly cloudy,12.58,18.5
Qatar,Doha,Sunny,84.175,276.575
Romania,Bucharest,Sunny,15.54,21.46
Russia,Moscow,Sunny,30.34,35.705
Rwanda,Kigali,Partly cloudy,19.98,30.155
Saint Kitts and Nevis,Basseterre,Overcast,4.625,8.325
Saint Lucia,Castries,Partly cloudy,9.805,19.24
Saint Vincent and the Grenadines,Kingstown,Cloudy,11.522,21.784
Samoa,Apia,Partly cloudy,9.065,16.835
San Marino,San Marino,Light rain,25.563,40.719
Belgium,'S Gravenjansdijk,Partly Cloudy,7.4,9.25
Saudi Arabia,Riyadh,Sunny,38.48,484.145
Senegal,Dakar,Partly cloudy,22.57,77.145
Serbia,Belgrade,Sunny,19.425,27.38
Seychelles Islands,Victoria,Moderate rain,21.09,40.33
Sierra Leone,Freetown,Light rain shower,10.73,20.165
Singapore,Singapore,Partly cloudy,17.205,28.49
Slovakia,Bratislava,Sunny,19.795,28.305
Slovenia,Ljubljana,Partly cloudy,14.43,29.415
Solomon Islands,Honiara,Clear,20.905,34.965
Somalia,Mogadishu,Partly cloudy,16.465,29.045
South Africa,Pretoria,Sunny,13.875,20.535
South Korea,Seoul,Clear,66.97,99.715
Sudan,Juba,Partly Cloudy,23.68,99.53
Spain,Madrid,Sunny,7.03,12.21
Sri Lanka,Colombo,Partly cloudy,25.345,61.605
Sudan,Khartoum,Sunny,32.93,165.76
Suriname,Paramaribo,Sunny,12.395,19.425
Sweden,Stockholm,Sunny,18.685,23.68
Switzerland,Bern,Overcast,6.105,8.88
Syria,Damascus,Sunny,41.81,51.06
Tajikistan,Dushanbe,Sunny,14.8,77.33
Tanzania,Dodoma,Partly cloudy,7.77,11.655
Thailand,Bangkok,Partly cloudy,11.655,17.76
Timor-Leste,Dili,Clear,7.4,11.84
Vietnam,Ban Lom,Light rain shower,4.995,7.03
Tonga,Nuku`Aloia,Overcast,20.535,39.22
Trinidad and Tobago,Port Of Spain,Overcast,14.245,23.68
Tunisia,Tunis,Partly cloudy,47.545,146.335
Turkey,Ankara,Partly cloudy,26.64,29.6
Turkmenistan,Ashgabat,Sunny,4.81,8.695
Tuvalu,Funafuti,Partly cloudy,20.165,37.74
Uganda,Kampala,Sunny,26.085,38.85
Ukraine,Kyiv,Sunny,14.245,16.465
United Arab Emirates,Abu Dhabi,Sunny,89.54,323.01
United Kingdom,London,Moderate rain,6.105,8.51
United States of America,Washington Harbor,Clear,22.755,33.485
Uruguay,Montevideo,Sunny,23.125,34.225
Uzbekistan,Tashkent,Sunny,15.91,23.495
Vanuatu,Port Vila,Light rain shower,25.53,49.58
Venezuela,Caracas,Sunny,14.43,20.905
Vietnam,Hanoi,Clear,29.23,43.845
Yemen,Sanaa,Sunny,20.905,120.62
Zambia,Lusaka,Sunny,14.615,22.2
Zimbabwe,Harare,Sunny,9.805,14.615
Afghanistan,Kabul,Sunny,10.545,25.9
Albania,Tirana,Partly cloudy,19.055,27.38
Algeria,Algiers,Partly cloudy,23.865,64.01
Andorra,Andorra La Vella,Sunny,6.66,10.915
Angola,Luanda,Partly cloudy,38.665,59.015
Antigua and Barbuda,Saint John's,Partly cloudy,18.27,38.892
Argentina,Buenos Aires,Sunny,48.84,70.67
Armenia,Yerevan,Partly cloudy,26.64,50.135
Australia,Canberra,Clear,4.995,7.215
Austria,Vienna,Patchy light rain,4.07,4.81
Azerbaijan,Baku,Sunny,22.2,76.96
Bahamas,Nassau,Partly cloudy,13.135,24.42
Bahrain,Manama,Sunny,84.915,243.83
Bangladesh,Dhaka,Sunny,17.575,25.9
Barbados,Bridgetown,Patchy rain possible,5.188,9.482
Belarus,Minsk,Sunny,14.06,15.91
Belgium,Brussels,Partly cloudy,8.325,13.875
Belize,Belmopan,Fog,8.88,13.135
Benin,Porto-Novo,Partly cloudy,18.685,29.415
Bhutan,Thimphu,Patchy rain nearby,5.18,7.4
Bolivia,Sucre,Sunny,87.875,126.725
Bosnia and Herzegovina,Sarajevo,Moderate rain,13.32,16.28
Botswana,Gaborone,Sunny,11.84,17.945
Brazil,Bras,Sunny,23.495,34.965
Brunei Darussalam,Bandar Seri Begawan,Light rain,18.13,27.935
Bulgaria,Sofia,Sunny,20.535,25.715
Burkina Faso,Ouagadougou,Partly Cloudy,12.765,18.13
Burundi,Bujumbura,Partly cloudy,28.675,43.475
Madagascar,Ivory,Sunny,8.325,12.765
Cape Verde,Praia,Partly cloudy,26.455,98.605
Cambodia,Phnom Penh,Partly cloudy,10.73,19.055
Cameroon,Ngaoundere,Patchy light rain with thunder,6.105,9.435
Canada,Ottawa,Partly cloudy,6.105,8.695
Central African Republic,Bangui,Moderate or heavy rain with thunder,12.395,18.87
Chad,N'djamena,Partly cloudy,12.765,19.61
Chile,Santiago,Mist,101.195,145.225
China,Beijing,Light rain,183.89,267.88
Bulgaria,Bogot,Sunny,13.69,23.68
Comoros,Moroni,Patchy rain nearby,8.695,15.355
Congo,Brazzaville,Partly cloudy,49.025,71.04
Costa Rica,San Ignacio,Sunny,12.95,18.5
Croatia,Zagreb,Light rain,11.285,12.95
Cuba,Havana,Partly cloudy,11.285,17.39
Cyprus,Nicosia,Sunny,25.345,39.59
Czech Republic,Prague,Overcast,3.885,4.81
Democratic Republic of Congo,Kinshasa,Partly cloudy,49.025,71.04
Denmark,Copenhagen,Light rain,25.16,30.895
Djibouti,Djibouti,Sunny,48.285,191.66
Dominica,Roseau,Partly cloudy,9.25,16.835
Dominican Republic,Santo Domingo,Partly cloudy,14.615,21.645
Ecuador,Quito,Sunny,18.13,26.085
Egypt,Cairo,Sunny,39.96,57.905
El Salvador,San Salvador,Fog,15.725,22.94
Equatorial Guinea,Malabo,Moderate or heavy rain with thunder,4.81,7.4
Eritrea,Asmara,Sunny,23.125,96.755
Estonia,Tallinn,Sunny,13.505,17.945
Swaziland,Mbabane,Partly cloudy,5.735,9.805
Ethiopia,Addis Ababa,Light rain shower,28.305,74.925
Fiji Islands,Suva,Partly cloudy,9.435,17.205
Finland,Helsinki,Sunny,17.39,20.72
France,Paris,Moderate rain,14.06,22.755
Gabon,Libreville,Partly cloudy,12.395,17.945
Gambia,Banjul,Partly cloudy,19.425,69.745
Georgia,Tbilisi,Sunny,29.045,101.195
Germany,Berlin,Light rain,7.585,9.435
Ghana,Accra,Partly cloudy,14.06,21.09
Greece,Athens,Sunny,22.2,30.71
Grenada,Saint George's,Moderate or heavy rain with thunder,13.69,25.715
Guatemala,Guatemala City,Partly cloudy,14.43,21.09
Guinea,Conakry,Light rain,25.53,46.25
Guinea-Bissau,Bissau,Moderate rain,7.03,10.36
Guyana,Georgetown,Partly Cloudy,24.235,40.885
Haiti,Port-Au-Prince,Partly cloudy,44.4,66.045
Vatican City,Vatican City,Partly cloudy,14.43,26.455
Honduras,Tegucigalpa,Mist,10.915,16.095
Hungary,Budapest,Light rain,19.055,22.57
Iceland,Vestmannaeyjar,Sunny,2.203,7.895
India,New Delhi,Moderate or heavy rain with thunder,67.155,96.755
Indonesia,Jakarta,Partly cloudy,126.725,183.89
Iran,Tehran,Partly cloudy,28.49,79.735
Iraq,Baghdad,Sunny,44.4,114.7
Ireland,Dublin,Partly cloudy,10.915,22.57
Israel,Jerusalem,Sunny,40.7,54.02
Italy,Rome,Partly cloudy,14.43,26.455
Jamaica,Port Royal,Partly cloudy,11.84,21.46
Japan,Tokyo,Patchy light rain with thunder,44.03,65.305
Jordan,Amman,Sunny,21.275,44.03
Kazakhstan,Astana,Partly cloudy,18.315,26.825
Kenya,Nairobi,Partly cloudy,19.425,29.785
Kiribati,Tarawa,Patchy rain nearby,30.34,58.275
Kuwait,Kuwait City,Sunny,45.325,144.3
Kyrghyzstan,Bishkek,Patchy light drizzle,23.68,38.85
Indonesia,Laos,Partly Cloudy,16.28,25.16
Latvia,Riga,Sunny,14.43,17.575
Lebanon,Beirut,Partly cloudy,63.825,73.63
Lesotho,Maseru,Partly cloudy,11.84,17.39
Liberia,Monrovia,Moderate or heavy rain shower,14.43,24.975
Thailand,Nan,Partly cloudy,8.325,11.84
Liechtenstein,Vaduz,Light rain shower,2.405,2.775
Lithuania,Vilnius,Sunny,12.21,13.875
Luxembourg,Luxembourg,Light rain,6.29,6.845
Madagascar,Antananarivo,Sunny,3.515,4.995
Malawi,Lilongwe,Partly cloudy,9.805,15.355
Malaysia,Kuala Lumpur,Partly cloudy,48.47,70.3
Maldives,Dhidhdhoo,Light rain shower,7.651,17.172
Mali,Bamako,Partly cloudy,4.81,6.845
Malta,Valletta,Partly cloudy,38.48,50.505
Marshall Islands,Majuro,Overcast,3.145,5.18
Mauritania,Nouakchott,Sunny,104.895,477.3
Mauritius,Port Louis,Sunny,17.02,31.635
