Season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),plot
6,129,18,"""The Contractual Obligation Implementation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,"March 7, 2013",3X7618,17.63,"As part of their Caltech contracts, Leonard, Sheldon and Howard must serve on a committee that promotes science among young women. Neither Sheldon nor Howard are interested, but on Leonard's cajoling, Sheldon suggests focusing on middle school girls and inspiring them to pursue science after completing school. They implement their ideas at Howard's old middle school but cannot enthuse the girls for science, so Sheldon calls Amy and Bernadette, both scientists, to talk to the class by phone about careers in science. The women have meanwhile skipped work to go to Disneyland and be made up as Disney princesses. All want to be Cinderella, but Bernadette insists she be Cinderella since she planned the trip and drove them there, so Penny is Aurora from Sleeping Beauty and Amy is Snow White. Back home, Bernadette's and Penny's costumes arouse their partners. Amy, still in her Snow White costume, wants Sheldon to awaken her with a kiss, but he is tired and uninterested. Elsewhere, Raj and Lucy have a ""texting date"" in the library: they interact by texting to circumvent their social problems. At the end of their date Lucy wants to kiss Raj, but flees out of nervousness before doing so. Title reference: Leonard, Sheldon and Howard's obligations in their contracts to help promote science, in this case, to middle school girls."
6,130,19,"""The Closet Reconfiguration""",Anthony Rich,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Steve Holland & Eric Kaplan,"March 14, 2013",3X7619,15.9,"When Sheldon offends Bernadette by bringing take-out to a Thai food dinner party she had prepared, she and Howard trick him into cleaning their closet. Sheldon finds and reads a letter to Howard on his 18th birthday from his long-lost father. Howard destroys the letter without reading it but remains conflicted. The others trick Sheldon into revealing the letter's content. When Howard finds out everyone knows but him, he storms out of Leonard's and Penny's dinner party. Everyone else heads to Bernadette and Howard's apartment where Sheldon invokes quantum superposition to tell Howard what was in the letter without him actually knowing; each person devises a version of the letter's content, but only one is actually true. Raj says his father sent him a birthday card; Sheldon mentions a map to One-Eyed Willy's lost pirate treasure (the plot for The Goonies); Amy says his father secretly attended his son's high school graduation and was so proud he cried; Penny says his father's ""other life"" caught up with him so he left his family for their safety; Leonard says his father wrote of the importance of family, and that Howard should never abandon his family as he did; Bernadette describes a photo of Howard's father holding him as a baby with the words ""Howard, my son, my greatest gift"". Howard is pleased, wishing all versions were true, and returns to Leonard and Penny's dinner party with everyone else. Title reference: Sheldon organizes Howard and Bernadette's closet."
6,131,20,"""The Tenure Turbulence""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Maria FerrariTeleplay by : Chuck Lorre & Steve Holland & Jim Reynolds,"April 4, 2013",3X7620,17.24,"After Professor Tupperman's death, Sheldon, Leonard, Raj and Kripke fight for his tenured position and try to impress Janine Davis, Caltech's HR administrator and head of the tenure committee. Leonard and Kripke exercise with her at the gym to talk to her, but Leonard suffers an asthma attack. Raj sends her a 90-minute video autobiography. Sheldon gives her a DVD of the TV miniseries Roots to make up for his earlier racist comments, but when she does not appreciate it, he offends her by asking ""you are black, right?"". Sheldon, Leonard and Raj attend Tupperman's memorial service, Sheldon and Leonard taking Amy and Penny to impress the tenure committee. On their encounter before the memorial service they lash out at each other, even Amy and Penny joining in. The fight stops only when Leonard realizes he would rather lose the tenured post than lose his friends. The five decide to leave, but stay after observing Kripke flatter Davis. Sheldon, Leonard and Raj are eventually shortlisted for the tenured position purely on the basis of their accomplishments. Sheldon thanks Davis, but offends her yet again by offering her a supposed ""traditional black handshake"". Title reference: The new tenured position that opens causes turbulence among Leonard, Sheldon, and Raj who are all potential candidates for it."
6,132,21,"""The Closure Alternative""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,"April 25, 2013",3X7621,15.05,"Sheldon is upset when the SyFy television series Alphas is cancelled on a cliffhanger, and he unsuccessfully calls the SyFy network to get it back on air. Amy decides to teach him to overcome his ""closure"" obsession: she forcefully stops him finishing various tasks just before the end. He hides his fury and pretends to be cured, but once Amy leaves, he gleefully completes each task she interrupted. Sheldon later calls the creator of Alphas to ask him how the series would have ended; after hearing it described to him, Sheldon is unimpressed and hangs up. Meanwhile, Leonard, hoping to find one common interest with Penny, asks her to watch Buffy The Vampire Slayer with him. She pretends to enjoy it to avoid hurting his feelings. Penny reveals to Bernadette that, unlike Leonard, she has no passions, but hopes to change this. During dinner with Leonard, she realizes she is passionate about him and his friends, even Sheldon. Elsewhere, Raj is upset that Lucy's blog post about their date describes him as ""a little feminine"". Howard advises Raj to use this to his advantage with Lucy. Raj rejects his advice: when he cooks at home on a date with Lucy he tries to be more masculine, but just creeps her out. Just as she is about to walk out, he explains he read her blog. She says he is feminine in a ""good way"", being sweet, thoughtful, with ""skin like caramel"". Title Reference: Amy conducts a series of exercises to help Sheldon resolve his ""closure"" issues."
6,133,22,"""The Proton Resurgence""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,"May 2, 2013",3X7622,16.29,"Sheldon and Leonard find out Dr. Arthur Jefferies aka Professor Proton, who hosted a children's science show they loved as kids, does children's parties. He accepts an invitation to perform in their apartment. He finds it odd to do a children's show for physicists but enjoys performing for Penny, liking her, though he wants to leave when her ignorance of science makes him wonder whatever she and Leonard talk about. He admits disillusion about his TV persona, as other scientists never took him seriously despite his Cornell PhD. He is however encouraged to hear Sheldon and Leonard became physicists because of him. He is taken to hospital with a sudden pacemaker problem, and asks Sheldon to represent him at a Korean child's birthday party the next day as he feels too unwell. Sheldon, flattered, now regards Professor Proton as his ""father"". Meanwhile, Raj has Howard and Bernadette care for his Yorkshire Terrier Cinnamon while he is at the telescope lab for the weekend, but they lose Cinnamon in the park. Someone else finds her and contacts Raj. He lambastes them for losing her, but on hearing Cinnamon was found hours earlier, Bernadette makes Raj feel guilty for letting them worry so long. Title Reference: ""Professor Proton"" re-enters Sheldon and Leonard's lives after being their childhood hero."
6,134,23,"""The Love Spell Potential""",Anthony Rich,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,"May 9, 2013",3X7623,16.3,"The women head to Las Vegas for the weekend and Lucy is busy, so the men play Dungeons and Dragons with Howard as a new dungeon master - adding voice impressions of Nicolas Cage, Al Pacino, Christopher Walken and others along the way, to the amusement of the others. When Lucy texts Raj that she is free, he kills his own character to leave the game, and joins her for a date, where she admits she is trying to force herself to do things that scare her. The date goes well until he tries to force Lucy to reject her crab cakes. She heads for the washroom and climbs out of the window, but is trapped behind a chain link fence and calls Raj for help. He confronts her for always walking out of their dates but says he really likes her for having even more emotional problems than he does. They kiss through the fence. Meanwhile, at Leonard and Sheldon's apartment, the men's game is interrupted by the women, who could not board their Vegas flight as Amy assaulted a TSA officer who ""groped"" her. They join the game. All is fine until Penny suggests that the characters of Sheldon and Amy to have sex in the game, upsetting Amy, who feels the others are mocking her non-sexual relationship with Sheldon. She locks herself in Sheldon's room. He joins Amy to console her, explaining that he finds their relationship ""intimate"" despite not having sex. He has also not ruled out having sex with her one day. They then simulate a sex scene with their game characters. Title reference: The love spell put upon Sheldon and Amy's characters in their Dungeons and Dragons game."
6,135,24,"""The Bon Voyage Reaction""",Mark Cendrowski,Story by : Steven Molaro & Steve Holland & Tara HernandezTeleplay by : Chuck Lorre & Jim Reynolds & Maria Ferrari,"May 16, 2013",3X7624,15.48,"Stephen Hawking plans a North Sea expedition to find the hydrodynamic equivalent of Unruh radiation. The team's experimental physicist backs out so Howard proposes Leonard in his place, though he is reluctant to leave Penny for four months. She encourages Leonard since it is a great career opportunity, whereas Sheldon, jealous of Leonard's career move and afraid of extended solitude, vainly tries to dissuade him. On Penny's advice, Sheldon overcomes his jealousy, later toasting Leonard supportively at his bon voyage party. Meanwhile, the gang wants to meet Lucy, who hates meeting new people, so Raj suggests she first meet just one of them. The honor falls to Amy, the newest of the group. Amy handles Lucy well, but when Raj demands to know the status of their relationship, Lucy hides in the bathroom. Later, Lucy reluctantly agrees to go to Leonard's party, but instead texts Raj there to break up with him, reducing him to tears. Later, after driving Leonard to the airport, Penny visits Raj to console him. When he says he is unlovable, Penny says the alcohol is talking - yet Raj has been sober since Lucy broke up with him. Both are amazed and happy to realize Raj has finally overcome his selective mutism. The episode ends with Raj annoying the women by talking non-stop about Lucy. Title reference: The others' reaction to Leonard leaving for an overseas job for the summer."
7,136,1,"""The Hofstadter Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Tara HernandezTeleplay by : Eric Kaplan & Jim Reynolds & Steve Holland,"September 26, 2013",4X5301,18.99,"Penny and Sheldon bond over missing Leonard. She calls Leonard, who is partying on his ship, clearly not missing her. Penny suggests exchanging secrets with Sheldon, saying she appeared topless in an unreleased horror movie, Serial Ape-ist - not new to Sheldon, as Howard found the clip when they first met. Sheldon's ""secret"" is disliking YouTube's new rating system - trivial to Penny, who almost leaves in annoyance, but stays and apologizes on realizing she hurt Sheldon's feelings. Meanwhile, Raj talks to the recently divorced Mrs. Davis at a university function, apologizing to her after initially insulting her with inappropriate statements about her marital problems. He insists he is not hitting on her, but later tells Howard they ""had a moment"". At a biology convention, Amy and Bernadette are surprised when two men buy them drinks. Bernadette implies Amy's enthusiasm stems from her hunger for romantic affection from Sheldon, but they make up and Bernadette reveals she was attracted to the man resembling Sheldon, Amy preferring the one resembling Howard. Title reference: Penny and Sheldon miss Leonard while he is away, while Leonard does not seem to miss them."
7,137,2,"""The Deception Verification""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,"September 26, 2013",4X5302,20.44,"Leonard surprises Penny by arriving back early and hiding in her apartment, so they can spend some time alone. Sheldon suspects that Penny is cheating on Leonard when he realises that someone else is in her apartment. Bursting in to catch her in the act, he and Amy find Leonard there. Sheldon is mad at Leonard for not telling him he is home, and refuses to believe anything he says, though with Howard's help they eventually reconcile. As for Howard himself, he experiences weight gain and mood swings; he had applied estrogen ointment to his mother without gloves; inadvertently absorbing it through his skin. Raj reassures him in an intimate manner, shocking Bernadette. While the gang is having dinner at their apartment, Leonard notices that Raj can talk to women without consuming alcohol. They reveal that this happened after he left for the North Sea expedition. Title reference: Sheldon asking Leonard if he failed to tell him he was home early because he did not like Sheldon as a friend."
7,138,3,"""The Scavenger Vortex""",Mark Cendrowski,Story by : Dave Goetsch & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,"October 3, 2013",4X5303,18.22,"After the gang blows off Raj's murder-mystery party, he creates a scavenger hunt with ten clues to guide the winner to the location of a gold coin. They first propose making each couple a team, but Leonard suggests picking names out of a hat instead. Penny gets angry, assuming did so to avoid being stuck with her. The teams are Sheldon and Penny, Howard and Amy, and Leonard and Bernadette. Despite their differences, Penny and Sheldon each do well figuring out clues as they race around Pasadena. Bernadette is very competitive, while Leonard is distracted thinking Penny is mad at him, causing Bernadette to fib about Penny insulting him in order to win. Amy and Howard, who have not been alone before, bond over a mutual love of Neil Diamond's music, and eventually abandon the hunt and karaoke his songs in The Cheesecake Factory. During the final stretch, Leonard, Bernadette and Penny deduce that the coin is in Sheldon's spot and race upstairs, only to find no coins there. Finally, Raj reveals he slipped a gold coin into everyone's pocket so that all would win: his goal was to teach the value of friendship. To his dismay, Leonard, Penny and Bernadette are angry there is no clear winner despite all their efforts, and chase him out of the apartment. Title reference: Raj sets up a scavenger hunt for the group after they refused to attend his murder-mystery party."
7,139,4,"""The Raiders Minimization""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Tara HernandezTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,"October 10, 2013",4X5304,17.64,"Amy and Sheldon watch Raiders of the Lost Ark. When he asks what she thought of it, Amy considers Indiana Jones superfluous as the story's outcome would have been the same without him. After she spoils the movie for Sheldon, he tries to find something Amy loves and spoil it for her. Sheldon watches Amy's favorite TV show Little House on the Prairie with her and points out historical inaccuracies. Amy, realizing his purpose, says he should just let her know if he is angry, not seek revenge. He complies; Amy apologizes. For her psychology class, Penny buys The Disappointing Child (in which Leonard's mother wrote about his childhood problems), upsetting Leonard. Penny goes out of her way to comfort him; he takes advantage of her sympathy. Howard finds out and unsuccessfully tries it with Bernadette, who tells Penny about Howard's trick. Penny now sees through Leonard and takes revenge by wearing a babydoll outfit, only to leave a pantless Leonard skyping with his mother. Meanwhile, Raj and Stuart, depressed when women checking out their newly-uploaded online dating site profiles leave no messages, realize they do not need dating sites, and decide to move on. Title reference: Amy pointing out a flaw in Raiders of the Lost Ark and ruining it for Sheldon."
7,140,5,"""The Workplace Proximity""",Mark Cendrowski,Story by : Steven Molaro & Steve Holland & Maria FerrariTeleplay by : Chuck Lorre & Eric Kaplan & Jim Reynolds,"October 17, 2013",4X5305,17.8,"Amy tells Sheldon she will be working on an experiment at Caltech and asks Sheldon how he feels about it - no problem for Sheldon until Howard explains he would not want to work with Bernadette and be with her day and night. Sheldon withdraws his approval, but Amy says she will still take the job. Sheldon mentions Howard's comments to Bernadette, who then confronts Howard and gets mad after he tries to deny his statements, forcing Howard to stay at Raj's place. The next day, Amy is even madder at Sheldon when he embarrasses her at lunch in front of her colleagues. Bernadette later comes over to Raj's apartment to apologize to Howard, who promises to spend more time with her, but only after he and Raj finish their video game, once again enraging Bernadette. At home, Penny and Leonard explain to Sheldon that Amy is right, so he goes to her apartment and apologizes, but re-offends her by saying she can be difficult to put up with. At the Cheesecake Factory, both Amy and Bernadette are upset with their significant others. Penny assures them that Leonard will talk to them and set them straight; instead, the guys play skeet shooting with lasers and balloons in the apartment. Title reference: Amy and Sheldon are both now working at Caltech though in separate departments."
7,141,6,"""The Romance Resonance""",Mark Cendrowski,Story by : Eric Kaplan & Jim Reynolds & Tara HernandezTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,"October 24, 2013",4X5306,16.98,"Sheldon, unbeknownst to him, calculates how to synthesize a new, stable superheavy element, but then realizes that his discovery was erroneous, which spoils his achievement and makes him feel a fraud. His friends, co-workers and the scientific community praise him, but Sheldon just wants it to stop. Amy finally tells him he does not deserve the attention, for Sheldon the most romantic thing Amy could ever say. Howard has everyone join him in performing a song he wrote for Bernadette to commemorate the anniversary of their first date. However, Bernadette is quarantined after an accident at her lab so Howard and the gang sing the song for her at the hospital. Leonard says Penny never does anything romantic for him; even Raj's advice fails to inspire her. Penny then gifts Leonard a first edition of The Hitchhiker's Guide to the Galaxy - his favorite book growing up. Leonard appreciates the gesture but tells her that he already has a first edition of the same book. Penny feels bad and tells him she wishes she could be as romantic as he, showing him a box of dozens of mementos, examples of his romantic gestures during their time together. Leonard is moved, finding it incredibly romantic that Penny kept these things. Title reference: The very different ways that the three couples express romance are examined."
7,142,7,"""The Proton Displacement""",Mark Cendrowski,Story by : Chuck Lorre & Maria Ferrari & Anthony Del BroccoloTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,"November 7, 2013",4X5307,16.89,"Sheldon, Leonard and Amy run into Dr. Arthur Jeffries (known as ""Professor Proton"") at the drug store. Arthur emails Leonard to ask him to review his recent paper. Sheldon wonders why he was not asked; Amy says he can be annoying. Sheldon goes to apologize, but annoys Arthur further. The next day, Sheldon informs them his new friend is another famous TV scientist, Bill Nye ""The Science Guy."" After Sheldon and Bill leave, Arthur asks Leonard why he lives with Sheldon. Leonard explains he is the smartest person he knows, despite his quirks, and they need each other. As Leonard's answer moves him, Arthur asks Sheldon to review his paper and even stays for a cup of tea but only after seeing Penny in the guys' apartment. Meanwhile, Howard crashes in on Raj and the girls making jewelry during girls' night, and takes over by offering them better equipment, upsetting Raj. Howard joins the girls again for another girls' night; Raj feels left out but cannot express his feelings. Raj mocks Howard, who apologizes on discovering how much Raj's feelings were hurt. Feeling bad, Raj makes a pair of lightsaber belt buckles using techniques Howard taught him. Title reference: Dr. Jeffries approaching Leonard to read his paper over Sheldon, allowing Sheldon to become ""friends"" with Bill Nye."
7,143,8,"""The Itchy Brain Simulation""",Mark Cendrowski,Story by : Steven Molaro & Bill Prady & Jim ReynoldsTeleplay by : Eric Kaplan & Steve Holland & Maria Ferrari,"November 14, 2013",4X5308,18.3,"Leonard finds a DVD he rented using Sheldon's card, that should have been returned seven years before. He pleads with Sheldon not to flip out, who to his surprise remains calm. He makes Leonard wear an itchy sweater until the DVD issue is resolved, so that Leonard can, metaphorically, walk in Sheldon's shoes. Leonard searches for the DVD store (long out of business), then for the owner (deceased), then the owner's (nonexistent) next-of-kin, all the while getting a bad rash from the sweater. Sheldon eventually tells Leonard he had discovered the DVD and paid the fine years before, and that he just wanted him to learn the lesson. Penny meets Lucy, Raj's ex-girlfriend, at the Cheesecake Factory and is mad at her for breaking up with him by email. Lucy calls Raj to have coffee to apologize. Raj hopes they can get back together, but Lucy reveals she is now dating someone else. Penny then sets up Raj on a date with her friend Lizzy, but Raj freaks out in front of her. Title reference: Leonard wearing an uncomfortable sweater to simulate Sheldon's sensation of an ""itchy brain"" when confronted with an unresolved issue."
7,144,9,"""The Thanksgiving Decoupling""",Mark Cendrowski,Story by : Eric Kaplan & Steve Holland & Maria FerrariTeleplay by : Steven Molaro & Jim Reynolds & Jeremy Howe,"November 21, 2013",4X5309,18.94,"The gang spends Thanksgiving at Mrs. Wolowitz's house. As she is laid up in bed (because her gout is acting up), Raj, Bernadette and Amy cook. Penny recalls her Thanksgiving in Las Vegas with her ex-boyfriend Zack in 2010, and their ""fake"" wedding. Her friends tell her the wedding was real, so she is legally married, causing tension between her and Leonard. Penny invites Zack over to sign the annulment papers to end their marriage (to the excitement of Raj, Bernadette and Amy). Zack is at first reluctant to sign, but Penny demands he do so, reconciling with Leonard shortly afterwards. Meanwhile, Howard tries to bond with his father-in-law, Mike, who instead starts to bond over football with Sheldon, who is very knowledgeable as he was forced to watch the game with his father as a child. After Mike shares beers with Sheldon to comfort him because his father died while he was young, they continue to hit it off. Amy orders a drunk Sheldon to apologize to Howard after insulting him. Sheldon compliments Amy, and then swats her on the rear and suggests she get them more beers. Amy is shocked, but delighted at the physical attention. Mike finally compliments Howard, but then attributes his kindness to being drunk. Title reference: Penny and Zack signing the paperwork to annul their marriage during Thanksgiving."
7,145,10,"""The Discovery Dissipation""",Mark Cendrowski,Story by : Eric Kaplan & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Steve Holland & Adam Faberman,"December 5, 2013",4X5310,15.63,"Sheldon walks out of an interview with Ira Flatow on NPR's Science Friday after Flatow refers to Sheldon's heavy element discovery being accidental. Amy has Wil Wheaton talk with Sheldon about how to deal with unwanted fame. Later, Leonard reveals he disproved the existence of Sheldon's heavy element through his experiments. This infuriates Sheldon, who can now deal with fame and feels Leonard took away the one thing that made him famous. Sheldon's fury peaks when Barry Kripke berates him over Leonard's findings. Sheldon and Leonard argue with each other on Science Friday, while an embarrassed Amy and Penny listen. While Raj's apartment building is being fumigated, he and his dog, Cinnamon, move in with Howard and Bernadette for a week. Though Raj is very kind and helpful, his presence highlights deficiencies in Howard and Bernadette's relationship, leading them to quarrel. Eventually Raj is thrown out, and moves in with Leonard and Sheldon. He immediately gives Amy and Sheldon relationship advice; after he advises Amy to be patient with Sheldon's limits on physical contact, she makes Raj leave. Title reference: Leonard disproves Sheldon's accidental stable super-heavy element discovery."
7,146,11,"""The Cooper Extraction""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Maria FerrariTeleplay by : Jim Reynolds & Steve Holland & Tara Hernandez,"December 12, 2013",4X5311,17.68,"Sheldon travels to Texas to help with his sister's home birth, but is as usual totally self-absorbed and unsympathetic to her discomfort, and no help at all. Between video calls, his friends wonder how their lives would be had they never met him (as in It's a Wonderful Life). Penny notes Leonard would have been too afraid to date her, Bernadette thinks she would not be with Howard because of his strange friendship with Raj, and Leonard speculates Penny would be living with Zack, who would trade money for useless items such as beans. Amy suggests that if Leonard had not moved in, Penny would have tried to seduce Sheldon in Leonard's absence, while Howard notes he would be caring for his mother even after her death (referencing Psycho), and Raj and Leonard suggest they would be obese flatmates owing to Raj's cooking and Leonard's loneliness. Amy thinks she would be sad and alone. After Amy encourages Sheldon to be with his newborn nephew, Raj observes that Amy has significantly influenced Sheldon, and Leonard shows her her picture on Sheldon's screensaver, among the other scientists Sheldon admires. On returning home, Sheldon tells Amy he would have preferred her to have been in Texas with him (or instead of him). In a final Cheesecake Factory scene with Howard and the obese Raj and Leonard, Leonard asks Penny out; she turns him down to reveal she is dating an extremely cool Stuart. The scene changes to reveal this as Stuart's fantasy while sitting alone in the restaurant. Title reference: The gang imagine what their lives would be like if Sheldon was out of the picture."
7,147,12,"""The Hesitation Ramification""",Mark Cendrowski,Story by : Dave Goetsch & Jim Reynolds & Tara HernandezTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,"January 2, 2014",4X5312,19.2,"Penny is ecstatic to get a minor role on NCIS but is devastated when her scene is cut. While comforting her, Leonard accidentally suggests her scene would have made no difference to her career, which upsets her. She demands he honestly tell her his opinion on her acting, and he admits to believing she has unrealistic ambitions for success. Later realizing his honesty may have hurt Penny, Leonard brings her an offer to audition for a part in the new Star Wars movie by submitting a video. Penny gets drunk and proposes to Leonard after thinking the only good thing in her life is him. Because Penny is upset and drunk, Leonard hesitates to answer, so Penny leaves, and Leonard is left wondering if their relationship might be over. At Howard's advice, Raj and Stuart go to the mall to improve their ability to talk to women but only manage to talk to the security guard. After realizing no-one finds him funny, Sheldon wants to learn to become more humorous and attempts to develop a universal theory of humor. He bores Amy by asking which words she finds funny. Bernadette admits to Howard she often fakes a laugh at his jokes. Title reference: Leonard and Penny's relationship is thrown into jeopardy when he hesitates to answer Penny's drunken proposal."
7,148,13,"""The Occupation Recalibration""",Mark Cendrowski,Story by : Eric Kaplan & Maria Ferrari & Tara HernandezTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,"January 9, 2014",4X5313,20.35,"The day after her drunk proposal, Penny admits to Leonard that he did the right thing stopping her, and that she has quit the Cheesecake Factory to concentrate on her acting career. Despite saying he supports her, Leonard is not thrilled with her quitting. Meanwhile Sheldon, forced into taking vacation time, ends up tagging along with Penny. He says he supports her decision, comparing it to his devoting his life to becoming a physicist. Leonard eventually says that though he could not take a risk like hers, he is proud of Penny for doing so. Geologist Bert brings Amy pretty rocks each day to flirt with her. She is oblivious until Howard and Raj point it out. Despite telling Bert she has a boyfriend, Amy is guilt-tripped into attending a ""mineral and rock show"" with him. Howard and Raj talk to Bert to get Amy out of it, and they attend the show with Bert instead. Bernadette accidentally damages one of Howard's comic books, and heads to Stuart for help. As he does not have the issue, he reluctantly takes her to a rival store. The owner, Jesse, insults Stuart, so Bernadette scolds Jesse and leaves without the comic. She later returns to Jesse's store alone and continues to berate him, nevertheless purchasing the comic. Title reference: Penny quits being a waitress in order to devote all her time into creating a successful acting career."
7,149,14,"""The Convention Conundrum""",Mark Cendrowski,Story by : Eric Kaplan & Jim Reynolds & Adam FabermanTeleplay by : Steven Molaro & Dave Goetsch & Steve Holland,"January 30, 2014",4X5315,19.05,"After the guys fail to obtain Comic-Con tickets, Sheldon wants to create his own comic book convention. He decides to ask James Earl Jones, the voice of Darth Vader, to be the celebrity guest at his new event. Sheldon finds out where Jones is eating and approaches him. Unlike most of Sheldon's idols, Jones is not turned off by Sheldon's obsessive personality and hero-worship. Jones takes Sheldon out for a night on the town, visiting an ice cream parlor, a carnival, and a strip club, doing karaoke together (""The Lion Sleeps Tonight""), ringing Carrie Fisher's doorbell and running away, and finally visiting a sauna, where Sheldon begins to get somewhat sick of Jones's company. After he learns the guys did not get Comic-Con tickets, Jones invites Sheldon and his friends to be his guests and promises to take Sheldon to Tijuana every night. Meanwhile, Leonard, Raj, and Howard plan to meet with a ticket scalper to get tickets, but chicken out to avoid trouble that could later affect their careers. The girls go to a tea room to ""feel grown-up"", but only mothers and their daughters are there so they move on to the bar and wonder what is so great about being adults since acting as ""proper"" grown-ups is quite boring. Title reference: The conundrum of how to get tickets to the Comic-Con convention or Sheldon's problem of finding a guest for his convention."
7,150,15,"""The Locomotive Manipulation""",Mark Cendrowski,Story by : Jim Reynolds & Steve Holland & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,"February 6, 2014",4X5314,17.53,"Amy plans a romantic Valentine's Day for her and Sheldon by having dinner with Howard and Bernadette on the Napa Valley Wine Train. Sheldon finds a friend in Eric who is equally crazy about trains, ruining Amy's plan. After she confronts him, Sheldon points out that Amy proposed the trip in the first place, prompting her to confess her trick and say she ""deserves romance"". Sheldon gets angry and offers her various sarcastic romantic gestures, including drinking wine, staring into each other's eyes, and kissing; however, the supposedly fake kiss becomes a real one, marking the first time Sheldon initiated physical contact between the two. Sheldon even seems to like the intimacy, as he invites Amy to visit the train's engine with him. While Leonard and Penny are supposed to be sitting Raj's dog Cinnamon, she eats the chocolates Penny gave Leonard. They rush her to the vet and are joined by an outraged Raj, who connects with the vet, Yvette, since both own dogs and disapprove of what Leonard and Penny did. At home, a surprised Raj discovers she gave him her phone number. Title reference: Amy tricking Sheldon into a Valentine's dinner on a vintage train in order to have a romantic evening with him."
7,151,16,"""The Table Polarization""",Gay Linvill,Story by : Steven Molaro & Maria Ferrari & Tara HernandezTeleplay by : Chuck Lorre & Jim Reynolds & Steve Holland,"February 27, 2014",4x5316,17.73,"Leonard and Penny decide to get a dining table for the apartment so that they no longer have to eat around the coffee table. Sheldon objects to the change, blaming Penny for changing Leonard, though she points out that Amy has changed Sheldon. Unhappy with this and that Amy told her about the kiss, he decides to break up with Amy. Penny alerts Amy, who agrees to break up, but blocks Sheldon's plan by convincing him that Leonard is manipulating him. Amy feeds Sheldon arguments against Leonard, but goes too far when she suggests they move in together. Finally, Amy and Sheldon eat together on the sofa, with the others at the table, until everyone pities Sheldon and all end up back at the coffee table. NASA asks Howard to revisit the International Space Station. He has forgotten his horrible first time, and eagerly wants to return. Bernadette holds an intervention where Howard is reminded he would have to go through survival training again. Howard finds a way out by phoning his mother during his blood pressure test, thus failing his physical. Title reference: The polarizing reactions of Leonard and Sheldon to the idea of getting a dining room table."
7,152,17,"""The Friendship Turbulence""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Tara HernandezTeleplay by : Jim Reynolds & Steve Holland & Maria Ferrari,"March 6, 2014",4X5318,18.09,"Penny informs the group she has turned down an offer to reprise her role in the sequel to the bad horror movie she starred in - Serial Ape-ist 2: Monkey See. Monkey Kill. Later, Penny's car breaks down leaving her no way to get to auditions, and her Serial Ape-ist role has been recast to another actress, so she considers resuming her Cheesecake Factory job. Leonard surprises her with a new car, so she can further pursue her acting career. Sheldon insults Howard, and Bernadette wants to know why he always does so. Sheldon details a decade of pranks and abuse. Howard wants to be a better friend and invites Sheldon to a weekend at NASA in Houston where Howard has a speaking engagement and Sheldon can visit his mother later. On the flight, both are frightened by clear-air turbulence and each admits respecting the other as a friend without whom life would be empty. Raj asks Amy to reply to Emily who contacted his dating website. Raj thus appears too passive, turning her off. She and Amy have much in common and enjoy tea together until Raj shows up uninvited and interrupts them, putting off Emily and ruining any chance of friendship with either. Title reference: The emotional turbulence of Howard's and Sheldon's friendship and the physical turbulence they experience together on the plane."
