title,author,description,genres,pages,rating
Jesus Is: Find a New Way to Be Human,Judah Smith,"A New York Times Bestseller! This is a book for Jesus is ____. How would you finish that sentence? The subject is there, and so is the verb, but what comes next? Your answer could shed light on the path to becoming who you were made to be. In these pages, Judah Smith fills out that sentence again and again, each time further revealing the character of Jesus. He writes as if to a friend, revealing the Jesus that somber paintings and hymns fail to capture. With passion, humor, and conviction, he shows that Jesus is life. Jesus is grace. Jesus is your friend. Jesus is a new and better way to be human.","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Religion', 'Christian'}","224 pages, Paperback",4.18
"Grace: More Than We Deserve, Greater Than We Imagine",Max Lucado,"Are you ready to move from insecure to God secure? From regret riddled to better-because-of-it? From afraid to die to ready to fly? Today, find freedom in God’s grace.We often talk about grace, but do we really understand it? Grace politely occupies a phrase in a hymn and fits nicely on a church sign. It never causes trouble or demands a response. When asked, “Do you believe in grace?” who could say no? Bestselling author and pastor Max Lucado helps us dive deeper into what it means to be changed by grace. God’s grace has a drenching about it. A wildness about it. A white-water, riptide, turn-you-upside-downness about it. Grace comes after you. It rewires you.In this book, you will learn:Grace is everything JesusYou belong to JesusJesus lives in youYou will increasingly grow more like JesusThere is nothing you can do to get grace—grace gets youGrace is the voice that calls us to change and then gives us the power to pull it off. Have you been shaped, emboldened, and softened by grace? Let’s make certain grace gets you.","{'Nonfiction', 'Christian Living', 'Faith', 'Christianity', 'Spirituality', 'Religion', 'Christian'}","240 pages, Hardcover",4.19
God's Undertaker: Has Science Buried God?,John C. Lennox,"Intended to provide a basis for discussion, this book evaluates the evidence of modern science in relation to the debate between the atheistic and theistic interpretations of the universe. Written like a scientific detective story, this excellent introduction to the current debate grew out of the author's lengthy experience of lecturing and debating on the subject.","{'Nonfiction', 'Theology', 'Christianity', 'Science', 'Philosophy', 'Religion', 'Christian'}","192 pages, Paperback",4.25
God Is the Gospel: Meditations on God's Love as the Gift of Himself,John      Piper,"God, who said, ""Let light shine out of darkness,"" has shone in our hearts to give the light of the knowledge of the glory of God in the face of Jesus Christ.2 Corinthians 4:6 This book is a cry from the heart of John Piper. He is pleading that God himself, as revealed in Christ's death and resurrection, is the ultimate and greatest gift of the gospel. None of Christ's gospel deeds and none of our gospel blessings are good news except as means of seeing and savoring the glory of Christ. Forgiveness is good news because it opens the way to the enjoyment of God himself. Justification is good news because it wins access to the presence and pleasures of God himself. Eternal life is good news because it becomes the everlasting enjoyment of Christ. All God's gifts are loving only to the degree that they lead us to God himself. That is what God's love his commitment to do everything necessary (most painfully the death of his only Son) to enthrall us with what is most deeply and durably satisfying-namely, himself. Saturated with Scripture, centered on the cross, and seriously joyful, this book leads us to satisfaction for the deep hungers of the soul. It touches us at the root of life where practical transformation gets its daily power. It awakens our longing for Christ and opens our eyes to his beauty. Piper writes for the soul-thirsty who have turned away empty and in desperation from the mirage of methodology. He invites us to slow down and drink from a deeper spring. ""This is eternal life,"" Jesus said, ""that they know you the only true God, and Jesus Christ whom you have sent."" This is what makes the gospel-and this book-good news.","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Religion', 'Christian'}","192 pages, Hardcover",4.35
"Small Catechism, with Explanation",Martin Luther,Contains the basic principles of the Lutheran religion with some explanation.,"{'Nonfiction', 'Theology', 'Christianity', 'Classics', 'Religion', 'Reference', 'Christian'}","268 pages, Hardcover",4.35
Jesus Through the Centuries: His Place in the History of Culture,Jaroslav Pelikan,"“A rich and expansive description of Jesus’ impact on the general history of culture. . . . Believers and skeptics alike will find it a sweeping visual and conceptual panorama.”—John Koenig, front page, New York Times Book ReviewCalled ""a book of uncommon brilliance"" by Commonweal , Jesus Through the Centuries is an original and compelling study of the impact of Jesus on cultural, political, social, and economic history. Noted historian and theologian Jaroslav Pelikan reveals how the image of Jesus created by each successive epoch—from rabbi in the first century to liberator in the nineteenth and twentieth centuries—is a key to understanding the temper and values of that age.""An enlightening and often dramatic story . . . as stimulating as it is informative.”—John Gross, New York Times“A gracious little masterpiece.”—Thomas D'Evelyn, Christian Science Monitor ","{'Nonfiction', 'History', 'Theology', 'Christianity', 'Church History', 'Religion', 'Christian'}","270 pages, Paperback",4.05
Justification: God's Plan & Paul's Vision,Tom     Wright,"Few issues are more central to the Christian faith than the nature, scope and means of salvation. Many have thought it to be largely a transaction that gets one to heaven. In this riveting book, N. T. Wright explains that God's salvation is radically more than this. At the heart of much vigorous debate on this topic is the term the apostle Paul uses in several of his letters to describe what happens to those in Christ-- justification. Paul uses this dramatic image from the law court to declare that Christians are acquitted of the cosmic accusations against them. But justification goes beyond this in Paul's writings to offer a vision of God's future for the whole world as well as for his people. Here in one place Wright now offers a comprehensive account and defense of his perspective on this crucial doctrine. He provides a sweeping overview of the central points in the debate before launching into a thorough explanation of the key texts in Paul's writings. While fully cognizant of tradition and controversy, the final authority for his conclusions is the letters of Paul themselves. Along the way Wright responds to critics, such as John Piper, who have challenged what has come to be called the New Perspective. For Wright, what Paul means by justification is nothing less than God's unswerving commitment to the covenant promise he made to bless the whole world through Abraham and his family. This irenic response is an important contribution for those on both sides of the debate--and those still in between--to consider. Whether you're a fan of Wright's work or have read his critics and would like to know the other side of the story, here is a chance to interact with Wright's views on the issues at stake and form your own conclusions.","{'Nonfiction', 'Faith', 'Theology', 'Christianity', 'New Testament', 'Religion', 'Christian'}","279 pages, Hardcover",3.99
The Gospel in a Pluralist Society,Lesslie Newbigin,"How does the gospel relate to a pluralist society? What is the Christian message in a society marked by religious pluralism, ethnic diversity, and cultural relativism? Should Christians encountering today's pluralist society concentrate on evangelism or on dialogue? How does the prevailing climate of opinion affect, perhaps infect, Christians' faith?These kinds of questions are addressed in this noteworthy book by Lesslie Newbigin. A highly respected Christian leader and ecumenical figure, Newbigin provides a brilliant analysis of contemporary (secular, humanist, pluralist) culture and suggests how Christians can more confidently affirm their faith in such a context.While drawing from scholars such as Michael Polanyi, Alasdair MacIntyre, Hendrikus Berkhof, Walter Wink, and Robert Wuthnow, The Gospel in a Pluralist Society is suited not only to an academic readership. This heartfelt work by a missionary pastor and preacher also offers to Christian leaders and laypeople some thoughtful, helpful, and provocative reflections.","{'Nonfiction', 'Theology', 'Christianity', 'Philosophy', 'Cultural', 'Religion', 'Christian'}","252 pages, Paperback",4.16
"The Victory of Reason: How Christianity Led to Freedom, Capitalism, and Western Success",Rodney Stark,"Many books have been written about the success of the West, analyzing why Europe was able to pull ahead of the rest of the world by the end of the Middle Ages. The most common explanations cite the West’s superior geography, commerce, and technology. Completely overlooked is the fact that faith in reason, rooted in Christianity’s commitment to rational theology, made all these developments possible. Simply put, the conventional wisdom that Western success depended upon overcoming religious barriers to progress is utter nonsense.In The Victory of Reason, Rodney Stark advances a revolutionary, controversial, and long overdue that Christianity and its related institutions are, in fact, directly responsible for the most significant intellectual, political, scientific, and economic breakthroughs of the past millennium.In Stark’s view, what has propelled the West is not the tension between secular and nonsecular society, nor the pitting of science and the humanities against religious belief. Christian theology, Stark asserts, is the very font of While the world’s other great belief systems emphasized mystery, obedience, or introspection, Christianity alone embraced logic and reason as the path toward enlightenment, freedom, and progress. That is what made all the difference.In explaining the West’s dominance, Stark convincingly debunks long-accepted “truths.” For instance, by contending that capitalism thrived centuries before there was a Protestant work ethic–or even Protestants–he counters the notion that the Protestant work ethic was responsible for kicking capitalism into overdrive. In the fifth century, Stark notes, Saint Augustine celebrated theological and material progress and the institution of “exuberant invention.” By contrast, long before Augustine, Aristotle had condemned commercial trade as “inconsistent with human virtue”–which helps further underscore that Augustine’s times were not the Dark Ages but the incubator for the West’s future glories.This is a sweeping, multifaceted survey that takes readers from the Old World to the New, from the past to the present, overturning along the way not only centuries of prejudiced scholarship but the antireligious bias of our own time. The Victory of Reason proves that what we most admire about our world–scientific progress, democratic rule, free commerce–is largely due to Christianity, through which we are all inheritors of this grand tradition.","{'Nonfiction', 'History', 'Christianity', 'Church History', 'Politics', 'Religion', 'Economics'}","304 pages, Hardcover",3.96
The Sparrow,Mary Doria Russell,"In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".","{'Science Fiction Fantasy', 'Fantasy', 'Speculative Fiction', 'Fiction', 'Aliens', 'Science Fiction', 'Religion'}","419 pages, Paperback",4.13
Seeing and Savoring Jesus Christ,John      Piper,"Who is Jesus Christ?You've never met him in person, and you don't know anyone who has. But there is a way to know who he is. How? Jesus Christ-the divine Person revealed in the Bible-has a unique excellence and a spiritual beauty that speaks directly to our souls and says, Yes, this is truth. It's like seeing the sun and knowing that it is light, or tasting honey and knowing that it is sweet.The depth and complexity of Jesus shatter our simple mental frameworks. He baffled proud scribes with his wisdom but was understood and loved by children. He calmed a raging storm with a word but would not get himself down from the cross.Look at the Jesus of the Bible. Keep your eyes open, and fill them with the portrait of Jesus in God's Word. Jesus said, If anyone's will is to do God's will, he will know whether the teaching is from God or whether I am speaking on my own authority. Ask God for the grace to do his will, and you will see the truth of his Son.John Piper has written this book in the hope that all will see Jesus for who he really is and will come to enjoy him above all else.","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Spirituality', 'Christian'}","128 pages, Paperback",4.22
When Jesus Became God: The Struggle to Define Christianity during the Last Days of Rome,Richard E. Rubenstein,"""A splendidly dramatic story… Rubenstein has turned one of the great fights of history into an engrossing story."" –– Jack Miles, Boston Globe; author of A Biography.The life of Jesus, and the subsequent persecution of Christians during the Roman Empire, have come to define what many of us know about early Christianity. The fervent debate, civil strife, and bloody riots as Christianity was coming into being, however, is a side of ancient history rarely described.Richard E. Rubenstein takes the reader to the streets of fourth-century Rome, when a fateful debate over the divinity of Jesus Christ is being fought. Ruled by a Christian emperor, followers of Jesus no longer fear for the survival of their monotheistic faith. But soon they break into two camps regarding the direction of their Is Jesus the son of God and therefore not the same as God? Or is Jesus precisely God on Earth and therefore equal to Him?With thorough historical, religious, and social research, Rubenstein vividly recreates one of the most critical moments in the history of religion.","{'Nonfiction', 'History', 'Theology', 'Christianity', 'Philosophy', 'Spirituality', 'Religion'}","288 pages, Paperback",4.07
Family Driven Faith: Doing What It Takes to Raise Sons and Daughters Who walk with God,Voddie T. Baucham Jr.,"More teens are turning away from the faith than ever it is estimated that 75 to 88% of Christian teens walk away from Christianity by the end of their freshman year of college. Something must be done. Family Driven Faith equips Christian parents with the tools they need to raise children biblically in a post-Christian, anti-family society. Voddie Baucham, who with his wife has overcome a multi-generational legacy of broken and dysfunctional homes, shows that God has not left us alone in raising godly children. He has given us timeless precepts and principles for multi-generational faithfulness, especially in Deuteronomy 6. God’s simple command to Moses to teach the Word diligently to the children of Israel serves as the foundation of Family Driven Faith .","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Parenting', 'Family'}","222 pages, Hardcover",4.36
From the Holy Mountain: A Journey Among the Christians of the Middle East,William Dalrymple,"In 587 a.d., two monks set off on an extraordinary journey that would take them in an arc across the entire Byzantine world, from the shores of the Bosphorus to the sand dunes of Egypt. On the way John Moschos and his pupil Sophronius the Sophist stayed in caves, monasteries, and remote hermitages, collecting the wisdom of the stylites and the desert fathers before their fragile world finally shattered under the great eruption of Islam. More than a thousand years later, using Moschos's writings as his guide, William Dalrymple sets off to retrace their footsteps and composes ""an evensong for a dying civilization"" -- Kirkus Reviews, starred review","{'Nonfiction', 'Memoir', 'History', 'Travel', 'Christianity', 'Travelogue', 'Religion'}","512 pages, Paperback",4.30
When God Writes Your Love Story: The Ultimate Approach to Guy/Girl Relationships,Eric Ludy,"In their most popular book, bestselling authors Eric and Leslie Ludy challenge singles to take a fresh approach to relationships in a culture where love has been replaced by cheap sensual passion. When God Writes Your Love Story shows that God's way to true love brings fulfillment and romance in its purest, richest, and most satisfying form. This new edition includes an extra chapter from Leslie Ludy about the surprises of life after marriage!“I had dreamed of a perfect love story for my entire life. But somewhere in the midst of the endless cycle of temporary romances, my dreams had shattered.” How can I find a love worth waiting for? Lay the foundation now—whether you’ve met your future spouse or not—for a lifelong romance. Bestselling authors Eric and Leslie Ludy invite you to discover how beautiful your love story can be when the Author of romance scripts every detail. Story Behind the BookEric and Leslie Ludy want to offer an exciting vision of hope, proving that the Author of romance is alive and well and that true and lasting love can become a reality. Using the “four secrets to an amazing love story,” Eric and Leslie present a Christ-centered approach to building a relationship that will stand the test of time.From the Trade Paperback edition.","{'Nonfiction', 'Christian Living', 'Faith', 'Christianity', 'Relationships', 'Marriage', 'Christian'}","256 pages, Paperback",4.05
3:16: The Numbers of Hope,Max Lucado,"Offers a word-by-word study of one of the best known passages in the Bible, grounding the verse in the greater context of who Jesus was.","{'Nonfiction', 'Christian Living', 'Faith', 'Christianity', 'Inspirational', 'Religion', 'Christian'}","219 pages, Hardcover",4.21
The Secret Message of Jesus: Uncovering the Truth That Could Change Everything,Brian D. McLaren,"When Brian McLaren began offering an alternative vision of Christian faith and life in books such as A New Kind of Christian and A Generous Orthodoxy, he ignited a firestorm of praise and condemnation that continues to spread across the religious landscape. To some religious conservatives, McLaren is a dangerous rebel without a doctrinally-correct cause. Some fundamentalist websites have even claimed he's in league with the devil and have consigned him to flames. To others though, Brian is a fresh voice, a welcome antidote to the staleness, superficiality, and negativity of the religious status quo. A wide array of people from Evangelical, Catholic, and Mainline Protestant backgrounds claim that through his books they have begun to rediscover the faith they'd lost or rejected. And around the world, many readers say that he has helped them find-for the first time in their lives-a faith that makes sense and rings true. For many, he articulates the promise of what is being called ""emerging Christianity."" In The Secret Message of Jesus you'll find what's at the center of Brian's critique of conventional Christianity, and what's at the heart of his expanding vision. In the process, you'll meet a Jesus who may be altogether new to you, a Jesus who is… McLaren invites you to discover afresh the transforming message of Jesus-an open invitation to radical change, an enlightening revelation that exposes sham and ignites hope, an epic story that is good news for everyone, whatever their gender, race, class, politics, or religion. ""Pastor and best-selling author McLaren revisits the gospel material from a fresh-and at times radical-perspective . . . He does an excellent job of capturing Jesus' quiet, revolutionary style."" -- Publishers Weekly (starred review) ""Here McLaren shares his own ferocious journey in pondering the teachings and actions of Jesus. It is McLaren's lack of salesmanship or agenda that creates a refreshing picture of the man from Galilee who changed history."" --Donald Miller, Author of Blue Like Jazz ""In this critical book, Brian challenges us to ask what it would mean to truly live the message of Jesus today, and thus to risk turning everything upside down."" --Jim Wallis, Author of God's Politics and editor of Sojourners ""Compelling, crucial and liberating: a book for those who seek to experience the blessed heat of Christianity at its source."" --Anne Rice, Author of Christ the Lord: Out of Egypt","{'Nonfiction', 'Faith', 'Theology', 'Christianity', 'Spirituality', 'Religion', 'Christian'}","237 pages, Hardcover",3.78
When God Whispers Your Name,Max Lucado,"Are you ready to hope again? Are you ready to let go of doubt and sorrow? Just listen carefully. God is whispering your name. Somewhere, between the pages of this book and the pages of your heart, God is speaking. And He is calling you by name. Maybe that's hard to believe. Maybe you just can't imagine that the One who made it all thinks of you that personally -- that He keeps your name on His heart and lips. But it's true. In the Bible and in the circumstances of your life, He whispers your name lovingly. Tenderly. Patiently but persistently. Let these stories remind you of the God who knows your name. Some of the stories are from the Bible. Some are drawn from everyday life. Most are about people who are lost ... or weary ... or discouraged -- just like you may be. If you let them, they will tell the story of your life. And the story of a God who speaks into your situation. So listen closely as you turn these pages. Listen for the Father's gentle whisper that can erase your doubt, your sorrow, your weariness, your despair. It really is your name that you hear, and the Voice that calls is more loving that your ever dared dream. Listen. And learn to hope again.","{'Nonfiction', 'Christian Living', 'Christianity', 'Inspirational', 'Spirituality', 'Religion', 'Christian'}","232 pages, Paperback",4.27
Finding the Right Hills to Die on: The Case for Theological Triage,Gavin Ortlund,"In theology, just as in battle, some hills are worth dying on. But how do we know which ones? When should doctrine divide, and when should unity prevail? Pastor Gavin Ortlund makes the case that while all doctrines matter, some are more essential than others. He considers how and what to prioritize in doctrine and ministry, encouraging humility and grace along the way. Using four basic categories of doctrine in order of importance, this book helps new and seasoned church leaders alike wisely labor both to uphold doctrine and to preserve unity.","{'Nonfiction', 'Leadership', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Christian'}","163 pages, Paperback",4.35
A Prayer Journal,Flannery O'Connor,"""I would like to write a beautiful prayer,"" writes the young Flannery O'Connor in this deeply spiritual journal, recently discovered among her papers in Georgia. ""There is a whole sensible world around me that I should be able to turn to Your praise."" Written between 1946 and 1947 while O'Connor was a student far from home at the University of Iowa, A Prayer Journal is a rare portal into the interior life of the great writer. Not only does it map O'Connor's singular relationship with the divine, but it shows how entwined her literary desire was with her yearning for God. ""I must write down that I am to be an artist. Not in the sense of aesthetic frippery but in the sense of aesthetic craftsmanship; otherwise I will feel my loneliness continually . . . I do not want to be lonely all my life but people only make us lonelier by reminding us of God. Dear God please help me to be an artist, please let it lead to You.""O'Connor could not be more plain about her literary ""Please help me dear God to be a good writer and to get something else accepted,"" she writes. Yet she struggles with any trace of ""Don't let me ever think, dear God, that I was anything but the instrument for Your story.""As W. A. Sessions, who knew O'Connor, writes in his introduction, it was no coincidence that she began writing the stories that would become her first novel, Wise Blood , during the years when she wrote these singularly imaginative Christian meditations. Including a facsimile of the entire journal in O'Connor's own hand, A Prayer Journal is the record of a brilliant young woman's coming-of-age, a cry from the heart for love, grace, and art.","{'Prayer', 'Nonfiction', 'Faith', 'Christianity', 'Spirituality', 'Religion', 'Christian'}","112 pages, Hardcover",4.12
The Me I Want to Be: Becoming God's Best Version of You,John Ortberg,"Reading The Me I Want to Be is your first step to becoming God’s best version of you. Join bestselling author and pastor John Ortberg as he guides you through the sometimes difficult but ultimately fulfilling journey towards a uniquely created spirituality. One designed just for you … one that will enable you to experience God more fully each day. Available in four unique colors, customers purchasing at retail will select the cover they prefer.","{'Nonfiction', 'Christian Living', 'Faith', 'Christianity', 'Spirituality', 'Self Help', 'Christian'}","272 pages, Hardcover",4.12
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.The lieutenant’s name was Louis Zamperini. In boyhood, he'd been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will.","{'Audiobook', 'Nonfiction', 'War', 'History', 'Biography', 'Historical', 'World War II'}","475 pages, Hardcover",4.38
Christianity and Culture: The Idea of a Christian Society and Notes Towards the Definition of Culture,T.S. Eliot,"Two long essays: “The Idea of a Christian Society” (on the direction of religious thought toward criticism of political and economic systems) and “Notes towards the Definition of Culture” (on culture, its meaning, and the dangers threatening the legacy of the Western world).","{'Nonfiction', 'Theology', 'Christianity', 'Philosophy', 'Cultural', 'Religion', 'Christian'}","216 pages, Paperback",3.88
The Bible Unearthed: Archaeology's New Vision of Ancient Israel and the Origin of Its Sacred Texts,Israel Finkelstein,"In this groundbreaking work that sets apart fact and legend, authors Finkelstein and Silberman use significant archeological discoveries to provide historical information about biblical Israel and its neighbors.In this iconoclastic and provocative work, leading scholars Israel Finkelstein and Neil Asher Silberman draw on recent archaeological research to present a dramatically revised portrait of ancient Israel and its neighbors. They argue that crucial evidence (or a telling lack of evidence) at digs in Israel, Egypt, Jordan, and Lebanon suggests that many of the most famous stories in the Bible—the wanderings of the patriarchs, the Exodus from Egypt, Joshua’s conquest of Canaan, and David and Solomon’s vast empire—reflect the world of the later authors rather than actual historical facts. Challenging the fundamentalist readings of the scriptures and marshaling the latest archaeological evidence to support its new vision of ancient Israel, The Bible Unearthed offers a fascinating and controversial perspective on when and why the Bible was written and why it possesses such great spiritual and emotional power today.","{'Nonfiction', 'History', 'Christianity', 'Judaism', 'Science', 'Archaeology', 'Religion'}","385 pages, Paperback",4.13
Just as I Am,Billy Graham,"Hailed as ""the world's preacher,"" Billy Graham has enjoyed a career that has spanned six decades and his ministry of faith has touched the hearts and souls of millions. In Just As I Am Graham reveals his life story in what the Chicago Tribune calls ""a disarmingly honest autobiography."" Now, in this revised and updated edition, we hear from this ""lion in winter"" (Time) on his role over the past ten years as America's pastor during our national crisis of the Oklahoma bombing and 9/11; his knighthood; his passing of the torch to his son, Franklin, to head the organization that bears his name; and his commitment to do the Lord's work in the years of his and his wife Ruth's physical decline.","{'Nonfiction', 'Biography Memoir', 'Biography', 'Christianity', 'Religion', 'Autobiography', 'Christian'}","776 pages, Paperback",4.29
The Misunderstood Jew: The Church and the Scandal of the Jewish Jesus,Amy-Jill Levine,"Country Western singer Kinky Friedman often performs a song entitled ""They Ain't Making Jews Like Jesus Anymore,"" and New Testament professor Amy–Jill Levine would agree. In fact, her career is dedicated to helping Christians and Jews understand the Jewishness of Jesus, thereby deepening the understanding of him, and facilitating greater interfaith dialogue. In this book, she shows how liberal Christians misunderstand Judaism, misunderstand the New Testament, and thus yank Jesus out of his Jewish context and wind up promoting hatred of Jews. Only with the deeper understanding this top Jewish, Southern–born New Testament scholar provides can we hope to respect each other's beliefs, as well as enrich our own.Through a extremely busy teaching and speaking schedule, Levine has honed her message at synagogues, Catholic conferences, Jewish Community Centers, denominational meetings, in the classroom and in her highly successful Teaching Company audios and videos. Levine is brilliant, charming, funny and forceful, and uses these traits to give a completely fresh perspective on Jesus and the New Testament. In addition to offering new insights with great skill, she has the remarkable ability to be tough, pointing out how even liberal Christians can be unwittingly anti–Semitic in their understanding of what Jesus stood for.Her truth–telling here will provoke honest dialogue on how Christians and Jews should understand Jesus and our New Testament heritage.","{'Nonfiction', 'Jewish', 'History', 'Theology', 'Judaism', 'Christianity', 'Religion'}","250 pages, Hardcover",4.06
Christ Plays in Ten Thousand Places: A Conversation in Spiritual Theology,Eugene H. Peterson,"Christ Plays in Ten Thousand Places reunites spirituality and theology in a cultural context where these two vital facets of Christian faith have been rent asunder. Lamenting the vacuous, often pagan nature of contemporary American spirituality, Eugene Peterson here firmly grounds spirituality once more in Trinitarian theology and offers a clear, practical statement of what it means to actually live out the Christian life.Writing in the conversational style that he is well known for, Peterson boldly sweeps out the misunderstandings that clutter conversations on spiritual theology and refurnishes the subject only with what is essential. As Peterson shows, spiritual theology, in order to be at once biblical and meaningful, must remain sensitive to ordinary life, present the Christian gospel, follow the narrative of Scripture, and be rooted in the ""fear of the Lord"" -- in short, spiritual theology must be about God and not about us. The foundational book in a five-volume series on spiritual theology emerging from Peterson's pen, Christ Plays in Ten Thousand Places provides the conceptual and directional help we all need to live the Christian gospel well and maturely in the conditions that prevail in the church and world today.","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Spirituality', 'Christian'}","380 pages, Hardcover",4.18
The Miracle of Forgiveness,Spencer W. Kimball,"In his earthly ministry, Jesus preformed many miracles. In particular, he healed numerous diseased and disabled bodies. But perhaps his greatest miracle was the healing of people's souls - the forgiveness of sin. Jesus still offers that miracle today, and on the same terms as sincere repentance.","{'Lds', 'Nonfiction', 'Church', 'Inspirational', 'Spirituality', 'Self Help', 'Religion'}","376 pages, Paperback",4.33
Ruthless Trust: The Ragamuffin's Path to God,Brennan Manning,"In his sequel to  The Ragamuffin Gospel  bestselling author Brennan Manning shows how true and radical trust in God can transform our lives. Manning, beloved author and spiritual teacher, shows us how trust in God can transform our lives and open us up to deeper experiences of grace and love. In Ruthless Trust , he turns his focus from furious love to radical trust, revealing the ways in which trust renews our faith and help us grow.","{'Nonfiction', 'Christian Living', 'Faith', 'Christianity', 'Spirituality', 'Religion', 'Christian'}","190 pages, Paperback",4.34
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"God Is Not Great makes the ultimate case against religion. In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive, and distorts the very origins of the cosmos. Above all, Hitchens argues that the concept of an omniscient God has profoundly damaged humanity, and proposes that the world might be a great deal better off without ""him.""","{'Nonfiction', 'History', 'Science', 'Philosophy', 'Politics', 'Religion', 'Atheism'}","307 pages, Hardcover",3.95
Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,"Immaculee Ilibagiza grew up in a country she loved, surrounded by a family she cherished. But in 1994 her idyllic world was ripped apart as Rwanda descended into a bloody genocide. Immaculee’s family was brutally murdered during a killing spree that lasted three months and claimed the lives of nearly a million Rwandans.Incredibly, Immaculee survived the slaughter. For 91 days, she and seven other women huddled silently together in the cramped bathroom of a local pastor while hundreds of machete-wielding killers hunted for them. It was during those endless hours of unspeakable terror that Immaculee discovered the power of prayer, eventually shedding her fear of death and forging a profound and lasting relationship with God. She emerged from her bathroom hideout having discovered the meaning of truly unconditional love—a love so strong she was able seek out and forgive her family’s killers.The triumphant story of this remarkable young woman’s journey through the darkness of genocide will inspire anyone whose life has been touched by fear, suffering, and loss.","{'Nonfiction', 'History', 'Biography', 'Africa', 'Memoir', 'Christian', 'Religion'}","214 pages, Paperback",4.42
Augustine of Hippo: A Biography,Peter Brown,"This classic biography was first published thirty years ago and has since established itself as the standard account of Saint Augustine's life and teaching. The remarkable discovery recently of a considerable number of letters and sermons by Augustine has thrown fresh light on the first and last decades of his experience as a bishop. These circumstantial texts have led Peter Brown to reconsider some of his judgments on Augustine, both as the author of the Confessions and as the elderly bishop preaching and writing in the last years of Roman rule in north Africa. Brown's reflections on the significance of these exciting new documents are contained in two chapters of a substantial Epilogue to his biography (the text of which is unaltered). He also reviews the changes in scholarship about Augustine since the 1960s. A personal as well as a scholarly fascination infuse the book-length epilogue and notes that Brown has added to his acclaimed portrait of the bishop of Hippo.","{'Nonfiction', 'History', 'Biography', 'Theology', 'Christianity', 'Church History', 'Religion'}","576 pages, Paperback",4.28
How Now Shall We Live?,Charles W. Colson,"2000 Gold Medallion Award winner!Christianity is more than a personal relationship with Jesus Christ. It is also a worldview that not only answers life's basic questions―Where did we come from, and who are we? What has gone wrong with the world? What can we do to fix it?―but also shows us how we should live as a result of those answers. How Now Shall We Live? gives Christians the understanding, the confidence, and the tools to confront the world's bankrupt worldviews and to restore and redeem every aspect of contemporary family, education, ethics, work, law, politics, science, art, music. This book will change every Christian who reads it. It will change the church in the new millennium.","{'Nonfiction', 'Christian Living', 'Faith', 'Theology', 'Christianity', 'Cultural', 'Christian'}","656 pages, Paperback",4.11
Nine Marks of a Healthy Church,Mark Dever,"What makes for a healthy church? A large congregation? Plentiful parking? Vibrant music? You may have read books on this topic before-but not like this one. This new expanded edition of Nine Marks of a Healthy Church is not an instruction manual for church growth. It is a pastor's recommendation of how to assess the health of your church using nine crucial qualities that are neglected by many of today's churches. Whether you're a church leader or an involved member of your congregation, you can help cultivate these elements in your church, bringing it new life and health for God's glory.","{'Nonfiction', 'Leadership', 'Church', 'Theology', 'Christianity', 'Ecclesiology', 'Christian'}","288 pages, Paperback",4.27
