title,popular_rank,orign_country,summary,rating
Moving Art,"3,586",United States,"Experience nature's art as filmmaker Louie Schwartzberg highlights the beauty that lurks in oceans, forests, deserts and flowers.",8.7
Johan Falk: Slutet,"3,587",Sweden,"In the final movie about Swedish special force policeman Johan Falk, he tries to solve the problem with the Eastern European mafia, who is threatening his family. Meanwhile, his co-workers get hold of some papers that is critical in the chase of a big, multinational criminal network.",7.8
Levius,"3,588",Japan,"A young man whose parents became casualties of war. He is taken in by his uncle Zack, and it is there that Levius begins to immerse himself in the world of metal boxing as if led by fate itself, and his innate ability for the martial art blossoms.",7.0
Sop Dek 2002,"3,589",Thailand,"Inspired by true story, the film revolves around a woman who is unintentionally pregnant but couldn't afford the life of her infant. Then she decides to do an abortion which changes her life into a series of nightmares as she is haunted by the vengeful ghost of her unborn child. —Movieseer",4.6
Glória,"3,590",Portugal,"In the 1960s, at the height of the Cold War, in the small village of Glória do Ribatejo, João Vidal will take on several high-risk espionage missions that could change the course of Portuguese and world history.",
Dark Summer,"3,591",United States,A 17-year-old is on house arrest for the summer while his mother is away on business. A horrifying incident occurs leaving an ominous presence in the house.,4.3
Mariposa,"3,592",Indonesia,"Iqbal Guanna is like a Mariposa butterfly to Natasha Kay Loovy or Acha. Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold. Acha's best friend, Amanda, tries to prevent Acha from approaching Iqbal. She is sure that even if Iqbal's heart is as hard as stone, Acha is the water that drips on it all the time, until the stone breaks and accepts her. —filmindonesia.or.id",7.4
Le voyage au Groenland,"3,593",France,"Thomas and Thomas are going through a rough patch: they are both thirty-something actors living in Paris. They randomly decide to leave the city and fly away to Kullorsuaq, one of the most remote villages of Greenland, where Thomas' father Nathan lives. Among the Inuit community, they will discover the charms of the local customs and their friendship will be challenged. —anonymous",6.4
Revisions,"3,594",Japan,"Daisuke Toujima is a second-year high school student who was abducted when he was young. He was involved in a special phenomenon called Shibuya Drift with his childhood friends Gai, Ru, Marimari, and Keisaku. They were transferred to the center of Shibuya over 300 years into the future.",6.1
Sawah,"3,595",Luxembourg,"DJ Skaarab aka Samir (Karim Kassem) has just won the local DJ Championships in Egypt. He gets the opportunity to fly to Brussels in order to participate at the ""Drop Beats"" event. But Samir's flight is redirected to Luxembourg because of a major strike in Belgium. Having never heard of this country before, Samir loses all of his belongings including his papers, music as well as his identity. While he is stuck in this new territory, he gets to know many colorful characters that will be part of his journey. SAWAH is the second feature film by Luxembourg filmmaker Adolf El Assal (The Notorious Guys). The screenplay is co-written by Canadian writer Dennis Foon (Indian Horse (produced by Clint Eastwood), Life, Above All (distributed by Sony Pictures Classics)). It's a unique dramatic comedy that deals with issues such as identity, travelling and the recent refugee crisis. The film features a mixed international cast featuring Egyptian actors Karim Kassem, Sarrah Abdelrahman, Mahmoud Ellissy as well as Eric Kabongo (Willkommen bei den Hartmanns), Jean-Luc Couchard (Dikkenek) and Mourade Zuegendi (JCVD).",6.7
Trigger Warning with Killer Mike,"3,596",-,"Conducting a different social experiment in each episode -- including only spending money in the black community for three days, helping the Crips cash in on its personal brand by launching a line of soda, rethinking public school's approach to education, and more -- Killer Mike puts forward powerful, controversial ideas to help reshape perception in America.",7.0
Detention,"3,597",Taiwan,"Starts at Greenwood High School in the 1990s. Yunxiang Liu, a transfer student, steps into the forbidden area on the campus by accident, where she encounters the ghost of Ruixin Fang. Fang later unveils the hidden history and trauma over the past 30 years, and how a group of young students and teachers were persecuted as they fought for freedom in the era of censorship. Their stories keep coming back to the school like haunting nightmares, waiting to be told and revealed.",6.4
45 Revoluciones,"3,598",Spain,"In the 60s, a new music genre that was already revolutionizing the world, pop, made its arrival to Spain. Maribel Campoy, a 19-year-old girl developed at the Music Conservatory, sees herself in charge of a new musical brand that will change the rules of the game. Alonside her boss, Guillermo Rojas, and Roberto, a young singer uncovered on the scenarios of the ""Matinales"" of El Price, Maribel will shed light to a new way of understanding the musical panorama. Three characters that will see themselves involved in a love triangle in an age and social frame where the police charged against anyone who tried to revolutionize the country. —Antena 3",7.3
Fairy gone,"3,599",Japan,"In a world where fairies possess and reside within animals, granting them special powers. By surgically removing and transplanting the organs of a possessed animal into a human, humans can partially summon the fairy and use them as weapons. Eventually, such individuals were used for war, and were called ""Fairy Soldiers."" After a long war, these soldiers lost their purpose, and had to reintegrate into society. From the government, to the mafia, and even becoming terrorists, each tread their own path. The story begins nine years after the end of the war, and centers on the protagonist Maria. Maria is a fresh recruit of ""Dorothea,"" an organization dedicated to the investigation and suppression of fairy-related crimes and incidents. Even in peacetime, the government is still unstable after the war. Many criminals still have lingering wounds from the previous conflict, and there are terrorist groups bent on revenge. This is the story of Fairy Soldiers seeking their own justice in a chaotic postwar world.",5.8
Robbing Mussolini,"3,600",Italy,-,
Spriggan,"3,601",Japan,It is an edgy sci-fi battle action about a man with supernatural powers to seal historical remains.,
The Fix,"3,602",United States,Host Jimmy Carr attempts to solve the world's biggest problems through comedy.,7.1
Audible,"3,603",United States,"Audible is a cinematic and immersive coming of age film, documenting the journey of Maryland School for the Deaf high school athlete Amaree McKenstry-Hall. Amaree and his closest friends face the pressures of senior year while grappling with the realities of venturing off into a hearing world. They take out their frustrations on the football field as they battle to protect an unprecedented winning streak, while coming to terms with the tragic loss of a close friend. This is a story about kids who stand up to adversity and demand to be heard. They face conflict, but approach the future with hope - shouting to the world that they exist and they matter.",
Nu jing cha,"3,604",Hong Kong,"Ho Mei Fong is a young woman in trouble, running from a gang of criminals with something of importance hidden in her purse. She dies in Chien Chen's taxi while trying to escape, but not before hiding the purse. Chien Chen is now involved whether he likes it or not, along with Ho Mei's sister, who turns out to be an undercover Hong Kong policewoman. They must solve the mystery of the missing purse and what it contained, while being pursued by the criminals and their hired thugs (led by Jackie Chan). —obloco",3.6
100% Hotter,"3,605",United Kingdom,"A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.",4.4
Swing State,"3,606",United States,A bohemian Seattle DJ uses his on-air charisma to create a fictitious conservative radio personality becoming an overnight sensation.,4.0
The Task,"3,607",United States,"Something diabolical is taking place on the set of ""The Task"" a new reality show in which players complete terrifying missions within the confines of an abandoned prison hoping to win a hefty cash prize. As six young students explore their new environment, malicious spirits make their presence known in the most gruesome ways imaginable, Unable to escape the labyrinthine prison, the contestants become unwitting pawns caught at the centre of a blood-soaked night of terror. —Svetlio Svilenov",4.3
Brené Brown: The Call to Courage,"3,608",-,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,7.7
Million Pound Menu,"3,609",United Kingdom,Participants try to convince a jury that their new restaurant ideas could work.,6.7
Sensei wo Kesu Houteishiki,"3,610",Japan,"Teichi Gakuen is an advanced school in Tokyo with a high rate of students going on to the University of Tokyo. The 3rd year ""D"" group of students has an excellent academic record. However all the teachers who were in charge of the 3rd year D group have broken down shortly and have retired. In fact, some students in this class have mentally tortured the teachers like it was a game. In a way that is close to a criminal, students crush their homeroom teachers without getting their hands dirty. In such a twisted environment can the new homeroom teacher, Keio Yoshizawa Tsuneo played by Tanaka, arrives. Yoshizawa smiles and smiles all the time. Even if a student makes a mean statement or asks a question, he answers with a smile. Even if he is physically attacked by the student, he is smiling for some reason. Somehow Yoshizawa knows the students' private information. Despite this the students' behavior escalates, and they plan to kill him. Why did Yoshizawa come to this school? How long will he endure the traps set by his students? Teachers and students battle each other in a closed space called a school.",4.8
Historia de un Crimen: La Busqueda,"3,611",Mexico,Based on a true story about the disappearance of a small girl from her home outside Mexico City,5.5
Sinister Squad,"3,612",United States,"When a supernatural cult threatens Earth, Alice must assemble a team of fairy tale villains to face the literal forces of Death.",2.1
House of Bodies,"3,613",United States,"While indulging his appetite for the grim and gruesome by patronizing a voyeuristic Web site that's based in a house where a serial killer once lived, a hearing-impaired boy begins to suspect that the site's violence is more than just make-believe. —Anonymous",4.3
Buried by the Bernards,"3,614",United States,"In 2017, Ryan Bernard opened the doors to R Bernard Funeral Services, offering complete, yet affordable funeral packages to help his community deal with exponentially high funeral costs.",7.3
Sparta,"3,615",Russia,Without the right to make a mistake. Without the right to rematch,6.6
Sabrina,"3,617",Indonesia,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen. Maira is terrorized by the Sabrina doll. What is happening with the doll and what does it want?",4.2
Pac-Man and the Ghostly Adventures,"3,618",United States,Pacman saves pacworld from ghosts with his friends Cyli and Spiral.,4.8
Rundfunk: Jachterwachter,"3,619",Netherlands,"A hard-working guy runs the HIVO-campsite without any assistance. The sudden arrival of faded celebrity Ronnie Bosboom Jr. seems like a blessing at first, but when he reveals to be hiding from criminals, things quickly go awry. The duo must learn to work together to save the camping and their lives.",5.8
6-5=2,"3,620",India,"Starring Niharica Raizada, Prashantt Guptha, Ashrut Jain, Gaurav Paswala, Gaurav Kothari, Disha Kapoor and Darshan M and cinematography by Sathya Hegde who is a prominent cinematographer in Kannada film industry and has done movies like Duniya, Jackie, Myna. The film tells the story of a group of youngsters whose mountain trek goes awfully wrong. This is one of the first Hindi horror films in the found footage genre",4.2
Weg van jou,"3,621",Netherlands,"Successful Evi loves her busy life in Rotterdam. She lives in an apartment to die for with her boyfriend Len and works really hard as an engineer. She is called in to see her boss: she is being relocated. She can't wait to hear her dream come true. But then, to her complete dismay, she hears that she is being relocated not to Rio de Janeiro, but to - Terneuzen, a small town in the south of the Netherlands.",6.4
Dollar,"3,622",Lebanon,"Tarek is given the task to come up with a million-dollar idea for the launch of a new bank. An idea strikes him, but he will only reveal it to the CEO, making Zeina, the CEO's assistant played by Bouchoucha, suspicious.",6.7
June & Kopi,"3,623",Indonesia,"A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as he adjusts to his new, loving home.",6.3
Olanlar Oldu,"3,624",Turkey,"Zafer, a sailor living with his mother Döndü in a coastal village in Izmir, has just broke up with his girlfriend Mehtap whose father is also a sailor. While Döndü and her friend, Fahriye try to help Zafer to marry someone and have his own family, a famous and talented actress, Asli surprisingly attends Zafer's boat tour. Then Asli and Zafer find themselves getting to know each other... —zehra",6.2
League of Legends Origins,"3,625",United States,"In League of Legends Origins, Academy Award nominated Director, Leslie Iwerks explores the history of the community that has made League of Legends one of the most-played PC game in history and one of the fastest growing sports in the world. Told by the fans who lived it, the players that popularized it, and the visionaries who made it, Iwerks captures the highs and lows of making a global phenomenon.",6.5
Figli del Destino,"3,626",Italy,The story of four Italian children facing the racial laws and the wave of hate brought by fascism against the Jews.,6.7
Taco Chronicles,"3,627",United States,A journey through the colorful and varied world of Tacos.,7.9
ReMastered: Devil at the Crossroads,"3,628",United States,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.",7.0
Johan Falk: Blodsdiamanter,"3,629",Sweden,GSI (Group of Special Investigations) investigates a weapon deal made by the mafia. GSI sends in an undercover agent to investigate what the mafia is up to. At the same time Johan Falk confronts a mysterious woman who threatens his family.,7.1
Rák Màt-nàk,"3,630",Thailand,"Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.",7.1
A cambio de nada,"3,631",Spain,"16 year-old Dario got away from home, running from his familiar hell. Luismi, his unconditional friend, Caralimpia, a poor loser in a winners suit and Antonia, an old lady who collects abandoned furniture in her three-wheeler will become his new family. Three generations meet in a city that's too big to be alone. It's summertime.",6.6
Money Heist Korea,"3,632",-,-,
Stretch Armstrong & the Flex Fighters,"3,633",United States,An over-scheduled teenager named Jake Armstrong and his two best friends are accidentally exposed to an experimental chemical and become a team of stretchable superheroes who must work together to expand beyond the confines of their lives and embark on a series of adventures. —Kentrell X,6.4
Al posto suo,"3,634",Italy,"Damiano and Chicco are twin brothers. One is an unscrupulous manager and the other is a free spirit who earns his living as a horseman. Their father, Cesare, forces them to switch roles: in order not to lose their inheritance, they have to live each other's lives for a month. —jakkepoes",6.1
Stay Here,"3,635",United States,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.,7.5
American Violence,"3,636",United States,"Fascinated by the root causes of violent behavior, world renowned psychologist Dr. Amanda Tyler has an opportunity to interview and analyze death row inmate Jackson Shea. As the interview commences, and Jack's fate hangs in the balance, Amanda must determine whether or not a stay of execution should be granted.",4.5
Centaurworld,"3,637",United States,"A hardened war horse transported away from battle finds herself in a land that's inhabited by silly, singing centaurs of all shapes and sizes.",
Sila Samayangalil,"3,638",India,"Seven people from different walks of life give their blood sample for ELISA Test - AIDS Screening. To avoid the tension of waiting, they decide to bribe the technician and know the results earlier. They come to know only one among them has AIDS. Each one hoping it is not him,waits with anxiety. The film takes an unexpected turn from here creating an emotional and shocking end.",7.2
The Mars Generation,"3,639",United States,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,6.4
Terrorism Close Calls,"3,640",United States,"The war on terror is everywhere and anywhere. In this series, we learn about the deadly terrorist attacks that almost happened or were not as deadly as planned. Each episodes explores a recently declassified terrorist scheme intended to cause mass casualties.",5.2
Followers,"3,641",Japan,"In every corner of the world robotic people join social networks and give their time and privacy away in the name of connectedness. These people are social voyeurs, narcissists and attention addicts. Japan is not any different. A woman is a photographer. Another arrives in the country's capital city looking for her fame. People are inspired by a social network star. —aghaemi",6.3
Wildflower,"3,642",United States,A college student struggling with a painful childhood begins to have a reoccurring nightmare that compels her to confront her past and restore her faith. —Faith Street Films,5.2
Goyo: Ang batang heneral,"3,643",Philippines,"The story of Gregorio 'Goyo' del Pilar, one of the youngest Generals during the Philippine-American War who fought in the historic Battle of Tirad Pass.",6.7
The Russian Revolution,"3,644",United Kingdom,"A brief yet comprehensive documentary overview of the downfall of the Romanov dynasty and the evolution of Lenin's Ulyanov family, from the terrible acts and subsequent hanging of his brother to his own hunger for a revolution.",6.5
Departe de tine,"3,645",Romania,"The film follows a young married couple, Grant and Sofia, living in Los Angeles and looking to start a family. When Sofia, an out-of-work engineer, lands a dream job in her home country of Romania, she convinces Grant to put their plans on hold temporarily. One year on however and Grant, a successful young novelist, struggles to finish his latest book and feels homesick in Bucharest. Sofia on the other hand has flowered into a confident young woman working long hours and struggling to balance her home life and career. When a family crisis forces the couple apart, the physical and emotional distance forces the couple to take a hard honest look at their choices and to confront a decision that could alter their future forever. —Anonymous",5.7
Corazón loco,"3,646",Argentina,Fernando is a family man - equally committed to each of his two families. But one wrong turn brings them crashing together.,5.2
Angela's Christmas Wish,"3,647",United States,"A sequel to the much loved Angela's Christmas, Angela's Christmas Wish is a heart-warming tale of a determined little girl who sets out to reunite her family in time for Christmas.",7.1
Losers,"3,648",-,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.",7.7
Mutants,"3,649",France,"In the middle of a zombie apocalypse, a resourceful couple hides out in an isolated abandoned building. The woman is pregnant and the man is infected, slowly transforming into the kind of inhuman monster they are trying to escape.",5.6
"El Pepe, Una Vida Suprema","3,650",Argentina,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica.",7.1
The Unlikely Murderer,"3,651",Sweden,"The assassination of Palme in 1986, Engström managed to elude justice right up to his death through a combination of audacity, luck, and a perplexed police force.",
Aala Kaf Ifrit,"3,652",Tunisia,"During a student party, Mariam, a young Tunisian woman, meets the mysterious Youssef and leaves with him. A long night will begin, during which she'll have to fight for her rights and her dignity. But how can Justice be made when it lies on the side of the tormentors? —Jour2Fête",7.0
To Serve and Protect,"3,653",Canada,"A TV series where cameras follow police officers on patrol and capture their gritty world of raw emotions and unexpected events as they answer calls for help, solve crimes and arrest law-breakers.",7.3
Uglies,"3,654",-,-,
We Used to Live Here,"3,655",-,-,
Street Food: Latin America,"3,656",-,"The newest installment will travel to six countries in Latin America and explore the vibrant street food culture of Oaxaca, Mexico; Salvador, Brazil; Buenos Aires, Argentina; Lima, Peru; Bogota, Colombia; and La Paz, Bolivia.",7.9
La luna sangre,"3,657",Philippines,"A crossover spin-off of the Filipino hit TV series Lobo and Imortal. The race against humanity, vampires, and werewolves fighting together in an all out war for power of their race. Who will survive in this war against evil vampires and the unity of werewolves, good vampires, and humans? —bianca tan",5.9
La Misma Sangre,"3,658",Argentina,"Elias and Adriana are a couple that, for 35 years, have proven to be the perfect marriage, however, their love will be truncated after the unfortunate death of the wife. And although everything indicates that his death was an accident, his daughter Carla and her husband Sebastián are convinced that he was the real murderer.",6.1
Indiscretion,"3,659",United States,"In director John Stewart Muller's stylish psychological thriller, Mira Sorvino stars as Veronica, a politician's wife whose brief affair with a troubled young artist comes back to haunt her when he begins to infiltrate every part of her life. While her husband (Cary Elwes) and daughter (Katherine McNamara) are away, New Orleans psychiatrist Veronica Simon (Mira Sorvino) enjoys a weekend fling with Victor (Christopher Backus), an alluring young sculptor. But after Veronica calls off the affair, Victor refuses to let go and will stop at nothing to have Veronica for himself. Just how far will Victor go to get what he wants, and is there anything Veronica can do to stop his mad obsession before it destroys her family?",4.8
Splatter,"3,661",United States,"After self-righteous rock star Jonny Splatter puts a bullet in his own head, only five people are chosen to attend the reading of Splatter's will: the manager, the shrink, the guitarist, the lover, and the groupie. Will they get what they came for or what Splatter thinks they deserve? —Chad Wagner",3.1
Khozhdenie po mukam,"3,662",Russia,"Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.",7.7
Gaslit,"3,663",United States,Olivia struggles to sort out truth from fiction after her daughter mysteriously vanishes during a camping trip with the new neighbors.,4.5
Brian Regan: On the Rocks,"3,664",United States,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins.",6.9
CM101MMXI Fundamentals,"3,665",Turkey,"The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly. —Elmalma Brand Communication",9.2
"Thi Mai, rumbo a Vietnam","3,666",Spain,"Carmen learns that her daughter Maria died in an accident. After a couple of days, she decides to go to her apartment for some paperwork but here she discovers that Maria was about to adopt a Vietnamese girl named Thi Mai. Carmen then decides to go to Vietnam with her friends Elvira and Rosa, although none of the three has ever left Spain in their life. During the search for Thi Mai, they will have the opportunity to experience crazy and hilarious situations caused by cultural differences. They will be accompanied by Dan, a Vietnamese guide, and Andrés, a young Spanish actor going to Hanoi to live with his partner. —tosem",6.0
En passant pécho,"3,667",France,"In Paris, two dysfunctional drug dealers use family ties to try and boost their business.",4.5
Julie's Greenroom,"3,668",United States,Ms. Julie (Dame Julie Andrews) teaches performing arts workshops to a group of puppet children and a duck with the help of her assistant Gus (Giullian Yao Gioiello) and celebrity guests at her Wellspring Center for the Performing Arts.,8.5
India's Daughter,"3,669",United Kingdom,"INDIA's DAUGHTER is the story of the short life, and brutal gang rape and murder in Delhi in December 2012 of an exceptional and inspiring young woman. The rape of the 23 year old medical student by 6 men on a moving bus, and her death, sparked unprecedented protests and riots throughout India and led to the first glimmers of a change of mindset. Interwoven into the story line are the lives, values and mindsets of the rapists whom the film makers have had exclusive and unprecedented access to interview before they hang. The film examines the society and values which spawn such violent acts, and makes an optimistic and impassioned plea for change. —Anonymous",8.2
Banlieusards,"3,670",France,Three brothers try to survive on the streets of a tough French suburb.,6.4
Rocco Chinnici,"3,671",Italy,The work and life of magistrate Rocco Chinnici in the last years of his carrier spent fighting Sicilian Mafia seen through the eyes of his daughter Caterina who's going to follow her father's steps.,7.0
LUV,"3,672",United States,An 11-year-old boy gets a crash course in what it means to be a man when he spends a day with the ex-convict uncle he idolizes.,6.0
Stranger Things: Spotlight,"3,673",United States,-,9.4
FirstBorn,"3,674",United Kingdom,"When Charlie finds that she is pregnant, her boyfriend James moves in together with her to raise the baby. Thea is born and soon Charlie is haunted at home by some evil force. They contact Charlie's estranged father Alistair, who is an occultist, and he visits his son and his daughter-in-law. He finds that Thea is surrounded by evil entities and the parents should protect her following some rules including never letting Thea have any doll with face. They teach Theat to control her ability but a couple of years later, their house is invaded by entities. Charlie and James seek help with the powerful occultist Elizabeth. Will Thea be saved from the evil and supernatural creatures? —Claudio Carvalho, Rio de Janeiro, Brazil",4.8
Milly & Mamet: Ini Bukan Cinta & Rangga,"3,675",Indonesia,"Continuing the story of 'Ada Apa Dengan Cinta 2': Milly and Mamet is busy taking care of their babies. Mamet who has a passion for cooking and once worked as a chef, now works at Milly's father factory. A choice that is rather forced, because now he becomes the family breadwinner after Milly stopped as a banker to focus on raising their child. One day, Mamet meets Alexandra, a close friend at college. Enthusiastically, Alexandra tells that she has found an investor to finance the restaurant that they had once imagined together. —filmindonesia.or.id",7.4
Power Players,"3,676",United States,"A young boy who gains the powers to turn from human a living toy must protect his bracelets, which give him his powers, from the hands of evil, toys come to life.",6.0
In Family We Trust,"3,677",Thailand,The story revolves around an extended Thai Chinese family whose members' seemingly happy relationships devolve into conflict following murder of the eldest son and head of the family business.,8.1
Madre,"3,678",Chile,"Diana Prieto is pregnant and taking care of her autistic son Martin has become overwhelming. She has no one to help her while her husband Tomas spends months working in Asia. Diana's at her breaking point with Martin when Luz, a gifted caregiver from the Philippines, steps in to help. Martin quickly begins improving under Luz's supervision, but Diana's worried that he's only being taught to speak Filipino. Diana begins to suspect that Luz is using the language barrier and voodoo to turn Martin against Diana and into something far more sinister...",5.6
Dark Net,"3,679",United States,"Explores the furthest reaches of the internet and the people who frequent it, providing a revealing and cautionary look inside a vast cyber netherworld rarely witnessed by most of us.",7.1
Nanti kita cerita tentang hari ini,"3,680",Indonesia,"Every family has a secret. Angkasa (Rio Dewanto), Aurora (Sheila Dara Aisha), and Awan (Rachel Amanda) are siblings who live in happy-looking families. After experiencing her first major failure, Awan meets Kale (Ardhito Pramono), an eccentric guy who gives Awan a new life experience, about broken, up, falling, growing, lost and all the fear of humans in general. Changes in Awan's attitude under pressure from his parents. This prompted the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",7.5
The Helicopter Heist,"3,681",-,-,
Hijacked,"3,682",United States,A special agent's plans to reconcile with his ex-fiancé are ruined when she boards a private jet that is targeted by hijackers working for the same crime lord that he is chasing.,3.8
1920 London,"3,683",India,"Shivangi (Meera Chopra) lives in London with her husband Veer Singh (Vishal Karwal). One day, he receives a gift from Rajasthan. From then, strange things happen with Veer and his condition deteriorates. Shivangi, thinking that this is because of black magic, goes to Rajasthan and finds Jai (Sharman Joshi), an exorcist and begs for help. Jai help Shivangi and her possessed husband from the evil spirit forms the crux of the story.",4.1
Kidô senshi Gandamu: Senkô no Hasauei,"3,684",Japan,"U.C. 0105 - twelve years after the Second Neo Zeon War, the peace on Earth and its colonies is disrupted by ""Mafty"", a terrorist organization bent on preventing the Earth Federation from privatizing the Earth to the privileged. Leading Mafty is Hathaway Noa, son of celebrated Federation Captain Bright Noa and pilot of the experimental RX-105 Gundam.",
Bread Barbershop,"3,685",South Korea,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",8.7
Paranormal Investigation,"3,686",France,"When a young man becomes possessed after playing a Ouija game,a ghost hunter investigates the evil spirit dwelling within him.",3.7
Preso No. 1,"3,687",Mexico,Mexican president goes to jail.,7.2
Jaguar,"3,688",Spain,"In the 1960s, Spain became a home to hundreds of survivors of the Mauthausen camp. Isabel, a young Spanish woman, is one of them. She is looking for Skorzeny, Europe's most dangerous man, but she is not alone.",
Urvi,"3,689",India,Troubling circumstances bring forward three women who work together to plot their revenge against one common man who is responsible for destroying their lives.,6.9
Mea Maxima Culpa: Silence in the House of God,"3,690",United States,"Oscar-winning filmmaker Alex Gibney exposes the abuse of power in the Catholic Church and a cover-up that winds its way from the row houses of Milwaukee Wisconsin, through the bare ruined choirs of Ireland's churches all the way to the highest office of the Vatican. By investigating the secret crimes of a charismatic priest who abused over 200 deaf children in a school under his control - the film shows the face of evil that lurks behind the smiles and denials of authority figures and institutions who believe that because they stand for good they can do no wrong. —Jwelch5742",8.0
Les gars sûrs,"3,691",France,"Plot Unknown, Sequel of De l'autre côté du périph (2012).",
Father Soldier Son,"3,692",United States,"Isaac and Joey have a superhero for a father. They worship their Dad, Brian Eisch, a decorated, third generation soldier who spends most of their childhood deployed in Afghanistan while other family members care for the boys. When Brian is injured and returns home a different man, all three must reconcile with the aftershocks of war. As Brian fights to retain control of himself and his loved ones, fate continues to challenge his belief in justice and self-determination. Catrin Einhorn and Leslye Davis's stunning ethnographic study of American masculinity and generational tragedy follows the Eischs for close to a decade as their intense father-son bond is challenged time and time again. Davis's restrained and beautiful cinematography subtly captures moments of raw anguish and unadulterated joy. This deeply moving portrait of a family called to serve explores the meaning of sacrifice, the need for purpose, and the challenges of being a father, a soldier and a son. Presented by Netflix.",7.3
Torrente 4,"3,693",Spain,"The rude, lewd and crude Spanish ex-police officer Torrente finds himself facing jail time. Can he survive a twisted irony that places him where he has put so many others, both guilty and innocent?",5.4
Yesterday wo Utatte,"3,694",Japan,"The series focuses on Rikuo, who has graduated from college, but has no ambitions about the future whatsoever and just works in a convenience store. His life is monotonous and nothing happens, however, everything changes when he meets his ex-girlfriend. Rikuo's life changes even more, when he meets Haru Nonaka, who has a pet crow. —Scientiiaa",6.9
Deaf U,"3,695",United States,"Deaf U follows a group of students attending Gallaudet University, a private college catering to the deaf and hard of hearing. For DiMarco, the goal of the series is to show deaf people as humans, from all walks of life.",6.4
Generation Iron 2,"3,696",United States,"From the director of Generation Iron, comes the anticipated sequel that will depict 5 of the top bodybuilding and fitness mega-stars on a quest of achieving the ultimate physique and taking it to the next extreme level. In the world of social media and internet, the rules have changed as to what makes an iconic bodybuilding mass-monster. Starring Kai Greene, Calum Von Moger, Rich Piana, among others, this film will explore an all new generation of bodybuilders and how this new world, and new people, carve their own path to physique perfection.",6.1
Orgasm Inc.,"3,697",United States,"Filmmaker Liz Canner takes a job editing erotic videos for a drug trial for a pharmaceutical company. Her employer is developing what they hope will be the first Viagra drug for women that wins FDA approval to treat a new disease: Female Sexual Dysfunction (FSD). Liz gains permission to film the company for her own documentary. Initially, she plans to create a movie about science and pleasure but she soon begins to suspect that her employer, along with a cadre of other medical companies, might be trying to take advantage of women (and potentially endanger their health) in pursuit of billion dollar profits. ORGASM INC. is a powerful look inside the medical industry and the marketing campaigns that are literally and figuratively reshaping our everyday lives around health, illness, desire -- and that ultimate moment: orgasm. —Anonymous",5.9
Get Me Roger Stone,"3,698",United States,"A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career.",7.3
The Standups,"3,699",United States,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",6.7
Awake: The Million Dollar Game,"3,700",United States,24 hours. Zero rest. 1 million dollars on the line. Awake: The Million Dollar Game.,6.0
Master of None: Season 1 Electronic Press Kit,"3,701",United States,-,7.7
Soltera Codiciada,"3,702",Peru,"A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success.",6.2
Untitled Ersan Kuneri Project,"3,703",Turkey,-,
Cleo & Cuquin,"3,704",Spain,"Cleo & Cuquin follows the adventures of Cleo, Cuquin, and their siblings. They will resolve minor conflicts by playing at being something: gardener, astronaut... at the end of each chapter, Cleo will discover what she wants to be when she grows up.",8.0
