Country,Name of Incident,Affected Population,Outcome
Mozambique,Independence from Portugal,Mozambicans,Positive
Zambia,Independence from Britain,Zambians,Positive
Senegal,Independence from France,Senegalese,Positive
Congo (DRC),Independence from Belgium,Congolese,Mixed
Sierra Leone,Independence from Britain,Sierra Leoneans,Positive
Mali,Independence from France,Malians,Positive
Burkina Faso,August Revolution,Burkinabè,Positive
Zimbabwe,Independence from Britain,Zimbabweans,Positive
Egypt,Egyptian Revolution of 1952,Egyptians,Positive
Kenya,Independence from Britain,Kenyans,Positive
Cameroon,Independence from France,Cameroonians,Positive
Eritrea,Independence from Ethiopia,Eritreans,Positive
South Africa,Nelson Mandela's Release from Prison,South Africans,Positive
Rwanda,Signing of Arusha Accords,Rwandans,Mixed
Sudan,Comprehensive Peace Agreement,"Sudanese, South Sudanese",Positive
Libya,Libyan Civil War,Libyans,Mixed
Nigeria,Independence from Britain,Nigerians,Positive
Benin,Dahomey (Benin) Independence,Beninese,Positive
Tunisia,Tunisian Revolution,Tunisians,Positive
Mauritania,Abolition of Slavery,Mauritanians,Positive
Gabon,Independence from France,Gabonese,Positive
Lesotho,Independence from Britain,Basotho,Positive
Gambia,Independence from Britain,Gambians,Positive
Djibouti,Independence from France,Djiboutians,Positive
Equatorial Guinea,Independence from Spain,Equatoguineans,Positive
Seychelles,Independence from Britain,Seychellois,Positive
Somalia,Independence and Unification,Somalis,Positive
Cape Verde,Independence from Portugal,Cape Verdeans,Positive
GuineaUnknownBissau,Independence from Portugal,BissauUnknownGuineans,Positive
Comoros,Independence from France,Comorians,Positive
Angola,Independence from Portugal,Angolans,Positive
Central African Republic,Independence from France,Central Africans,Positive
Chad,Independence from France,Chadians,Positive
Malawi,Independence from Britain,Malawians,Positive
Burundi,Independence from Belgium,Burundians,Positive
Congo (Brazzaville),Independence from France,Congolese (Brazzaville),Positive
Togo,Independence from France,Togolese,Positive
Ivory Coast (Côte d'Ivoire),Independence from France,Ivorians,Positive
Niger,Independence from France,Nigeriens,Positive
Swaziland (Eswatini),Independence from Britain,Swazi,Positive
Guinea,Independence from France,Guineans,Positive
Zambia,Movement for Multiparty Democracy,Zambians,Positive
Mozambique,Mozambique Civil War Ends,Mozambicans,Positive
South Africa,End of Apartheid,South Africans,Positive
Ethiopia,Eritrean Independence Referendum,Eritreans,Positive
Namibia,Namibian Independence,Namibians,Positive
Zimbabwe,Land Reform Program Begins,Zimbabweans,Mixed
Algeria,Algerian Civil War Ends,Algerians,Positive
Sierra Leone,End of Sierra Leone Civil War,Sierra Leoneans,Positive
Rwanda,Gacaca Courts Initiated,Rwandans,Mixed
Uganda,Joseph Kony Insurgency Declines,Ugandans,Positive
Libya,Fall of Gaddafi,Libyans,Mixed
Egypt,Egyptian Revolution of 2011,Egyptians,Mixed
Mali,Coup d'état,Malians,Negative
Central African Republic,Seleka Rebellion Begins,Central Africans,Negative
Nigeria,Boko Haram Insurgency Intensifies,Nigerians,Negative
South Sudan,Independence from Sudan,South Sudanese,Positive
Burkina Faso,Fall of Blaise Compaoré,Burkinabè,Positive
Zimbabwe,Coup d'état Leads to Mugabe's Resignation,Zimbabweans,Mixed
Ethiopia,Appointment of Abiy Ahmed,Ethiopians,Positive
Sudan,Sudanese Revolution,Sudanese,Positive
Algeria,Hirak Protest Movement,Algerians,Positive
Mauritania,Abolition of Slavery Enforced,Mauritanians,Mixed
Angola,Operation Carlota Ends,"Angolans, Cubans",Positive
Kenya,Nairobi's DusitD2 Complex Attack,Kenyans,Negative
Mozambique,Cyclone Idai,"Mozambicans, Zimbabweans, Malawians",Negative
Ethiopia,Tigray Conflict Begins,Ethiopians,Negative
Nigeria,#EndSARS Protests,Nigerians,Mixed
Sudan,Juba Peace Agreement,Sudanese,Positive
Uganda,2021 General Elections,Ugandans,Mixed
Chad,Death of President Idriss Déby,Chadians,Negative
Brazil,Discovery by Portugal,Indigenous peoples,Mixed
Brazil,Independence from Portugal,Brazilian population,Positive
Brazil,Abolition of Slavery,Slaves in Brazil,Positive
Brazil,Proclamation of the Republic,Brazilian population,Positive
Brazil,Vargas Era Begins,Brazilian population,Mixed
Brazil,Military Coup,Brazilian population,Negative
Brazil,Direct Elections Now Campaign,Brazilian population,Positive
Brazil,Real Plan Implementation,Brazilian economy,Positive
Brazil,Lula da Silva's Presidency,Brazilian population,Positive
Brazil,FIFA World Cup Victory,Brazilian population,Positive
Brazil,Construction of Brasília,Brazilian population,Mixed
Brazil,Tropicália Movement,Artists and intellectuals,Positive
Brazil,Fernando Collor's Impeachment,Brazilian population,Mixed
Brazil,Plano Real Economic Stabilization,Brazilian economy,Positive
Brazil,Rio Earth Summit,Global population,Positive
Brazil,FHC Presidency (Fernando Henrique Cardoso),Brazilian population,Positive
Brazil,Mensalão Scandal,Brazilian population,Negative
Brazil,Dilma Rousseff's Impeachment,Brazilian population,Mixed
Brazil,Zika Virus Outbreak,Brazilian population,Negative
Brazil,Operation Car Wash (Lava Jato),Brazilian population,Mixed
Brazil,Amazon Rainforest Wildfires,Global and local environment,Negative
Brazil,Bolsonaro Presidency Begins,Brazilian population,Mixed
Germany,Foundation of the Holy Roman Empire,Germanic peoples,Positive
Germany,The Investiture Controversy,European Christians,Mixed
Germany,The Black Death in Europe,European population,Negative
Germany,Martin Luther's 95 Theses,Christians,Mixed
Germany,The Peace of Augsburg,German states,Positive
Germany,The Defenestration of Prague,Central European Christians,Negative
Germany,The Peace of Westphalia,European population,Positive
Germany,The Foundation of the Kingdom of Prussia,European population,Positive
Germany,The Seven Years' War,German population,Negative
Germany,The Partition of Poland,Poznań  and other territories,Negative
Germany,Napoleonic Wars and the Battle of Leipzig,German states,Negative
Germany,Congress of Vienna,Europeans,Mixed
Germany,Revolutions of 1848 in the German states,German population,Mixed
Germany,Unification of Germany,German states,Positive
Germany,FrancoUnknownPrussian War,French and Germans,Negative
Germany,World War I,European powers,Negative
Germany,Weimar Republic Established,German population,Mixed
Germany,Hyperinflation Crisis,German population,Mixed
Germany,Nazi Party's Rise to Power,German population,Negative
Germany,Kristallnacht (Night of Broken Glass),Jewish Germans,Negative
Germany,Beginning of World War II,Global population,Negative
Germany,The Holocaust,Jews,Negative
Germany,Battle of Stalingrad,German population,Negative
Germany,DUnknownDay (Normandy Landings),European civilians,Positive
Germany,Surrender of Nazi Germany,Global population,Positive
Germany,Marshall Plan Aid,German population,Positive
Germany,Foundation of the Federal Republic of Germany (West Germany) and the German Democratic Republic (East Germany),Germans,Mixed
Germany,Construction of the Berlin Wall,Berliners,Negative
Germany,The Berlin Wall Falls,East and West Germans,Positive
Germany,German Reunification,Helmut Kohl,Positive
Germany,Treaty on the Final Settlement with Respect to Germany,Germans,Positive
Germany,Establishment of the European,Europeans,Positive
Germany,Adoption of the Euro,Germans,Positive
Germany,2006 FIFA World Cup,International audience,Positive
Germany,Refugee Crisis,Refugees,Mixed
Argentina,May Revolution,Argentinians,Positive
Argentina,Declaration of Independence,Argentinians,Positive
Argentina,Conquest of the Desert,Indigenous peoples,Mixed
Argentina,Immigration Wave to Argentina,Immigrants,Mixed
Argentina,First Presidency of Juan Domin go Perón,Argentinians,Mixed
Argentina,The Dirty War,Argentinians,Negative
Argentina,Falklands War,Argentinians,Negative
Argentina,Return to Democracy,Argentinians,Positive
Argentina,2001 Economic Crisis,Argentinians,Negative
Argentina,SameUnknownSex Marriage Law,Argentinians,Positive
Argentina,Nationalization of YPF,Argentinians,Mixed
Argentina,1978 FIFA World Cup Victory,Argentinians,Positive
Argentina,Economic Crisis and IMF Loan,Argentinians,Negative
Argentina,Jorge Mario Bergoglio becomes Pope Francis,Catholics worldwide,Positive
Argentina,Cacerolazo Protests,Argentinians,Positive
Argentina,Legalization of Abortion,Argentinians,Positive
Mexico,Establishment of the Olmec Civilization,Indigenous populations,Positive
Mexico,Founding of Teotihuacan,Indigenous populations,Positive
Mexico,Maya Civilization's Classical Period,Mayans,Positive
Mexico,The Fall of Teotihuacan,Indigenous populations,Negative
Mexico,Founding of Tenochtitlán,Aztecs,Positive
Mexico,Arrival of the Spanish and the Fall of Tenochtitlán,Aztecs,Negative
Mexico,Colonial Period Begins,Spanish colonizers,Negative
Mexico,Mexican War of Independence Begins,Mexicans,Positive
Mexico,Treaty of Córdoba,Mexicans,Positive
Mexico,First Mexican Empire Declared,Mexicans,Positive
Mexico,U.S.UnknownMexican War,Mexicans,Negative
Mexico,Reform Wars,Mexicans,Mixed
Mexico,French Intervention in Mexico,Mexicans,Negative
Mexico,Mexican Revolution,Mexicans,Positive
