director_name,genres,comb
Bille Woodruff,Comedy Romance,Donald Faison Brandy Norwood Lauren London Bille Woodruff Comedy Romance
Mamoru Hosoda,Action Adventure Animation Family Sci-Fi,Lara Jill Miller Colleen O'Shaughnessey Mona Marshall Mamoru Hosoda Action Adventure Animation Family Sci-Fi
Brian Dannelly,Comedy Drama,Macaulay Culkin Patrick Fugit Eva Amurri Martino Brian Dannelly Comedy Drama
Denys Arcand,Comedy Crime Drama Mystery Romance,Marie-Josée Croze Stéphane Rousseau Marina Hands Denys Arcand Comedy Crime Drama Mystery Romance
Richard Lester,Adventure Drama Romance,Robert Shaw Denholm Elliott Nicol Williamson Richard Lester Adventure Drama Romance
J.S. Cardone,Horror Thriller,Brendan Fehr Kerr Smith Izabella Miko J.S. Cardone Horror Thriller
Guy Hamilton,Action Drama War,Harrison Ford Carl Weathers Franco Nero Guy Hamilton Action Drama War
Jay Levey,Comedy Drama,Fran Drescher Gedde Watanabe Michael Richards Jay Levey Comedy Drama
Nicholaus Goossen,Comedy,Linda Cardellini Joel David Moore Shirley Jones Nicholaus Goossen Comedy
Tamara Jenkins,Comedy Drama,Natasha Lyonne Kevin Corrigan Jessica Walter Tamara Jenkins Comedy Drama
Sergio Leone,Western,Claudia Cardinale Woody Strode Jack Elam Sergio Leone Western
Jon Favreau,Comedy Crime Drama Thriller,Jon Favreau Faizon Love Jonathan Silverman Jon Favreau Comedy Crime Drama Thriller
Duncan Jones,Drama Mystery Sci-Fi,Kevin Spacey Matt Berry Benedict Wong Duncan Jones Drama Mystery Sci-Fi
Scott Marshall,Comedy,Miranda Cosgrove Jami Gertz Carter Jenkins Scott Marshall Comedy
Ronan Chapalain,Documentary,Norbert Ferrer Guillaume Denaiffe Chloe Hollings Ronan Chapalain Documentary
Atom Egoyan,Drama,Bruce Greenwood Sarah Polley Simon Baker Atom Egoyan Drama
Xavier Beauvois,Drama,Lambert Wilson Michael Lonsdale Olivier Rabourdin Xavier Beauvois Drama
Randall Miller,Comedy Drama,Alan Rickman Freddy Rodríguez Greg Collins Randall Miller Comedy Drama
Jerry Belson,Comedy Music Sci-Fi,Cassandra Peterson Tim Thomerson Bess Armstrong Jerry Belson Comedy Music Sci-Fi
Peter Jackson,Biography Crime Drama Romance Thriller,Kate Winslet Jed Brophy Liz Mullane Peter Jackson Biography Crime Drama Romance Thriller
Michael Polish,Drama,Hayden Christensen Bobby Batson Cynthia Barrett Michael Polish Drama
Dan Rush,Comedy Drama,Will Ferrell Scott Takeda Stephen Root Dan Rush Comedy Drama
Jake Kasdan,Comedy Crime Drama Mystery Thriller,Kim Dickens Ryan O'Neal Angela Featherstone Jake Kasdan Comedy Crime Drama Mystery Thriller
Brad Anderson,Drama Thriller,Christian Bale Jennifer Jason Leigh Reg E. Cathey Brad Anderson Drama Thriller
Paul Schrader,Crime Drama,Dana Delany Jane Adams David Clennon Paul Schrader Crime Drama
Michael Cuesta,Biography Crime Drama Mystery Thriller,Jeremy Renner Paz Vega Robert Pralgo Michael Cuesta Biography Crime Drama Mystery Thriller
John Cameron Mitchell,Drama,Dianne Wiest Jon Tenney Tammy Blanchard John Cameron Mitchell Drama
Fenton Bailey,Biography Crime Drama Thriller,Macaulay Culkin Mia Kirshner Marilyn Manson Fenton Bailey Biography Crime Drama Thriller
Jeremy Saulnier,Crime Horror Music Thriller,Alia Shawkat Mark Webber Joe Cole Jeremy Saulnier Crime Horror Music Thriller
Billy Kent,Comedy Drama Romance,Liza Minnelli Tim Russ Winter Ave Zoli Billy Kent Comedy Drama Romance
James Manera,Drama Mystery Sci-Fi,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
Wes Anderson,Comedy Crime Drama,Andrew Wilson Darryl Cox Lumi Cavazos Wes Anderson Comedy Crime Drama
Kevin Spacey,Crime Drama Thriller,Viggo Mortensen Joe Mantegna Faye Dunaway Kevin Spacey Crime Drama Thriller
Feroz Abbas Khan,Biography Drama History,Akshaye Khanna Bhoomika Chawla Darshan Jariwala Feroz Abbas Khan Biography Drama History
Errol Morris,Crime Documentary War,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
Eli Craig,Comedy Horror,Katrina Bowden Tyler Labine Chelan Simmons Eli Craig Comedy Horror
Nicholas Fackler,Drama Romance,Adam Scott Ellen Burstyn Martin Landau Nicholas Fackler Drama Romance
Richard Wallace,Adventure Drama Romance,Judith Anderson Paul Fix Laraine Day Richard Wallace Adventure Drama Romance
Morgan J. Freeman,Drama,Ethan Suplee John Heard Sara Gilbert Morgan J. Freeman Drama
Matthew Hastings,Comedy Horror Sci-Fi,Meghan Ory Marc Trottier Corey Sevier Matthew Hastings Comedy Horror Sci-Fi
M. Night Shyamalan,Horror Thriller,Ocean James Patch Darragh Olivia DeJonge M. Night Shyamalan Horror Thriller
Brian De Palma,Crime Thriller War,Mike Figueroa Daniel Stewart Sherman Kel O'Neill Brian De Palma Crime Thriller War
Klaus Menzel,Mystery Romance Thriller,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
Oren Peli,Horror Sci-Fi Thriller,Glenn Campbell Sandra Staggs Jelena Nik Oren Peli Horror Sci-Fi Thriller
Jaume Balagueró,Drama Horror Thriller,Luis Tosar Tony Corvillo Marta Etura Jaume Balagueró Drama Horror Thriller
Paul Andrew Williams,Comedy Crime Horror Thriller,Dave Legeno Doug Bradley Georgia Groome Paul Andrew Williams Comedy Crime Horror Thriller
Stephen Herek,Comedy Drama Fantasy,Henry Ian Cusick Callum Blue Shenae Grimes-Beech Stephen Herek Comedy Drama Fantasy
Bob Saget,Animation Comedy,Alyson Hannigan John Stamos Jim Belushi Bob Saget Animation Comedy
Jim Amatulli,Drama Family Music,Heather Locklear Patricia Neal Katie Leclerc Jim Amatulli Drama Family Music
unknown,Comedy Crime Mystery,Corbin Bernsen Dulé Hill Timothy Omundson unknown Comedy Crime Mystery
William H. Macy,Comedy Drama Music,Billy Crudup Felicity Huffman David Adam Flannery William H. Macy Comedy Drama Music
Barrett Esposito,Animation Family,Chazz Palminteri Cyndi Lauper Danny Aiello Barrett Esposito Animation Family
Mitch Davis,Comedy,Gary Cole Jon Heder Cheryl Hines Mitch Davis Comedy
Eric Bross,Crime Drama Thriller,Teri Polo Esai Morales Nicholas Gonzalez Eric Bross Crime Drama Thriller
Paul Schrader,Drama Thriller,Nicolas Cage Irène Jacob Tomiwa Edun Paul Schrader Drama Thriller
Vicky Jewson,Action Drama Thriller War,James Frain Sofia Black-D'Elia Lisa Kay Vicky Jewson Action Drama Thriller War
Peter Hyams,Action Sci-Fi Thriller,David Huddleston Sam Waterston Hal Holbrook Peter Hyams Action Sci-Fi Thriller
Marc Bennett,Comedy Drama,Michael Rapaport Natasha Henstridge Costas Mandylor Marc Bennett Comedy Drama
Mike Mayhall,Family,David Raizor Cody Howard Martin Kove Mike Mayhall Family
Kevin Smith,Comedy Fantasy Horror Thriller,Johnny Depp Haley Joel Osment Natasha Lyonne Kevin Smith Comedy Fantasy Horror Thriller
Stanton Barrett,Action Horror,Mikal Vega Michael Dudikoff Ed Quinn Stanton Barrett Action Horror
Jirí Menzel,Comedy Drama Romance War,Julia Jentsch Ivan Barnev Milan Lasica Jirí Menzel Comedy Drama Romance War
Fatih Akin,Comedy Drama,Udo Kier Moritz Bleibtreu Birol Ünel Fatih Akin Comedy Drama
Billy Bob Thornton,Drama,Robert Duvall Dwight Yoakam J.T. Walsh Billy Bob Thornton Drama
Nick Murphy,Horror Thriller,Isaac Hempstead Wright Imelda Staunton Joseph Mawle Nick Murphy Horror Thriller
Eli Roth,Horror,Jay Hernandez Takashi Miike Rick Hoffman Eli Roth Horror
Michael Winterbottom,Comedy Drama,Steve Coogan Shirley Henderson Dylan Moran Michael Winterbottom Comedy Drama
Jeff Nichols,Drama Thriller,Katy Mixon Shea Whigham Robert Longstreet Jeff Nichols Drama Thriller
Frank LaLoggia,Fantasy Horror Mystery Thriller,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
Jeremy Brock,Comedy Drama,Rupert Grint Julie Walters Tamsin Egerton Jeremy Brock Comedy Drama
Scott Foley,Comedy Crime,Donald Faison Greg Grunberg Dagmara Dominczyk Scott Foley Comedy Crime
Tobe Hooper,Comedy Horror,Bill Johnson Lou Perryman Jim Siedow Tobe Hooper Comedy Horror
Sam Peckinpah,Biography Drama Romance Western,James Coburn Bob Dylan Jason Robards Sam Peckinpah Biography Drama Romance Western
Nicolas Winding Refn,Crime Drama,Ryan Gosling Kristin Scott Thomas Yayaying Rhatha Phongam Nicolas Winding Refn Crime Drama
Christophe Ali,Drama,Denis Lavant Isild Le Besco Emmanuelle Bercot Christophe Ali Drama
Gabriela Tagliavini,Comedy,Maria Conchita Alonso Kate del Castillo Camryn Manheim Gabriela Tagliavini Comedy
Shekar,Comedy Romance,Bhama Diganth Dileep Raj Shekar Comedy Romance
Shona Auerbach,Drama Romance,Gerard Butler Sharon Small Jack McElhone Shona Auerbach Drama Romance
Leonard Farlinger,Western,Keith Carradine Gary Farmer Stephen McHattie Leonard Farlinger Western
Michel Leclerc,Comedy Drama Romance,Sara Forestier Jacques Gamblin Zinedine Soualem Michel Leclerc Comedy Drama Romance
Analeine Cal y Mayor,Comedy Drama,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
Tom Kalin,Drama,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
Robert Sarkies,Crime Drama,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
Hugh Wilson,Comedy,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
Randal Kleiser,Adventure Drama Romance,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
Mike Newell,Comedy Drama Romance,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
Amy Heckerling,Comedy Drama,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
John Huston,Adventure Drama,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
Spike Lee,Drama,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
unknown,Crime Drama,Dan Fogler Indiana Evans KaDee Strickland unknown Crime Drama
Lana Wachowski,Crime Drama Romance Thriller,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
Darren Aronofsky,Drama,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
Walter Lang,Musical Romance,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
Carlos Saura,Drama Musical,Mía Maestro Juan Luis Galiardo Miguel Ángel Solá Carlos Saura Drama Musical
Oliver Stone,Drama History Thriller War,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
Andrew Erwin,Comedy,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
Richard Kelly,Drama Sci-Fi Thriller,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
Beto Gómez,Adventure Comedy Western,Jaime Camil Gerardo Taracena Joaquín Cosio Beto Gómez Adventure Comedy Western
Mike van Diem,Crime Drama Mystery,Jan Decleir Fedja van Huêt Hans Kesting Mike van Diem Crime Drama Mystery
Jonas Åkerlund,Comedy Crime Drama,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
Todd Solondz,Comedy Drama,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
Chan-wook Park,Crime Drama,Min-sik Choi Yeong-ae Lee Hye-jeong Kang Chan-wook Park Crime Drama
René Féret,Biography Drama Music Romance,Nicolas Giraud Clovis Fouin Marie Féret René Féret Biography Drama Music Romance
Barry Skolnick,Comedy Drama Sport,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
Johnnie To,Action Crime Thriller,Simon Yam Anthony Chau-Sang Wong Josie Ho Johnnie To Action Crime Thriller
Mateo Gil,Action Adventure Western,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
Lukas Moodysson,Crime Drama,Oksana Akinshina Artyom Bogucharskiy Lyubov Agapova Lukas Moodysson Crime Drama
Agnieszka Wojtowicz-Vosloo,Drama Horror Mystery Thriller,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Kabir Sadanand,Drama Thriller,Jimmy Shergill Sana Saeed Dimple Kapadia Kabir Sadanand Drama Thriller
Milos Forman,Drama,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
Peter DeLuise,Comedy,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
Mel Brooks,Comedy Romance,Sid Caesar Dom DeLuise Bernadette Peters Mel Brooks Comedy Romance
Raja Menon,Action Drama History Thriller War,Nimrat Kaur Sameer Ali Khan Purab Kohli Raja Menon Action Drama History Thriller War
unknown,Drama Family,Zack Ward Jonathan Crombie Megan Follows unknown Drama Family
Ernie Barbarash,Action Adventure,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
Nick Love,Action Crime Drama,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
Jonathan Glazer,Crime Thriller,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
Daniel Espinosa,Action Crime Drama Thriller,Fabian Bolin Fares Fares Matias Varela Daniel Espinosa Action Crime Drama Thriller
Niki Caro,Drama Family,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
R. Balki,Comedy Drama,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama
Ivan Engler,Mystery Sci-Fi Thriller,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
Joe Wright,Adventure Family Fantasy,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Kenny Ortega,Comedy Drama Family Music Musical Romance,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
unknown,Crime Drama,Dorian Missick Daniella Alonso Ellen Barkin unknown Crime Drama
Richard Kwietniowski,Comedy Drama,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
Timur Bekmambetov,Fantasy Thriller,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller
Neil Jordan,Crime Drama Romance Thriller,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
Bob Clark,Comedy,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
George A. Romero,Horror,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
Sofia Coppola,Drama,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
Woody Allen,Comedy Romance,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
Cecil B. DeMille,Drama Family Romance,Gloria Grahame Dorothy Lamour Cornel Wilde Cecil B. DeMille Drama Family Romance
Ridley Scott,Action Adventure Drama,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
Marc Forster,Drama Romance,Heath Ledger Peter Boyle Marcus Lyle Brown Marc Forster Drama Romance
Henry Hobson,Drama Horror,Joely Richardson J.D. Evermore David A Cole Henry Hobson Drama Horror
Mike Figgis,Drama Romance,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance
Duane Journey,Comedy Horror,Molly C. Quinn Lara Flynn Boyle Lochlyn Munro Duane Journey Comedy Horror
Dan O'Bannon,Comedy Horror Sci-Fi,Linnea Quigley Clu Gulager Beverly Randolph Dan O'Bannon Comedy Horror Sci-Fi
Billy Wilder,Comedy Drama Romance,Austin Pendleton Harold Gould David Wayne Billy Wilder Comedy Drama Romance
Rob Cohen,Mystery Thriller,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller
Carol Reed,Drama Romance,Gina Lollobrigida Katy Jurado Sidney James Carol Reed Drama Romance
unknown,Drama Fantasy,Holly Hunter Dylan Minnette Bokeem Woodbine unknown Drama Fantasy
Lisa Cholodenko,Comedy Drama,Josh Hutcherson Mia Wasikowska Yaya DaCosta Lisa Cholodenko Comedy Drama
John Carpenter,Horror Sci-Fi Thriller,Meg Foster Peter Jason George 'Buck' Flower John Carpenter Horror Sci-Fi Thriller
John Sturges,Adventure Drama History Thriller War,James Coburn Donald Pleasence Gordon Jackson John Sturges Adventure Drama History Thriller War
William Arntz,Comedy Documentary Drama Fantasy Mystery Sci-Fi,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
Ed Gass-Donnelly,Drama Horror Thriller,Muse Watson Spencer Treat Clark Ashley Bell Ed Gass-Donnelly Drama Horror Thriller
Richard Linklater,Drama,Ellar Coltrane Lorelei Linklater Libby Villari Richard Linklater Drama
Woody Allen,Comedy Crime Mystery,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery
Tim Burton,Action Adventure Sci-Fi Thriller,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action Adventure Sci-Fi Thriller
DJ Pooh,Comedy,Angell Conwell Dr. Dre DJ Pooh DJ Pooh Comedy
DJ Pooh,Comedy,Mo'Nique Mike Epps Faizon Love DJ Pooh Comedy
Wayne Kramer,Crime Drama Fantasy Romance,Estella Warren Paul Sorvino Shawn Hatosy Wayne Kramer Crime Drama Fantasy Romance
John Huston,Drama Romance Western,Montgomery Clift Kevin McCarthy Thelma Ritter John Huston Drama Romance Western
Patrick Stettner,Crime Mystery Thriller,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller
James Melkonian,Comedy Crime,Vincent Pastore William Hickey Peter Appel James Melkonian Comedy Crime
Wes Craven,Horror Mystery Thriller,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller
J.A. Bayona,Drama Mystery Thriller,Geraldine Chaplin Belén Rueda Fernando Cayo J.A. Bayona Drama Mystery Thriller
Michael Tiddes,Comedy Fantasy,Ashley Rickards Essence Atkins Gabriel Iglesias Michael Tiddes Comedy Fantasy
Roger Avary,Comedy Drama Romance,Ian Somerhalder Faye Dunaway Clifton Collins Jr. Roger Avary Comedy Drama Romance
Alfred Hitchcock,Drama Thriller,Roscoe Lee Browne John Vernon Philippe Noiret Alfred Hitchcock Drama Thriller
Bob Odenkirk,Comedy Crime,Dylan Baker Chi McBride Amy Hill Bob Odenkirk Comedy Crime
Allison Anders,Comedy Fantasy,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy
Steven Shainberg,Comedy Drama Romance,Jeremy Davies Stephen McHattie Lesley Ann Warren Steven Shainberg Comedy Drama Romance
Rick de Oliveira,Documentary,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary
Oliver Stone,Drama,Michael Wincott Zach Grenier Bill Johnson Oliver Stone Drama
Christopher Guest,Comedy,Catherine O'Hara Fred Willard Larry Miller Christopher Guest Comedy
Jeff Franklin,Comedy,Ivana Milicevic Tyra Banks Bridgette Wilson-Sampras Jeff Franklin Comedy
John Dahl,Comedy Crime Romance Thriller,Philip Baker Hall Aaron Hughes Jayne Eastwood John Dahl Comedy Crime Romance Thriller
Mike Mills,Comedy Drama,Kelli Garner Lou Taylor Pucci Nancy O'Dell Mike Mills Comedy Drama
Kevin Smith,Action Crime Horror Thriller,Anna Gunn Michael Angarano Stephen Root Kevin Smith Action Crime Horror Thriller
Dave McKean,Adventure Fantasy,Stephanie Leonidas Gina McKee Rob Brydon Dave McKean Adventure Fantasy
Ron Fricke,Documentary Music,Collin Alfredo St. Dic Balinese Tari Legong Dancers Puti Sri Candra Dewi Ron Fricke Documentary Music
Ruggero Deodato,Adventure Fantasy,Michael Berryman Eva LaRue Richard Lynch Ruggero Deodato Adventure Fantasy
Gavin Wiesen,Drama Romance,Michael Angarano Blair Underwood Rita Wilson Gavin Wiesen Drama Romance
Mora Stephens,Drama Thriller,Ray Winstone Alexandra Breckenridge Elena Satine Mora Stephens Drama Thriller
Mars Callahan,Drama Thriller,Chazz Palminteri Ricky Schroder Ernie Reyes Jr. Mars Callahan Drama Thriller
Mike Figgis,Drama,Kelly Macdonald Saffron Burrows Julian Sands Mike Figgis Drama
Leos Carax,Drama Fantasy,Kylie Minogue Leos Carax Denis Lavant Leos Carax Drama Fantasy
David Gordon Green,Drama,Nicolas Cage Tye Sheridan Ronnie Gene Blevins David Gordon Green Drama
Stefan Schwartz,Comedy Crime Romance,Peter McNamara Dan Futterman Ralph Ineson Stefan Schwartz Comedy Crime Romance
Renny Harlin,Crime Drama Horror Thriller,Viggo Mortensen Lane Smith Hal Landon Jr. Renny Harlin Crime Drama Horror Thriller
Robert Lee King,Comedy Horror Mystery,Lauren Ambrose Kathleen Robertson Beth Broderick Robert Lee King Comedy Horror Mystery
Kevin Allen,Comedy,Craig Ferguson Frances Fisher Mary McCormack Kevin Allen Comedy
Jorge Ramírez Suárez,Drama,Hector Kotsifakis Adriana Barraza Arcelia Ramírez Jorge Ramírez Suárez Drama
David Schwimmer,Crime Drama Thriller,Noah Emmerich Jordan Trovillion Zoe Levin David Schwimmer Crime Drama Thriller
Barry Levinson,Comedy,Anna Friel Brían F. O'Byrne Pauline McLynn Barry Levinson Comedy
Sam Miller,Comedy Romance,Rachel Griffiths Alan Williams Rob Jarvis Sam Miller Comedy Romance
Anne Fontaine,Drama Romance,Robin Wright Naomi Watts Ben Mendelsohn Anne Fontaine Drama Romance
Dan Ireland,Comedy Drama Romance,Salma Hayek Danny Arroyo Olivia d'Abo Dan Ireland Comedy Drama Romance
Fernando León de Aranoa,Comedy Drama,Luis Tosar Enrique Villén Aida Folch Fernando León de Aranoa Comedy Drama
Jim Mickle,Drama Horror Sci-Fi,Connor Paolo Michael Cerveris Nick Damici Jim Mickle Drama Horror Sci-Fi
unknown,Comedy Family Romance,Doug Brochu Tiffany Thornton Brandon Mychal Smith unknown Comedy Family Romance
Stephen Kay,Biography Drama,Keanu Reeves Marg Helgenberger Gretchen Mol Stephen Kay Biography Drama
Karim Aïnouz,Drama,Wagner Moura Clemens Schick Jesuíta Barbosa Karim Aïnouz Drama
Sam Levinson,Comedy Drama,George Kennedy Ezra Miller Demi Moore Sam Levinson Comedy Drama
Julian Gilbey,Action Adventure Crime Thriller,Ed Speleers Eamonn Walker Sean Harris Julian Gilbey Action Adventure Crime Thriller
Vincenzo Natali,Comedy Fantasy,David Hewlett Angelo Tsarouchas Marie-Josée Croze Vincenzo Natali Comedy Fantasy
Aleksandr Veledinskiy,Adventure Drama,Konstantin Khabenskiy Elena Lyadova Eugenia Khirivskaya Aleksandr Veledinskiy Adventure Drama
Peter H. Hunt,Drama Family History Musical,Blythe Danner Ken Howard Howard Caine Peter H. Hunt Drama Family History Musical
Ruba Nadda,Drama Mystery Romance Thriller,Saad Siddiqui Bonnie Lee Bouman Fadia Nadda Ruba Nadda Drama Mystery Romance Thriller
Howard Hughes,Drama War,Jean Harlow Marian Marsh James Hall Howard Hughes Drama War
Edward Burns,Comedy Drama Romance,Debra Messing Rosemarie DeWitt Peter Jacobson Edward Burns Comedy Drama Romance
Phil Joanou,Horror,Lily Rabe Shannon Woodward Kira McLean Phil Joanou Horror
Sean Byrne,Horror Thriller,Robin McLeavy Jessica McNamee Victoria Thaine Sean Byrne Horror Thriller
Chris Stokes,Horror,Kristen Quintrall Rachel Sterling Black Thomas Chris Stokes Horror
Mark Griffiths,Comedy Romance,Eric Mabius Gina Holden Brooke D'Orsay Mark Griffiths Comedy Romance
Bruce Macdonald,Adventure Biography Drama Romance,Rachel Hendrix Cheryl Ladd Diana Vickers Bruce Macdonald Adventure Biography Drama Romance
Timur Bekmambetov,Adventure Drama History,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History
Fred Zinnemann,Biography Drama History,Robert Shaw Susannah York Paul Scofield Fred Zinnemann Biography Drama History
Sidney Lumet,Drama Romance,Robert Duvall Faye Dunaway William Holden Sidney Lumet Drama Romance
Victor Fleming,Drama History Romance War,Hattie McDaniel George Reeves Thomas Mitchell Victor Fleming Drama History Romance War
Richard Raymond,Biography Drama,Tom Cullen Reece Ritchie Marama Corlett Richard Raymond Biography Drama
Sam Peckinpah,Adventure War Western,James Coburn Slim Pickens Warren Oates Sam Peckinpah Adventure War Western
Alan Jacobs,Drama,Snoop Dogg Laz Alonso Nicholas Gonzalez Alan Jacobs Drama
George Sidney,Biography Comedy Musical Romance Western,Keenan Wynn Howard Keel Betty Hutton George Sidney Biography Comedy Musical Romance Western
Christopher Morris,Comedy Crime Drama,Kayvan Novak Riz Ahmed Alex Macqueen Christopher Morris Comedy Crime Drama
Andrucha Waddington,Drama,Fernanda Montenegro Seu Jorge Fernanda Torres Andrucha Waddington Drama
Peter Stebbings,Comedy Crime Drama,Michael Kelly Tony Nappo Charlotte Sullivan Peter Stebbings Comedy Crime Drama
Vincente Minnelli,Adventure Comedy Musical Romance,Gladys Cooper Reginald Owen Ellen Ross Vincente Minnelli Adventure Comedy Musical Romance
Dagur Kári,Drama,Alice Olivia Clarke Susan Blommaert Stephen Henderson Dagur Kári Drama
Nicholas Hytner,Comedy Drama,Dominic Cooper Russell Tovey James Corden Nicholas Hytner Comedy Drama
Jaume Collet-Serra,Action Mystery Thriller,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller
unknown,Comedy Drama War,David Ogden Stiers Jamie Farr Mike Farrell unknown Comedy Drama War
John Schlesinger,Drama,Brenda Vaccaro Barnard Hughes John McGiver John Schlesinger Drama
Jim Abrahams,Comedy,Peter Graves Lloyd Bridges Barbara Billingsley Jim Abrahams Comedy
Kevin Carraway,Action Thriller,Michael Jai White Max Ryan Jon Osbeck Kevin Carraway Action Thriller
F. Gary Gray,Comedy Drama,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
Albert Hughes,Crime Drama Thriller,Jada Pinkett Smith Larenz Tate Khandi Alexander Albert Hughes Crime Drama Thriller
unknown,Drama Music,Ta'Rhonda Jones Gabourey Sidibe Malik Yoba unknown Drama Music
Michael Gornick,Comedy Fantasy Horror Thriller,George Kennedy Holt McCallany Dorothy Lamour Michael Gornick Comedy Fantasy Horror Thriller
Sam Peckinpah,Comedy Drama Romance Western,Slim Pickens Jason Robards L.Q. Jones Sam Peckinpah Comedy Drama Romance Western
Richard Brooks,Biography Crime Drama History,John Forsythe Robert Blake Will Geer Richard Brooks Biography Crime Drama History
Fred Zinnemann,Drama,Colleen Dewhurst Peter Finch Beatrice Straight Fred Zinnemann Drama
Jack Smight,Action Crime Drama Mystery Thriller,Janet Leigh Robert Wagner Shelley Winters Jack Smight Action Crime Drama Mystery Thriller
Alfred Hitchcock,Thriller,Bernard Cribbins Jean Marsh Clive Swift Alfred Hitchcock Thriller
Robert Eggers,Horror Mystery,Julian Richings Kate Dickie Ralph Ineson Robert Eggers Horror Mystery
Michael Martin,Comedy,Joe Estevez Master P Anthony Johnson Michael Martin Comedy
Edward Burns,Comedy Drama Romance,John Mahoney Frank Vincent Michael McGlone Edward Burns Comedy Drama Romance
Bill Condon,Biography Drama,Brendan Fraser Lynn Redgrave Kevin J. O'Connor Bill Condon Biography Drama
Juan José Campanella,Drama Mystery Thriller,Ricardo Darín Soledad Villamil Guillermo Francella Juan José Campanella Drama Mystery Thriller
George A. Romero,Horror,Greg Nicotero John Amplas Joseph Pilato George A. Romero Horror
Gideon Raff,Horror Thriller,Gideon Emery Gloria Votsis Derek Magyar Gideon Raff Horror Thriller
