Title,Director,Cast
Miracle,Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Nathan West, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill, Patrick O'Brien Demsey, Michael Mantenuto, Kenneth Mitchell, Eric Peter-Kaiser, Bobby Hanson, Joseph Cure, Billy Schneider, Nate Miller, Chris Koch, Kris Wilson, Steve Kovalcik"
Le Grand Bleu,Luc Besson,"Jean-Marc Barr, Jean Reno, Rosanna Arquette, Paul Shenar, Sergio Castellitto, Jean Bouise, Marc Duret, Griffin Dunne, Andréas Voutsinas, Valentina Vargas, Kimberly Beck, Patrick Fontana, Alessandra Vazzoler, Geoffrey Carey, Bruce Guerre-Berthelot, Gregory Forstner, Claude Besson, Marika Gevaudan"
La Belle Noiseuse,Jacques Rivette,"Michel Piccoli, Jane Birkin, Emmanuelle Béart, Marianne Denicourt, David Bursztein, Gilles Arbona, Marie Belluc, Marie-Claude Roger, Leïla Remili, Daphne Goodfellow, Susan Robertson, Bernard Dufour"
Weathering with You,Makoto Shinkai,"Kotaro Daigo, Nana Mori, Tsubasa Honda, Sakura Kiryu, Sei Hiraizumi, Yûki Kaji, Sumi Shimamoto, Moe Katsuragi, Ryohei Kimura, Kana Hanazawa, Ayane Sakura, Kana Ichinose, Masako Nozawa, Hidekatsu Shibata, Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki"
The Beasts,Rodrigo Sorogoyen,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández Blanco, Federico Pérez Rey, Javier Varela, David Menéndez, Xavier Estévez, Gonzalo García, Pepo Suevos, Machi Salgado, Luis P. Martínez, Melchor López, José Antonio Fernández, Ramón Porto"
Scrooge,Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More, Laurence Naismith, Michael Medwin, David Collings, Anton Rodgers, Suzanne Neve, Frances Cuka, Derek Francis, Gordon Jackson, Roy Kinnear, Mary Peach, Paddy Stone, Kay Walsh, Geoffrey Bayldon, Helena Gloag"
Ghost Dog: The Way of the Samurai,Jim Jarmusch,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman, Dennis Liu, Frank Minucci, Richard Portnow, Tricia Vessey, Gene Ruffini, Frank Adonis, Victor Argo, Damon Whitaker, Kenny Guay, Vince Viverito, Gano Grills, Touché Cornel, Jamie Hector, Chuck Jeffreys"
Chinjeolhan Geumjassi,Park Chan-wook,"Nam-mi Kang, Jeong-nam Choi, Hye-Sook Go, Bok-hwa Baek, Cheol Hong, Ho-soo Joo, In-bo Jang, Kim Byeong-Ok, Lee Yeong-ae, Seong-Yoon Choi, Nam Il-woo, Cha Soon-bae, Kim Ik-tae, Yeong-mi Lee, Jin-gu Kim, Kim Bu-seon, Young-ju Seo, Go Su-hee"
Stranger Than Fiction,Marc Forster,"Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah, William Dick, Guy Massey, Martha Espinoza, T.J. Jagodowski, Peter Grosz, Ricky Adams, Christian Stolte, Denise Hughes, Peggy Roeder, Tonray Ho, Tony Hale, Maggie Gyllenhaal, Danny Rhodes, Helen Young"
Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, David Wilson Barnes, John Lithgow, Alison Pill, Aaron Hale, Al Mukadam, Douglas Smith, Grace Lynn Kung, Noah Robbins, Chuck Shamata, Sam Waterston, Raoul Bhaneja, Andrew Moodie, Kyle Mac, Austin Strugnell"
Interstate 60: Episodes of the Road,Bob Gale,"James Marsden, Gary Oldman, Kurt Russell, Matthew Edison, Paul Brogren, Wayne Robson, Michael J. Fox, Melyssa Ade, John Bourgeois, Roz Michaels, Amy Stewart, Christopher Lloyd, Jonathan Whittaker, Mark Lutz, Krista Leis, Michael Rhoades, Art Evans, John Henry Canavan"
Delicatessen,"Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech, Jean-Claude Dreyfus, Karin Viard, Ticky Holgado, Anne-Marie Pisani, Boban Janevski, Mikael Todde, Edith Ker, Rufus, Jacques Mathou, Howard Vernon, Chick Ortega, Silvie Laguna, Jean-François Perrier, Dominique Zardi, Patrick Paroux"
Mars Express,Jérémie Périn,"Léa Drucker, Mathieu Amalric, Daniel Njo Lobé, Marie Bouvet, Sébastien Chassagne, Marthe Keller, Geneviève Doang, Thomas Roditi, Thierry Jahn, Serge Faliu, Eilias Changuel, Bárbara Del Sol, Nathalie Karsenty, Angéline Henneguelle, Charlotte Juniere, Jérémie Bedrune, Usul, Fanny Vambacas"
Hodejegerne,Morten Tyldum,"Aksel Hennie, Synnøve Macody Lund, Nikolaj Coster-Waldau, Julie R. Ølgaard, Eivind Sander, Kyrre Haugen Sydness, Valentina Alexeeva, Reidar Sørensen, Nils Jørgen Kaalstad, Joachim Rafaelsen, Mats Mogeland, Gunnar Skramstad Johnsen, Lars Skramstad Johnsen, Signe Tynning, Nils Gunnar Lie, Baard Owe, Sondre Abel, Morten Hennie"
Milk,Gus Van Sant,"Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons, Ted Jan Roberts, Boyd Holbrook, Frank M. Robinson"
Selma,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Oprah Winfrey, Tom Wilkinson, Jim France, Trinity Simone, Mikeria Howard, Jordan Rice, Ebony Billups, Nadej K. Bailey, Elijah Oliver, Clay Chappell, Giovanni Ribisi, Haviland Stillwell, André Holland, Ruben Santiago-Hudson, Colman Domingo, Omar J. Dorsey"
Dead Man Walking,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston, Lois Smith, Scott Wilson, Roberta Maxwell, Margo Martindale, Barton Heyman, Steve Boles, Nesbitt Blaisdell, Ray Aranha, Larry Pine, Gil Robbins, Kevin Cooney, Clancy Brown"
Pain and Glory,Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia, Nora Navas, Julieta Serrano, César Vicente, Asier Flores, Penélope Cruz, Cecilia Roth, Susi Sánchez, Raúl Arévalo, Pedro Casablanc, Julián López, Eva Martín, Sara Sierra, Constancia Céspedes, Rosalía, Marisol Muriel"
Dead Man,Jim Jarmusch,"Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen, Michael Wincott, Eugene Byrd, John Hurt, Robert Mitchum, Iggy Pop, Gabriel Byrne, Jared Harris, Mili Avital, Jimmie Ray Weeks, Mark Bringelson, John North, Pete Schrum, Mike Dawson, Billy Bob Thornton"
The Guns of Navarone,J. Lee Thompson,"David Niven, Gregory Peck, Anthony Quinn, Anthony Quayle, Stanley Baker, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris, Bryan Forbes, Allan Cuthbertson, Michael Trubshawe, Percy Herbert, George Mikell, Walter Gotell, Tutte Lemkow, Albert Lieven"
Zimna Wojna,Pawel Pawlikowski,"Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza, Cédric Kahn, Jeanne Balibar, Adam Woronowicz, Adam Ferency, Drazen Sivak, Slavko Sobin, Aloïse Sauvage, Adam Szyszkowski, Anna Zagórska, Tomasz Markiewicz, Izabela Andrzejak, Kamila Borowska, Katarzyna Ciemniejewska, Joanna Depczynska"
Thank You for Smoking,Jason Reitman,"Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden, Eric Haberman, Mary Jo Smith, Todd Louiso, Jeff Witzke, J.K. Simmons, Marianne Muellerleile, Alex Diaz, Jordan Garrett, Courtney Taylor Burness, Jordan Orr, David Koechner, Kim Dickens, Daniel Travis, William H. Macy"
Tulitikkutehtaan tyttö,Aki Kaurismäki,"Kati Outinen, Elina Salo, Esko Nikkari, Vesa Vierikko, Reijo Taipale, Silu Seppälä, Outi Mäenpää, Marja Packalén, Richard Reitinger, Helka Viljanen, Kurt Siilas, Ismo Keinänen, Klaus Heydemann, Erkki Friman, Tapani Ikonen, Jari Lappalainen, Lasse Luoto, Unknown Tank Man"
Profondo rosso,Dario Argento,"David Hemmings, Daria Nicolodi, Gabriele Lavia, Macha Méril, Eros Pagni, Giuliana Calandra, Piero Mazzinghi, Glauco Mauri, Clara Calamai, Aldo Bonamano, Liana Del Balzo, Vittorio Fanfoni, Dante Fioretti, Geraldine Hooper, Jacopo Mariani, Furio Meniconi, Fulvio Mingozzi, Lorenzo Piani"
El agente topo,Maite Alberdi,"Sergio Chamy, Romulo Aitken, Marta Olivares, Berta Ureta, Zoila Gonzalez, Petronila Abarca, Rubira Olivares, Dalal Chamy, Petita, Sonia Pérez"
The Last Detail,Hal Ashby,"Jack Nicholson, Randy Quaid, Otis Young, Clifton James, Carol Kane, Michael Moriarty, Luana Anders, Kathleen Miller, Nancy Allen, Gerry Salsberg, Don McGovern, Patricia Hamilton, Michael Chapman, Jim Henshaw, Derek McGrath, Gilda Radner, Jim Horn, John Castellano"
En Kongelig Affære,Nikolaj Arcel,"Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard, Trine Dyrholm, David Dencik, Thomas W. Gabrielsson, Cyron Melville, Bent Mejding, Harriet Walter, Laura Bro, Søren Malling, Jacob Lohmann, Søren Spanning, Frederik Christian Johansen, John Martinus, Rosalinde Mynster, Nikol Kouklová, Eyob Nielsen"
42,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr., Gino Anthony Pesi, Brett Cullen, Jesse Luken"
The Farewell,Lulu Wang,"Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu, Hong Lin, Tzi Ma, Diana Lin, Yang Xuejian, Becca Khalil, Yongbo Jiang, Han Chen, Aoi Mizuhara, Xiang Li, Hongli Liu, Shimin Zhang, Jing Zhang, Jinhang Liu, Xi Lin"
Boksuneun Naui Geot,Park Chan-wook,"Song Kang-ho, Shin Ha-kyun, Bae Doona, Lim Ji-eun, Han Bo-bae, Lee Dae-yeon, Gi Ju-bong, Kim Se-dong, Lee Yoon-mi, Ryu Seung-beom, Ji Dae-han, Jong-su Heo, Byung-Hoon Nam, Park Jae-woong, Jeong Gyu-su, Lee Jeong-wook, Geum-hee Lee, Ryoo Seung-wan"
Henry V,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin, Brian Blessed, James Simmons, Paul Gregory, Charles Kay, Alec McCowen, Fabian Cartwright, Stephen Simms, Jay Villiers, Edward Jewesbury, Ian Holm, Danny Webb, Jimmy Yuill, John Sessions, Shaun Prendergast"
A Hard Day's Night,Richard Lester,"John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell, Norman Rossington, John Junkin, Victor Spinetti, Anna Quayle, Deryck Guyler, Richard Vernon, Edward Malin, Robin Ray, Lionel Blair, Alison Seebohm, David Janson, Lewis Alexander, Tony Allen"
"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,"Delphine Seyrig, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze, Yves Bical, Chantal Akerman"
Ne le dis à personne,Guillaume Canet,"François Cluzet, Marie-Josée Croze, André Dussollier, Kristin Scott Thomas, François Berléand, Nathalie Baye, Jean Rochefort, Marina Hands, Gilles Lellouche, Philippe Lefebvre, Florence Thomassin, Olivier Marchal, Guillaume Canet, Brigitte Catillon, Samir Guesmi, Jean-Pierre Lorit, Jalil Lespert, Eric Savin"
Freier Fall,Stephan Lacant,"Hanno Koffler, Max Riemelt, Attila Borlan, Katharina Schüttler, Stephanie Schönfeld, Oliver Bröcker, Luis Lamprecht, Maren Kroymann, Shenja Lacher, Britta Hammelstein, Horst Krebs, Barbara Bernt, Samuel Schnepf, Vilmar Bieri, Jonathan Müller, Hassan Lazouane"
Tora! Tora! Tora!,"Richard Fleischer, Kinji Fukasaku, Toshio Masuda","Martin Balsam, Sô Yamamura, Jason Robards, Joseph Cotten, Tatsuya Mihashi, E.G. Marshall, Takahiro Tamura, James Whitmore, Eijirô Tôno, Wesley Addy, Shôgo Shimada, Frank Aletter, Koreya Senda, Leon Ames, Jun Usami, Richard Anderson, Kazuo Kitamura, Keith Andes"
Stalingrad,Joseph Vilsmaier,"Dominique Horwitz, Thomas Kretschmann, Jochen Nickel, Sebastian Rudolph, Dana Vávrová, Martin Benrath, Sylvester Groth, Karel Hermánek, Heinz Emigholz, Ferdinand Schuster, Oliver Broumis, Dieter Okras, Zdenek Vencl, Mark Kuhn, Thorsten Bolloff, Alexander Wachholz, J. Alfred Mehnert, Ulrike Arnold"
A Christmas Carol,Edwin L. Marin,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, Barry MacKay, Lynne Carver, Leo G. Carroll, Lionel Braham, Ann Rutherford, D'Arcy Corrigan, Ronald Sinclair, Bunny Beatty, Frank Benson, Billy Bevan, Ted Billings, Matthew Boulton, Bob Carey, St. Luke's Episcopal Church Choristers"
House of Sand and Fog,Vadim Perelman,"Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher, Kim Dickens, Shohreh Aghdashloo, Jonathan Ahdout, Navi Rawat, Carlos Gómez, Kia Jam, Jaleh Modjallal, Samira Damavandi, Matthew Simonian, Namrata Singh Gujral, Nasser Faris, Mark Chaet, Marco Rodríguez, Al Rodrigo"
Quiz Show,Robert Redford,"Ralph Fiennes, John Turturro, Rob Morrow, Paul Scofield, David Paymer, Hank Azaria, Christopher McDonald, Johann Carlo, Elizabeth Wilson, Allan Rich, Mira Sorvino, George Martin, Paul Guilfoyle, Griffin Dunne, Michael Mantell, Byron Jennings, Ben Shenkman, Timothy Busfield"
A Star Is Born,George Cukor,"Judy Garland, James Mason, Jack Carson, Charles Bickford, Tommy Noonan, Lucy Marlow, Amanda Blake, Irving Bacon, Hazel Shermet, James Brown, John Alban, Laurindo Almeida, Leon Alton, Rudolph Anders, David Armstrong, Phil Arnold, Nadine Ashdown, Gertrude Astor"
Little Big Man,Arthur Penn,"Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam, Richard Mulligan, Jeff Corey, Aimee Eccles, Kelly Jean Peters, Carole Androsky, Robert Little Star, Cal Bellini, Ruben Moreno, Steve Shemayne, William Hickey, James Anderson, Jesse Vint, Alan Oppenheimer, Thayer David"
The Many Adventures of Winnie the Pooh,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen","Sebastian Cabot, Junius Matthews, Barbara Luddy, Howard Morris, John Fiedler, Ralph Wright, Hal Smith, Clint Howard, Bruce Reitherman, Jon Walmsley, Timothy Turner, Dori Whitaker, Sterling Holloway, Paul Winchell, Connor Quinn, Thurl Ravenscroft"
Ging Chaat Goo Si,"Jackie Chan, Chi-Hwa Chen","Jackie Chan, Maggie Cheung, Brigitte Lin, Yuen Chor, Bill Tung, Kent Tong, Kwok-Hung Lam, Chi-Wing Lau, Charlie Cho, Hing-Yin Kam, Mars, Hark-On Fung, Yun-Kin Chow, Paul Wong, Fat Wan, Tai-Bo, Leung Siu, Fung Woo"
Grey Gardens,"Ellen Hovde, Albert Maysles, David Maysles","Edith Bouvier Beale, Edith 'Little Edie' Bouvier Beale, Brooks Hyers, Norman Vincent Peale, Jack Helmuth, Albert Maysles, David Maysles, Jerry Torre, Lois Wright"
La Môme,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner, Jean-Paul Rouve, Gérard Depardieu, Clotilde Courau, Jean-Pierre Martins, Catherine Allégret, Marc Barbé, Caroline Silhol, Manon Chevallier, Pauline Burlet, Élisabeth Commelin, Marc Gannot, Caroline Raynaud, Marie-Armelle Deguy, Valérie Moreau"
Professione: Reporter,Michelangelo Antonioni,"Jack Nicholson, Maria Schneider, Jenny Runacre, Ian Hendry, Steven Berkoff, Ambroise Bia, José María Caffarel, James Campbell, Manfred Spies, Jean-Baptiste Tiémélé, Ángel del Pozo, Charles Mulvehill, Miquel Bordoy, Jaime Doria, Joan Gaspart, Narciso Pula, Gustavo Re, Enrico Sannia"
Byôsoku 5 senchimêtoru,Makoto Shinkai,"Kenji Mizuhashi, Yoshimi Kondou, Satomi Hanamura, Ayaka Onoue, Risa Mizuno, Yuka Terazaki, Yûko Nakamura, Masami Iwasaki, Rei Kondo, Hiroshi Shimozaki, Takahiro Hirano, Akira Nakagawa, Keiko Izeki, Suguru Inoue, Rion Kako, Rika Nakamura, Miki Suga, Mika Sakenobe"
Clouds,Justin Baldoni,"Fin Argus, Neve Campbell, Sabrina Carpenter, Madison Iseman, Tom Everett Scott, Lil Rel Howery, Summer H. Howell, Vivien Endicott-Douglas, Dylan Everett, Jason Mraz, Tyrone Benskin, Benjamin Eli, Aida Yirga, Luis Oliva, Morgana Mogent, Mitchell Kluesner, Emily Baldoni, Yaani King Mondschein"
Matlub Alam Bagadhra Hat,Yimou Zhang,"Ziyi Zhang, Takeshi Kaneshiro, Andy Lau, Dandan Song, Hongfei Zhao, Jun Guo, Shu Zhang, Jiusheng Wang, Zhengyong Zhang, Yongxin Wang, Dong Liu, Qi Zi, Xuedong Qu, Liping Tian, Hongwei Zhao, Weina Huang, Dan Ge, Xiadong Yang"
Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Salman Khan, Sana Saeed, Farida Jalal, Reema Lagoo, Anupam Kher, Archana Puran Singh, Himani Shivpuri, Johny Lever, Parzaan Dastur, Geeta Kapur, Farah Khan, Nikkhil Advani, Neelam Kothari, Chetan Motiwalla, Nilofar"
Dalkomhan Insaeng,Kim Jee-woon,"Lee Byung-hun, Shin Min-a, Kim Yeong-cheol, Hwang Jung-min, Kim Roe-ha, Kim Hae-gon, Eric Moon, Oh Dal-su, Lee Ki-young, Jin Goo, Lee Ahn-Gyoo, Kim Byeong-Gook, Kwon Chae-Yeong, Ryoo Chang-Hoon, Choi Chang-Kyun, Kim Dae-Yong, Wang Deok-Sang, Baek Dong-Hyeon"
Redline,Takeshi Koike,"Takuya Kimura, Yû Aoi, Tadanobu Asano, Yoshiyuki Morishita, Kanji Tsuda, Ken'yû Horiuchi, Akemi, Takeshi Aono, Tatsuya Gashûin, Kôji Ishii, Unshô Ishizuka, Kenta Miyake, Chô, Yoshinori Okada, Patrick Seitz, Michelle Ruff, Liam O'Brien, Doug Erholtz"
Santa Sangre,Alejandro Jodorowsky,"Axel Jodorowsky, Blanca Guerra, Guy Stockwell, Thelma Tixou, Sabrina Dennison, Adan Jodorowsky, Faviola Elenka Tapia, Teo Jodorowsky, Mary Aranza, Jesús Juárez, Sergio Bustamante, Gloriella, S. Rodriguez, Zonia Rangel Mora, Joaquín García Vargas, Teo Tapia, Edgar E. Jiménez Nava, Jacobo Lieberman"
"Mujeres al borde de un ataque de ""nervios""",Pedro Almodóvar,"Carmen Maura, Antonio Banderas, Julieta Serrano, Rossy de Palma, María Barranco, Kiti Mánver, Guillermo Montesinos, Chus Lampreave, Eduardo Calvo, Loles León, Ángel de Andrés López, Fernando Guillén, Juan Lombardero, José Antonio Navarro, Ana Leza, Ambite, Mary González, Lupe Barrado"
Memorîzu,"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura","Tsutomu Isobe, Shôzô Îzuka, Kôichi Yamadera, Shigeru Chiba, Ami Hasegawa, Gara Takashima, Hideyuki Hori, Ken'ichi Ogata, Osamu Saka, Hisako Kyôda, Michio Hazama, Kayoko Fujii, Ryôichi Tanaka, Yu Hayashi, Keaton Yamada, Keiko Yamamoto, Ryûji Nakagi, Nobuaki Fukuda"
The Meaning of Life,Terry Jones,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Graham Chapman, Michael Palin, Carol Cleveland, Simon Jones, Patricia Quinn, Judy Loe, Andrew MacLachlan, Mark Holmes, Valerie Whittington, Jennie Franks, Imogen Bickford-Smith, Angela Mann, Peter Lovstrom, George Silver"
Born Yesterday,George Cukor,"Judy Holliday, William Holden, Broderick Crawford, Howard St. John, Frank Otto, Larry Oliver, Barbara Brown, Grandon Rhodes, Claire Carleton, Chet Brandenburg, Charles Cane, Helen Eby-Rock, Mike Mahoney, Paul Marion, William Mays, John Morley, David Pardoll, Bhogwan Singh"
Twin Peaks: The Missing Pieces,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder, Rick Aiello, Elizabeth McCarthy, Steven Beard, Gary Bullock, Kyle MacLachlan, David Bowie, Hirsh Diamant, Stefano Loverso, Jeannie Bonser, Alex Samorano, Michael J. Anderson, Carlton Lee Russell, Calvin Lockhart, Jürgen Prochnow"
Fucking Åmål,Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson, Mathias Rust, Stefan Hörberg, Josefine Nyberg, Ralph Carlsson, Maria Hedborg, Axel Widegren, Jill Ung, Lisa Skagerstam, Lina Svantesson, Johanna Larsson, Elinor Johansson, Jessica Melkersson, Bo Lyckman, Daniel Teider, Nils Björkman"
Spellbound,Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll, Rhonda Fleming, John Emery, Norman Lloyd, Bill Goodwin, Steven Geray, Donald Curtis, Wallace Ford, Art Baker, Regis Toomey, Paul Harvey, Jean Acker, Irving Bacon, Richard Bartell, Harry Brown"
Jûsan-nin no shikaku,Takashi Miike,"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya, Ikki Sawamura, Arata Furuta, Sôsuke Takaoka, Seiji Rokkaku, Kazuki Namioka, Kôen Kondô, Yûma Ishigaki, Masataka Kubota, Tsuyoshi Ihara, Hiroki Matsukata, Kazue Fukiishi, Mitsuki Tanimura, Takumi Saitô, Shinnosuke Abe, Shôzô Uesugi"
High Sierra,Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy, Joan Leslie, Henry Hull, Henry Travers, Jerome Cowan, Minna Gombell, Barton MacLane, Elisabeth Risdon, Cornel Wilde, Donald MacBride, Paul Harvey, Isabel Jewell, Willie Best, Spencer Charters, George Meeker"
Den Skyldige,Gustav Möller,"Jakob Cedergren, Jessica Dinnage, Omar Shargawi, Johan Gotthardt Olsen, Jacob Lohmann, Katinka Evers-Jahnsen, Jeanette Lindbæk, Simon Bennebjerg, Laura Bro, Morten Suurballe, Guuled Abdi Youssef, Caroline Løppke, Peter Christoffersen, Nicolai Wendelboe, Morten Thunbo, Maria Gersby, Anders Brink Madsen, Tommy Bach"
Sinsegye,Park Hoon-jung,"Lee Jung-jae, Choi Min-sik, Hwang Jung-min, Park Sung-woong, Song Ji-hyo, Kim Yoon-seong, Na Kwang-hoon, Park Seo-yeon, Choi Il-hwa, Joo Jin-mo, Jang Gwang, Kwon Tae-won, Kim Hong-pa, Seung-bu Lee, Kim Byeong-Ok, Woo Jung-Kook, In-soo Park, Jeong Yeong-gi"
Disconnect,Henry Alex Rubin,"Jason Bateman, Jonah Bobo, Haley Ramm, Hope Davis, Frank Grillo, Michael Nyqvist, Paula Patton, Andrea Riseborough, Alexander Skarsgård, Max Thieriot, Colin Ford, Norbert Leo Butz, Kasi Lemmons, John Sharian, Aviad Bernstein, Teresa Celentano, Marc Jacobs, Cole Mohr"
Devdas,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Kirron Kher, Smita Jaykar, Tiku Talsania, Vijayendra Ghatge, Milind Gunaji, Ananya Khare, Manoj Joshi, Ava Mukherjee, Dina Pathak, Vijay Crishna, Muni Jha, Sunil Rege, Jaya Bhattacharya, Apara Mehta"
Kiss Me Deadly,Robert Aldrich,"Ralph Meeker, Albert Dekker, Paul Stewart, Juano Hernandez, Wesley Addy, Marian Carr, Marjorie Bennett, Mort Marshall, Fortunio Bonanova, Strother Martin, Mady Comfort, James McCallion, Robert Cornthwaite, Silvio Minciotti, Nick Dennis, Ben Morris, Jack Elam, Paul Richards"
Death Note,Shûsuke Kaneko,"Tatsuya Fujiwara, Ken'ichi Matsuyama, Asaka Seto, Yû Kashii, Shigeki Hosokawa, Michiko Godai, Hikari Mitsushima, Ikuji Nakamura, Sota Aoyama, Shin Shimizu, Tatsuhito Okuda, Miyuki Komatsu, Takeo Nakahara, Masahiko Tsugawa, Yôji Tanaka, Sarutoki Minagawa, Kaohiko Kaoda, Toshiyuki Watarai"
Sin Nombre,Cary Joji Fukunaga,"Paulina Gaitan, Marco Antonio Aguirre, Leonardo Alonso, Karla Cecilia Alvarado, Juan Pablo Arias Barrón, Rosalba Belén Barrón, Felipe Castro, Rosalba Quintana Cruz, Marcela Feregrino, Kristyan Ferrer, Edgar Flores, Giovani Florido, Ariel Galvan, Diana García, Gabriela Garibaldi, Ignacio Gonzalez, Noé Hernández, Lilibeth Flores"
The Sand Pebbles,Robert Wise,"Steve McQueen, Richard Attenborough, Richard Crenna, Candice Bergen, Emmanuelle Arsan, Mako, Larry Gates, Charles Robinson, Simon Oakland, Ford Rainey, Joe Turkel, Gavin MacLeod, Joe Di Reda, Richard Loo, Barney Phillips, Gus Trikonis, Shepherd Sanders, James Jeter"
Boy,Taika Waititi,"James Rolleston, Te Aho Eketone-Whitu, Taika Waititi, Moerangi Tihore, Cherilee Martin, RickyLee Waipuka-Russell, Haze Reweti, Maakariini Butler, Rajvinder Eria, Manihera Rangiuaia, Darcy Ray Flavell-Hudson, Rachel House, Waihoroi Shortland, Cohen Holloway, Pana Hema Taylor, Tuhoro Ranihera Christie, Craig Hall, Mavis Paenga"
Wings,"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel, Richard Tucker, Gary Cooper, Gunboat Smith, Henry B. Walthall, Roscoe Karns, Julia Swayne Gordon, Arlette Marchal, Rod Rogers, Charles Barton, Thomas Carr, Thomas Carrigan, Margery Chapin, Andy Clark"
The Flowers of War,Yimou Zhang,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang, Xiting Han, Doudou Zhang, Dawei Tong, Atsuro Watabe, Kefan Cao, Yangchunzi Yuan, Jia Sun, Yuemin Li, Bai Xue, Shigeo Kobayashi, Paul Schneider, Chun Li, Mengqiao Zhou, Liuyin Qian"
The Secret of Kells,"Tomm Moore, Nora Twomey","Evan McGuire, Brendan Gleeson, Mick Lally, Christen Mooney, Liam Hourican, Paul Tylak, Michael McGrath, Paul Young, Nora Twomey, Alli McCann, Clair Funchion, Conor O'Halloran, Gaelle Hersent, Marie Thorhauge, Sean Lennon, Jonas Till Hoffmann, James O'Halloran, Fabian Erlinghauser"
Tyrannosaur,Paddy Considine,"Peter Mullan, Archie Lal, Jag Sanghera, Mike Fearnley, Paul Conway, Lee Rufford, Olivia Colman, Samuel Bottomley, Sian Breckin, Paul Popplewell, Eddie Marsan, Robin Butler, Sally Carman, Ned Dennehy, Fiona Carnegie, Julia Mallam, Chris Wheat, Craig Considine"
You Can Count on Me,Kenneth Lonergan,"Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman, Adam LeFevre, Halley Feiffer, Whitney Vance, Peter Kerwin, Betsy Aidem, Rory Culkin, J. Smith-Cameron, Jon Tenney, Gaby Hoffmann, Mark Ruffalo, Lisa Altomare, Kenneth Lonergan, Nina Garbiras, Richard Hummer"
