title,description,age_rating
Anbarivu,"Stoic and kind-hearted Arivu decides to switch places with his street-smart rowdy twin, Anbu, to unite their estranged families. And a frenzy begins!",U/A 13+
Welcome to the Club,"Heart set on becoming a princess, Lisa Simpson is surprised to learn being bad might be more fun.",U/A 13+
The Real Black Panther,"In the Nagarhole Tiger Reserve's Kabini, a lone black panther named Saya is challenging the status quo by staking his claim to the throne.",U/A 13+
Koodi Balona,"Seeing the local leaders continue to cheat poor villagers of their resources, Narahari and his friends oppose them and change the lives of the people.",U/A 7+
Sagar,"To stop his impending marriage with Priyanka, Sagar lies to his family that he loves Kajal. What happens when Sonu, a don, comes looking for Kajal?",U/A 13+
Naaz,A daughter does something in the meeting to open her father eye,U
Puthukkottayile Puthumanavalan,"Satheesh and Gireesh run a storytelling troupe. However, they fall in trouble when they have to perform in a village of two warring families.",U/A 7+
Good Shot,"In one of the cordon and search operations in Pulwama, an Indian army colonel has to take a decision that may make him regret it, but he has no room for error.",U/A 13+
Surya Kavasam,"Criminals have their eyes set on a magical stone, which has the power to rule the world. But there's only one man who can guard the stone and save the world.",U/A 16+
Yakeen,A man meets a psychiatrist and tells him that he has killed someone. But he can't recall whom he has killed and why?,U/A 16+
Bal Ganesh 2,Lord Ganesha embarks on an adventurous journey with his friends to take down the evil forces and save the world.,U
The Incredible Dr. Pol: Blue Ribbon Kids,"The cute, the cuddly, the wild, the wooly, we have an entertaining cast of kids who will do anything for their animals",U/A 13+
A Goofy Movie,Goofy is driven to distraction when he takes Max on a fishing trip to bridge the generation gap and spend some quality time bonding with his offspring.,U
Atka,"When life throws lemons at you, it's up to you whether you would like to make yourself a lemonade or take a tequila shot!",U/A 16+
It's a Girl,A woman’s life changes when she finds out about her pregnancy. Can she fight society's dogma and save her unborn daughter?,U/A 13+
Jaya Jaya Jaya Jaya Hey,"Being brought up in a conservative family, Jaya feels even more trapped when she marries Rajesh, a male chauvinist. How will she break free from these shackles?",U/A 13+
The Disguise,"Two women, different mindsets, one is culturally conservative and the other is liberal. However, an incident forces them to rethink their concepts.",U/A 13+
Cochin Express,"Rajan, a police officer, investigates a murder that took place in a train. One killer, one suspect, no clues. How will Rajan solve this mystery?",U
Jane Fonda In Five Acts,"A look at the life, work, activism and controversies of actress and fitness tycoon, Jane Fonda.",U/A 16+
Kichha,"Kichha, a henchman of a local don, meets his match in a girl who fights injustice. While Kichha tries to change for her, trouble arises when his boss finds out.",U/A 13+
Ek Je Chhilo Raja,"When a sanyasi with an eerie resemblance to the prince of Bhawal, who died 12 years ago, shows up out of nowhere, it leads to the infamous court case.",U/A 16+
Ulsaha Committee,"School dropout Apoorvan loves to try out amazing scientific discoveries. During one such attempt, he and his friends find themselves in a tricky situation.",U
Nerariyan C.B.I.,CBI officer Sethurama Iyer is on a mission to find the killer after the mysterious death of Mythili in a haunted house. Will he find the culprit?,U/A 13+
Jeevana Poratam,"A gold medallist, Bharath, fails to get a job. Due to circumstances, he joins hands with Rao Gopalrao and becomes rich. Now he's entangled in a corrupt web.",U/A 13+
Pigman,"Sreekumar aspires to get a doctorate in linguistics. But when his thesis gets rejected, he joins a pig farm and does menial jobs.",U
13B,Manohar and his family move into a new apartment on the 13th floor. Soon they experience supernatural incidents when a spirit tries to communicate via TV.,A
D-16,"Retired inspector Deepak loses his leg during an investigation. Years later, he has to relive the dreaded past.",U/A 16+
Woh Pal,"Seven-year-old Aman, reminds everyone of something extremely important and teach the most valuable lesson of life.",U
Package deal,What if the groom's CTC is less than the bride's? How would the bride's parents take that? Watch two lovers working out their pre-wedding woes.,U/A 13+
Mars Needs Moms,"Young Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away. To rescue his mother, he sets off on a quest into outer space.",U/A 7+
O Re Saajan,An extramarital love affair keeps the spark alive in Sajan Tiwari’s monotonous and not-so-happening life. But chaos ensues when his son Bunty learns the secret.,U/A 13+
Vattam,A tormented Mano decides to solve his problems after his break-up. But things get worse when he finds himself caught between kidnappers and a distressed couple.,U/A 13+
Swarg,"Krishna is very loyal to his master and treats him like god. Unfortunately, when the master becomes a pauper, a loyal Krishna comes to his aid.",U
Onnum Mindathe,"Sachithanandan lives with his wife, Shyama, in a village. However, his one mistake turns their peaceful life in turmoil.",U
Three Night,"Love is not far away if you stay there and look for it. Sometimes, a coffee and a few stories can go a long way to erase loneliness.",U/A 13+
Saravanan Irukka Bayamaen,"Saravanan, a jobless youth, becomes the head of a national party. Things get unnerving for him when he beats his politically ambitious uncle.",U/A 7+
Face/Off,FBI agent Sean Archer must go dangerously undercover to investigate the location of a lethal biological weapon planted by the sadistic terrorist Castor Troy.,A
Loham,Taxi driver Raju's life turns upside down when a seemingly regular customer comes with a hidden agenda. Now Raju needs to unravel the mess.,U/A 13+
Guru,"When a con man becomes a witness to a murder, he and his family land in a life-threatening situation. How will he handle the controversy?",U/A 13+
Autograph,A famous actor is cast as the lead in the remake of a Satyajit Ray film. Things get complicated when the director's live-in girlfriend plays the female lead.,U/A 13+
Sanjog,"Mohan is a married man with kids. When new boss Asha arrives, rumours begin to link Mohan and her, leaving his wife worried. Is it just a rumour?",U
Clear History,"A disgraced former marketing executive plots revenge against his former boss, who made billions from the electric car company they started together.",U/A 16+
Dots,"When the past, present and future, combine together to connect the dots.",U/A 13+
Frozen,"Fearless Anna teams up with Kristoff and a snowman named Olaf to find her sister Elsa, whose icy powers have trapped the kingdom in eternal winter.",U
Nayam Vyakthamakkunnu,"In a bid to focus on his career, a budding politician neglects his wife. This results in not only his marriage taking a toll, but his work also suffers.",U
Aramagal,"City-bred Karthik, on a trip to his ancestral village, meets a free-spirited village girl, Aramagal. Together, they learn what they're missing in life.",U/A 16+
Julayi,"Though intelligent, Ravi believes in shortcuts to make money over hard work. His life changes when he crosses paths with Bittu, a gangster who robs a bank.",U/A 13+
Shootout At Wadala,"A bright college student, Manya Surve, sets foot on the wrong path when his brother is shot dead. Based on a true story.",U/A 13+
Operation Ankusha,"Industrialist Shrikanth finds his family missing when he returns from England. Realising he needs help, he employs five youth to track them down.",U/A 7+
Super Action,"Super Action is a Malayalam thriller, starring Chiranjeevi and Bhanu Priya in the lead roles. Watch the full movie, Super Action, online only on Hotstar.",U/A 13+
The Bench,"Distressed by his monotonous routines, a young man’s life takes an interesting turn when he befriends a stranger. Will this bond be his much-needed escapism?",U/A 13+
Naliyona Bara,"Preeti's father is a strict man. Rajeev, who is in love with her, decides to change him and make him understand his family and their affection for him.",U/A 7+
Abba Ha Hudugi,Sharmishtha is a beautiful but arrogant girl who hates men. Sarvottam falls in love with her and decides to teach her some basic values in life.,U/A 7+
Mugdh,"During her father’s funeral, a young woman finds herself getting lovestruck after meeting a man. Will her love at first sight prevail amid societal taboos?",U/A 16+
Aathmakatha,"Visually impaired Kochubaby and Mary get married. After Mary's death, he raises their daughter only to learn that she too will go blind like her parents.",U/A 7+
Inside Tirumala Tirupati,Everything in Tirumala Tirupati is larger than life. Take a look inside one of the most visited and highly revered Sri Venkateswara Swamy Temple.,U
Noor Jahaan,"Belonging to rival political gangs, Noor and Jahaan fall in love. With family opposing their love, will these star-crossed lovers find their happily ever after?",U
Pandugaadu,"Shivu is a petty thief who falls for Preethi, who is attracted to his charm ways. However, her father, who's a supercop, enters the picture with a devious plan.",U/A 16+
Shock,"A knock on the door, one night, changes a girl's life. While she assumes the stranger has come to kill her, another person walks in posing as a cop.",U/A 16+
Hero,"Shubhankhar's constable dad wants his son to become an IPS officer. But he wants to enjoy life, until he falls for Puja and her cop brother opposes their love.",U
Laal Rang,"To make a quick buck, Rajesh joins Shankar in his illegal blood bank business. What happens when the law catches up with the young lad and his mentor?",U/A 16+
Modhati Cinema,"Sreeram is a rich young man who admires middle-class girl Sindhu's courage. He tries to help her, but she doubts his intentions. How will he win her over?",U/A 13+
Ek Zabardast Fight Plan,"Sakthi and Asha use their intelligence to create new electronic devices. When HRD Minister Devaraj dupes them, Sakthi and Asha concoct a plan to expose him.",U/A 13+
Hero,"A gangster's son kidnaps the daughter of the Chief of Police, as her father has some crucial evidence. While the police chase the two, love blooms between them.",U/A 13+
Kistimaat,"An ancient Vishnu idol gets stolen from the village temple. Despite the hindrances created by the village chief, Inspector Rudra sets out to solve the crime.",U
Tyaag,"To enjoy the vacation of a lifetime, an Indian father visits his son in New York. Eventually, past stories and memories resurface, changing their lives forever.",U/A 13+
Nagarangalil Chennu Raparkkam,"Kunjoottan's father keeps dreaming of his son's death. While he is overprotective of his son, Kunjoottan runs away to the city with a friend.",U/A 7+
Oottippattanam,"A childless prince decides to adopt someone from a royal family as his heir. However, he faces many challenges when many people queue up for adoption.",U/A 13+
Iron Man,An industrialist constructs a high-tech armoured and decides to use his suit to fight against evil forces and save the world.,U/A 13+
Obi-Wan Kenobi: A Jedi’s Return,"This special explores the return of Obi-Wan Kenobi and Anakin Skywalker to the screen, as well as Ewan McGregor and Hayden Christensen to their classic roles.",U/A 13+
Mumbai Matinee,"30 plus and a virgin, Debu really wanted to change his 'shameful' status. When he gets help, he gets a bit more than what he asked for.",U/A 16+
The Kid Who Would Be King,"Alex must unite his friends and enemies into a band of knights and, together with the legendary wizard Merlin, take on the wicked enchantress Morgana.",U/A 7+
Aaj Ka Yughandhar,"In a short span, Shiva and Shekar emerge as an invincible duo. Unfortunately, their unity is threatened when one of them kills a rival gang member.",U/A 13+
Julie,"A victim of circumstances, disillusioned Julie becomes a call girl. She meets Mihir, and they fall in love. Will he accept her for what she is?",U/A 16+
Mooru Guttu Ondu Sullu Ondu Nija,"When the parents leave for a day's trip, the children call their lovers home. Things begin to go wrong when a stranger, who claims to be a relative, shows up.",U/A 7+
Sabarimala Sree Ayyappan,The childless king Rajasekhara Pandiyan adopts an abandoned child found in a forest. That little prince grows up to be Lord Ayyappan.,U
Santharppavaathi,"A thug, an MLA and a good-for-nothing plan to rob a bank. However, loyalty and honesty rarely go hand in hand with earning easy money.",U/A 16+
Samara Simham,"Samara Simham is a Telugu action drama starring Suresh Gopi, Nedumudi Venu and Murali. Watch the full film online only on Hotstar.",U/A 16+
Hannah Montana The Movie,"Miley Stewart struggles to juggle school and her secret pop-star persona. So, her father takes her home to for a dose of reality and adventure.",U
Inanimate,"A lonely man restores a discarded mannequin. Soon, the lines between reality and dreams begin to blur, as he struggles with his loneliness.",U/A 13+
Me Time,An overdue conversation between friends that leads to a compelling truth.,U/A 16+
Kalyana Vaibhogam,"Vasu, who belongs to a close-knit joint family, falls in love with Sri, a businessman's daughter. Will he convince her father to believe in age-old rituals?",U
Pyaar Ka Saagar,"After his parents die, Bishen takes it upon himself to raise his younger brother, Kishen. Things begin to change between the brothers when Kishen falls in love.",U
Unakaga Vala Ninaikiran,"Kavya runs into Babji in a chance encounter, and he decides to save her from her family. But fate has more drama in store for them.",U/A 13+
Masters,Reporter Milan Paul and cop Sreeramakrishnan always help each other. They try to unravel the mystery behind a series of suicide-murders that shocks the city.,U/A 16+
Soundaryappinakkam,"Anil and Malini are college sweethearts. Though their marriage gets fixed, complications soon arise.",U/A 13+
Pournami,Eight college students on an educational tour are kidnapped and killed by a wizard. The police try to solve the case with the help of a swami.,U/A 16+
Hello,"Childhood sweethearts Avinash and Priya part ways because of her father's transferable job. However, serendipity plays cupid in mysterious ways.",U
Manithan,"A struggling lawyer comes across a hit-and-run case and decides to fight for justice. However, he soon learns that there is more to it than meets the eye.",U
Anubandha,"Mahesh and Ganashree are in love, but Ganashree's father is against the alliance. How will the lovers convince him?",U
Ribbon,"Sahana and Karan, a young working married couple, discover how overwhelming parenthood can be, its consequent impact on their careers and priorities.",U/A 16+
In Tahrir Square: 18 Days Of Egypt's Unfinished Revolution,The documentary helps audiences experience first-hand the mass revolt that brought down a dictator and changed Egypt forever.,U/A 16+
Mantra 2,"Having moved to a new city for a job, Mantra stays with an elderly couple as a paying guest. Things go wrong when she realises something is wrong with them.",U/A 16+
Sanyog,"Unknown to each other, a prostitute, a hostage and a war veteran take a life-changing step away from their demons. A mere coincidence or are they linked?",U/A 16+
Vaidya,Kabir meets the mysterious Vaidya at a beach on a solo trip. The two fall for each other and Kabir leaves with a promise to come back. Will he keep his word?,U/A 16+
Mukhaputa,"An educated woman from a small town adopts a baby girl. After several years, she gets to know that the child is HIV+ since birth.",U/A 7+
Sarkar Raj,"When Subhash Nagre supports Anita’s proposal to build a power plant in a small village, little does he know that it will cost him everything dear to him.",U/A 13+
Wolfgang,Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.,U/A 13+
Mookkilla Rajyathu Murimookkan Rajavu,"When three unemployed tenants do not pay rent, the owner decides to sell the house without their knowledge. What happens when they get in his family matters?",U/A 7+
Atlantis: The Lost Empire,Milo Thatch dreams of completing the quest of finding the legendary city of Atlantis as he leads a group of daredevil explorers to the elusive undersea kingdom.,U/A 7+
Paanch Qaidi,Inspector Vijay bails out five outlaws to take down a group of deadly dacoits; will he succeed in his mission?,U
Bornoporichoy,"A police detective loses everything in search of a serial killer. Just when the trail goes cold, the killer comes back, leaving clues for him to decode.",U/A 13+
The Good News,"In a conflict-torn valley of Kashmir, the lives of two women tragically intertwine as they attempt to bridge the growing gulf between friendship and identity.",U/A 16+
Big,"A 13-year-old boy, who wishes to be big, wakes up the next morning to find himself mysteriously in the body of an adult.",U/A 13+
City On Fire,"A pyromaniac, ex-employee of a city oil refinery creates an explosion at the facility which starts a chain-reaction of fires that engulfs the entire city.",U/A 16+
Life in a City,A strained relationship with her husband forces a young woman to opt for an absurd solution- an extramarital affair. But a mistaken identity spurs chaos.,A
Ekaki,"While Sugandha is a middle-aged woman with a rather cold disposition, Junaid is a young homeless taxi driver. What happens when their paths intersect?",U
Feeling Is Mutual,"A male employee undergoes harassment at his workplace by his superior. Initially upset, he later realizes that the feeling is mutual.",U/A 13+
The Blue Helmet,Mira lives alone and wears a blue helmet every day everywhere. Is she senile or just over the edge? An important message and a heart touching twist.,U/A 7+
Winnie The Pooh,"Winnie the Pooh and friends Tigger, Rabbit, Piglet, Owl, Kanga, Roo and Eeyore reunite in a wild quest to save Christopher Robin from an imaginary culprit.",U
When Hell Was in Session,Navy Commander Jeremiah Denton is under captivity as a P.O.W. for more than seven years after his jet is shot down over North Vietnam.,U/A 13+
Udayam,"An IPS officer decides to investigate his mentor's death. The suspects are the latter's wife, her sister and a ganja plantation owner.",U
Days Left Behind,"In post-apocalyptic India, a deadly virus has morphed humans into wild cannibalistic creatures. Surrounded by chaos, a man fights for his survival.",U/A 16+
Boys Don't Cry,"Based on a true story, this drama was adapted from the life of Brandon Teena and his courage to live his life as his true self.",A
Cars,"A hotshot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",U
Landmark,"A man is lost in his dead daughter's thoughts. Although, she is no more for the world, she still lives on for him.",U/A 16+
Maaran,"Madhimaaran Sathyamoorthy is an honest investigative journalist. When he uncovers a scam, the professional risks start threatening his personal happiness.",U/A 16+
Good Night Sleep Tight,The film explores life & stress of a star cop ACP Singh. He is working on a high profile case of catching two serial murderers.,U/A 16+
Ei Mon Tomay Diyechi,A story that explores the many facets and aspects of young love.,U
Mangalyappallakku,"Mukundan meets and falls for Seethalakshmi. However, he feels threatened when Raghavan too likes her and wishes to marry her. Who will be the lucky one?",U
Drumline,"A cocky, naturally-gifted snare drummer from Harlem helps his Atlanta College marching band defeat a long-time rival in a southern battle-of-the-bands.",U/A 13+
Sukrutham,"A friend convinces Ravishankar, who suffers from blood cancer, to take holistic treatment. While he gets well, his death is more awaited than his recovery.",U
"Three Billboards Outside Ebbing, Missouri","Mildred Hayes, a woman in her early 50s, goes to war against her local police force, believing them to be too inept to solve the murder of her daughter.",A
Star Wars: The Rise Of Skywalker,"The surviving members of the resistance face the First Order once again, as the landmark Skywalker saga reaches its conclusion.",U/A 13+
Growing Fangs,"Val Garcia, a Mexican-American half human/half vampire teenager, struggles to fit in either world.",U/A 13+
An Astrologers Day,"How intriguing can the story of an astrologer’s past be? A regular day in the life of an astrologer takes an unexpected turn, making him confront his past.",U/A 13+
Ab Mujhe Udna Hai,"Confronting past traumas whilst dodging her deepest fears, a woman breaks free from the shackles of societal taboos and starts afresh with her life story.",U/A 16+
The Secret Life Of Mary-Margaret: Portrait Of A Bulimic,"The dramatization of events that led a teenager to become a victim of bulimia, an often-misunderstood eating disorder.",U/A 13+
Lilo & Stitch 2: Stitch Has A Glitch,Stitch suddenly starts behaving erratically due to some programming bugs in his system. Can Lilo and Nani fix his glitches and save him?,U/A 7+
Kris Aur Krishna,A small boy called Kris is kidnapped by a bunch of ruffians. Lord Krishna comes to his rescue in the form of a young shepherd boy.,U/A 7+
Iktara,Story of a lonely man who lost his family and settles in a village. He meets a young girl who changes his life completely. This multiple award winning short movie features Yashpal Sharma.,U/A 16+
Saving Chintu,An LGBTQ American couple comes to India to adopt a child living with HIV in an orphanage. But will the couple be able to cope with the cultural challenges?,U/A 13+
Maqsad,A sleeper cell operative who undertakes the biggest mission of his life narrates the ordeal which led him to this path.,U/A 16+
Bandh Nylon Che,"Devdatta Bhave returns to India with his family who are excited to meet his parents. However, his past memories with them push him to take a drastic step.",U
MCA Middle Class Abbayi,"Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business.",U/A 16+
Tolkien,"The biopic explores the formative years of the author as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",U/A 13+
Miracle On 34th Street,"An old man works as a department store Santa Claus is labelled as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",U
The Call of the Wild,"In the wilds of Yukon, a sledge dog named Buck experiences the adventure of a lifetime as he finds his true place in the world.",U/A 13+
Tujha Tu Majha Mi,"Travel geek Jayesh meets Rajashree en route to Goa. Unbeknownst to them, their life fills with many dead ends and tough decisions.",U/A 13+
3rd Stanza,Tale of a poetic romance! Sparks fly between two strangers- a poet and a lifestyle blogger- after they meet at a cafe.,U/A 13+
Frankenweenie,"Viktor invites trouble when he revives his dead pet dog Sparky after it is hit by a car. Now, Sparky looks like a monster and terrifies Viktor's neighbours.",U/A 7+
Rajathanthiram,"When a conman falls for a woman, he plans a big job to help her get rid of her financial troubles. However, their ploy fails and a cat-and-mouse game ensues.",U/A 7+
Money Rathnam,"Neil, an executive, leaves for his village with a bag of money he finds after a New Year's Eve party. But there are four other guys also eyeing the booty.",U/A 13+
Jagan,Jagan and Jamuna meet in a shopping mall at Chennai and fall in love. But she believes in fate and decides to test him. What will the results of this test be?,U/A 13+
Prathinayakan,"Sivadas Swamigal runs a drama troupe in which Kaliappa and Gomathi are his disciples. While they have a strong bond, constant rivalry separates them.",U/A 13+
Jingle All The Way 2,"Larry is having a bear of a time finding the perfect Christmas gift for his daughter, Noel, but he'll stop at nothing to make his little girl happy.",U/A 7+
I Am Groot: Groot's First Steps,"Baby Groot takes his first steps out of his pot, only to learn you have to walk before you can run.",U
Kali,"Sidharth has anger-management issues. One scary night, his short temper just may land him and his wife in serious trouble.",U/A 13+
Payum Puli,"Recovery agent Saravanan is disliked by his house owner, Mallika. However, when an eviction notice is served on her house, he comes to her help.",U/A 16+
Male Bille,"Anand loves Anjali, but she is not interested in him. However, she gets duped by a colleague. Will she learn her lesson?",U/A 16+
Aadhaaram,"Bapputty decides to rebuild his life after his release from prison. However, he gets entangled in his sister's family problems.",U/A 7+
Una,"Amid the celebrations of Kargil Vijay Diwas, a young soldier is assigned a task to deliver the belongings of a martyred army man to his family.",U/A 13+
Ganga,"A brave rickshaw driver, Ganga, lives life on her own terms. However, an altercation with a corrupt politician turns her world upside down.",U/A 16+
Maryada Ramanna,"Ramu decides to sell off an inherited ancestral property. However, he unknowingly stays in the house of his father's killer. Will he find out the truth?",U/A 13+
Premikulu,"Chandu and Vennela are in love, but their parents disapprove. When they plan to commit suicide and fail, the attempt makes them lose memories of each other.",U/A 13+
Baboo Band Baaja,"A local band player wants his son to follow his profession, but his wife protests the idea. Caught in the parental crossfire, what will the son do?",U
Rangappa Hogbittana,"Rangappa, who is on his death bed, wants to meet his relatives one last time. Everyone comes to pay their last respects but with an eye on his property.",U/A 7+
Jane Goodall: The Hope,"As the 60th anniversary of Jane Goodall's arrival to the chimpanzee kingdom in Gombe approaches, she spends some time with her family in Tanzania.",U/A 7+
Lalbaug Parel,"A disturbing story of thousands of retrenched Mumbai mill workers, who lost more than just jobs and were forced to find alternative occupations or starve.",U/A 16+
Jersey,"Ten years after he was ousted by the selection committee, a Ranji player returns to play cricket for India. Will he succeed in fulfilling his son's wish?",U/A 13+
Dubai Babu,"Duped by an agent, Babu's Dubai dreams get squashed. While stranded in Mumbai, he meets and falls for Vasundhara, but her uncle has set his evil eyes on her.",U/A 13+
War Chhod Na Yaar,"When war is declared between India and Pakistan, an unlikely friendship blooms between two army captains from the opposite sides.",U/A 13+
Richard Jeni: A Big Steaming Pile Of Me,"Award-winning comic Richard Jeni delivers an all-new, non-stop routine in his third solo HBO stand-up special.",U/A 16+
Chameli,"On a stormy night, a sudden encounter with Chameli, a prostitute changes the life of a depressed investment banker, forever.",U/A 13+
Mookuthi Amman,Small-time reporter Engels' life changes drastically when he meets his ancestral goddess Mookuthi Amman. What happens when she puts forth an intriguing plea?,U/A 7+
Easan,"A schoolboy, Easan, is held responsible for killing Chezhiyan, a politician's son. What are the past events that led to this? Can ACP Sangayya protect Easan?",U/A 16+
Kudumbasametham,"Raghavan hates music because he suffered from being the son of a classical singer. What happens when his son, Sivan, is drawn to music?",U/A 7+
Kolaigaran,A crime branch cop is assigned to a gruesome murder case. What follows next is a series of tangled mind games with horrifying twists.,U/A 16+
Eeswaran,"Set during the COVID-19 pandemic, when a prediction of death by an astrologer shakes up a close-knit family, their manservant tries to set things right.",U/A 13+
Fake Famous,Fake Famous explores the meaning of fame and influence in the digital age through an innovative social experiment.,U/A 13+
The Horse Whisperer,"Grace and their horse have met with a severe accident her mother takes the help of Tom, a horse whisperer, who helps them recuperate.",U/A 13+
K.G.F,"Set in the 70s, an ambitious young man sets out to fulfil a promise he made to his dying mother by bringing the owner of a corrupt gold mine to book.",U/A 16+
Stuntman,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.,U/A 13+
"Honey, I Blew Up The Kid","Wayne Szalinski mistakenly zaps his son with a particle beam, making the child grow in size whenever he comes in contact with electricity!",U
Natudu,"Sakthivel, the village head, wants to marry off his foreign-returned brother to the girl of his dreams, who turns out to be an actress. Will she say yes?",U/A 13+
Destination Paradise,"An illegal Indian immigrant embarks towards London, hoping for a good future. Things take an ugly turn when he finds himself stranded at a countryside farm.",U/A 16+
Tracy Morgan: Black And Blue,"Tracy Morgan makes his HBO stand-up debut with a performance in which no subject, celebrity or situation will be off-limits.",A
Magic Magic,"Separated from his magician grandfather, a dejected Indrajith runs away from his father and gets into bad company. Now, it's up to his grandpa to find him.",U
Karzzzz,"Monty, a musician, hallucinates strange visions. To take a break from his ordeal, he lands up in a place that opens a secret from his past life.",U/A 13+
Pixar 2021 Disney+ Day Special,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,U
His Highness Abdullah,Abdullah is hired by a royal family to kill their king. He enters the palace disguised as a classical singer. Will he succeed with his plan?,U
Parichay,A young entrepreneur is going through a bad phase. He meets a stranger at a tea stall and this meeting changes his life. A motivational story for young generation.,U/A 13+
Poola Rangadu (New),"When a fearless Pavitra helps an injured Shiva rescue his kidnapped nephew, her relationship with her fianc� falls in trouble. How will she handle both?",U/A 13+
Nirdoshi,"A scientist comes up with a product that boosts sexual desire in men. He needs a volunteer, and one man comes forward. However, the experiment backfires.",U/A 16+
Bolt,The star of a hit TV show sets off on a cross country journey when he is sent to New York City instead of his Hollywood soundstage.,U
"Marvel: 75 Years, From Pulp To Pop!",Emily Vancamp hosts this documentary feature showing the history and development of Marvel from the first comic book to the Marvel Cinematic Universe.,U/A 7+
Bheeshma Parvam,"In the Anjootti family, not even a leaf moves without Michael's will. When rebellious youngsters start revolting, how will Michael hold his ground?",U/A 16+
Amayakudu,What will you do when you have to choose between love and family? Krishna's life takes a tragic turn when he is forced to make the ultimate choice.,U/A 13+
Nee Illade,"Singer Sanjay discovers Sharanya's talent and convinces her to pursue it. However, she does not go for the recording as her life takes a turn for the worse.",U/A 16+
Varathan,Moving back to their ancestral home in Kerala from Dubai was not an easy choice for Abin and Priya. But they may have got more than what they bargained for.,U/A 16+
31st October,"In the aftermath of Indira Gandhi's assassination, Devender Singh and his family get trapped in endless danger as the anti-Sikh riots break out in Delhi.",U/A 16+
Solo: A Star Wars Story,"During an adventure into a dark criminal underworld, Han Solo meets his future co-pilot Chewbacca and Lando Calrissian years before joining the Rebellion.",U/A 13+
Ek Ultimate Chaalbaaz,Arjun and his jobless friends are petty thieves. Things take a comical turn when these rookies are hired to pull off the biggest heist. Can they crack it?,U/A 16+
Yengalai Pol Yaarum Illai,Robin’s business trip to India turns romantic when he meets Chaitra. But there is more to her than meets the eye.,U/A 16+
Hitman,"Hitman is about a trained assassin only known as Agent 47, who is hired by a group known only as 'The Organization' that's trapped in a political conspiracy.",U/A 16+
Kathanayagan,"Thambidurai, a revenue inspector, is scared of almost everything. Problems arise when this cowardliness comes in the way of him winning over his true love.",U/A 7+
Oru Vilippadakale,"Retired Major Unnikrishnan travels to Chennai with his wife, Ammu, for his heart treatment. What happens when Ammu meets her old lover, Vishnu, on the train?",U
Love Action Drama,"Dinesh is madly in love with Shobha. A successful businesswoman, she can't stand his lackadaisical attitude. Will he mend his ways and win her over?",U/A 13+
Idiot,"Love blossoms for Chanti when a brave girl Suchitra saves him from danger. Now, he has to overcome all obstacles and win her heart.",U/A 13+
Action Jackson,"A small-time crook Vishi has just about managed to prove his worth to his beloved, when his professional assassin body double bursts onto the scene.",U/A 16+
Shree Kshethra Kaivara Thatthayya,"Watch the life of Kaivara Thatthayya, born as Narayanappa in 1726, and how he got into spirituality after a seer sermonised him with an Ashtakashari Mantra.",U
Olaf's Frozen Adventure,Olaf sets out to comb the kingdom to bring home the best traditions for Elsa and Anna for the holidays.,U
Andhari Banduvaya,"Nandu is a simple villager while Paddu is from the city. They meet when she visits his village. Will he learn city ways, or will she take to village traditions?",U/A 13+
Thondimuthalum Driksakshiyum,"Newly married Sreeja's chain gets stolen while travelling with her husband. In the chaos that follows, they land up in the police station with the thief.",U
Captain America: The First Avenger,"After being injected with a special ""Super-Soldier"" serum which leads to him developing superpowers Steve must thwart the plans of a warmonger.",U/A 13+
Narayam,"When Gayatri, a Brahmin girl, begins working as an Arabic teacher in a Muslim school, a few with vested interests spark communal problems.",U/A 13+
Atlantis: Milo's Return,Milo and Kida reunite with their friends to investigate strange occurrences around the world that seem to have links to the secrets of Atlantis.,U
Keshu Ee Veedinte Nadhan,"Simple yet smart, sexagenarian Keshu has a loving family and a driving school to call his own. Everything's perfect until he wins a lottery worth crores.",U/A 7+
Ferrell Takes The Field,"Will Ferrell takes the field in five Major League Baseball training games, playing all nine positions for ten different teams in a single day.",U/A 13+
Champion,"Kavita is in love with her childhood friend Raja. However, Raja falls for a newly arrived rich girl. Will Kavita ever be able to express her love?",U/A 13+
The Wonderful Autumn of Mickey Mouse,Mickey Mouse is determined to undo the failures of his family's past after inheriting a rundown pumpkin farm from a distant relative,U/A 7+
Political Khiladi,"Common man Kumaran kidnaps the CM of Tamil Nadu, leaving the ministry and police force on high alert. When he reveals his reason, a dreaded secret opens up.",U/A 13+
Orange,"Lorry driver Yakobi works on a dairy farm. One day, he gives a lift to Muthu, a stranger, and helps him get a job. However, Muthu turns his life upside down.",U/A 16+
Pooh's Heffalump Movie,"Awakened by a rumbling that could only be made by the much-feared Heffalump, Winnie The Pooh and his friends set out to catch the dreaded creature.",U
Adbhutham,"When Surya and Vennela are about to end their lives, a miracle connects these two strangers. They happen to have the same phone numbers, but can't meet.",U/A 13+
